ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3249308,"Albright, William",阿布莱特,,1944-1998,美国,作曲,nan,2017-08-08
3249309,"Alcock, Walter",阿科克,,1861-1947,英国,管风琴；作曲,nan,2017-08-08
3249310,"Alda, Frances","阿达,法兰切丝",,1879-1952,义大利,声乐,女高音,2017-08-08
3249311,"Alderighi, Dante",阿德利基,,1898-1968,加拿大,钢琴；作曲,nan,2017-08-08
3249312,"Aldrich, Richard",阿德利奇,,1863-1937,美国,乐评,nan,2017-08-08
3249313,"Aldridge, Robert Livingston",阿德利吉,,1954-,美国,作曲,nan,2017-08-08
3249314,"Alemann, Eduardo",阿雷曼,,1922-2005,阿根廷,作曲,nan,2017-08-08
3249315,"Aler, John    ",阿勒,,1949-,美国,声乐,男高音,2017-08-08
3249316,"Alexander, Joe L.","亚力山大,乔",,1958-,美国,作曲,nan,2017-08-08
3249317,"Alexander, Russell","亚力山大,罗素",,1877-1915,美国,作曲,nan,2017-08-08
3249318,"Alexandrov, Alexander Vasil'yevich","亚力山德罗夫,亚力山大",,1883-1946,俄国,作曲,nan,2017-08-08
3249319,"Alexandrov, Anatoly","亚力山德罗夫,安纳托利",,1888-1982,俄国,作曲,nan,2017-08-08
3249320,"Alexeev, Dmitri",阿列克谢耶夫,,1947-,俄国,钢琴,nan,2017-08-08
3249321,"Alfano, Franco",阿尔法诺,,1876-1954,义大利,作曲,nan,2017-08-08
3249322,"Alfvén, Hugo",阿尔芬,,1872-1960,瑞典,作曲；小提琴,nan,2017-08-08
3249323,"Algarotti, Franceso",阿加洛第,,1712-1764,义大利,音乐著作,nan,2017-08-08
3249324,"Alghisi, Paris Francesco",阿基西,,1666-1733,义大利,作曲,nan,2017-08-08
3249325,"Ali-Zadeh, Franghiz",阿里扎德,,1947-,亚塞拜然,作曲,nan,2017-08-08
3249326,"Alkan, Charles-Valentin Morhange",阿尔康,,1813-1888,法国,作曲；钢琴,nan,2017-08-08
3249327,"Allam, Walter Edward",阿兰姆,,1902-1992,英国,指挥；钢琴；作曲,nan,2017-08-08
3249328,"Allan, Richard van","艾伦,理查",,1935-2008,英国,声乐,男低音,2017-08-08
3249329,"Alldis, John",阿迪斯,,1928-2010,英国,指挥,nan,2017-08-08
3249330,"Allegri, Gregorio",阿雷格里,,1582-1652,义大利,作曲,宗教音乐,2017-08-08
3249331,"Allen, Hugh","阿伦,休",,1869-1946,英国,指挥；管风琴,nan,2017-08-08
3249332,"Allen, Thomas","阿伦,汤玛斯",,1944-1999,英国,声乐,男中音,2017-08-08
3249333,"Allende, Pedro Humberto",阿连德,,1885-1959,智利,作曲；小提琴,nan,2017-08-08
3249334,"Allin, Norman",阿林,,1884-1973,英国,声乐,男低音,2017-08-08
3249335,"Allori, Pietro",阿罗利,,1925-1985,义大利,作曲,nan,2017-08-08
3249336,"Almeida, Antonio de","阿梅达,安东尼欧",,1760-1825,美国,指挥,葡裔,2017-08-08
3249337,"Almeida, Francisco Antonio de","阿梅达,弗朗西斯科",,1702-1755,葡萄牙,作曲,nan,2017-08-08
3249338,"Almeida, Renato","阿梅达,雷纳多",,1895-,巴西,音乐学,nan,2017-08-08
3249339,"Alnaes, Eyvind",阿奈斯,,1872-1932,挪威,作曲；管风琴；指挥,nan,2017-08-08
3249340,"Alnievas, Augustin",阿涅瓦斯,,1934-,美国,钢琴,nan,2017-08-08
3249341,"Alon, Aaron",阿隆,,1981-,美国,作曲,nan,2017-08-08
3249342,"Alonso-Crespo, Eduardo",阿隆索－克雷斯波,,1956-,阿根廷,作曲,nan,2017-08-08
3249343,"Alpaerts, Flor",阿培尔兹,,1876-1954,比利时,作曲,nan,2017-08-08
3249344,"Alsted, Birgitte",阿斯泰德,,1942-,丹麦,作曲,nan,2017-08-08
3249345,"Alsuyet, Claudio",阿苏叶特,,1957-,阿根廷,作曲,nan,2017-08-08
3249346,"Alt, Bernhard",阿特,,1903-1945,比利时,作曲,nan,2017-08-08
3249347,"Altenburg, Johann Ernst",阿腾堡,,1734-1801,德国,小号,nan,2017-08-08
3249348,"Althouse, Paul",阿特豪士,,1889-1954,美国,声乐,男高音,2017-08-08
3249349,Altusi,阿突西,,1540-1613,义大利,理论；作曲,nan,2017-08-08
3249350,"Álvarez Fernández, Miguel",阿瓦雷斯费尔兰迪斯,,1979-,西班牙,作曲,nan,2017-08-08
3249351,"Alvarez, Albert Gourron","阿法雷,阿贝特",,1861-1933,法国,声乐,男高音,2017-08-08
3249352,"Alvarez, Marguerite d'","阿法雷兹,玛格丽特",,1886-1953,英国,声乐,女低音,2017-08-08
3249353,"Alvary, Max",阿法瑞,,1856-1898,德国,声乐,男高音,2017-08-08
3249354,"Alwyn, William",阿尔文,,1905-1985,英国,作曲,nan,2017-08-08
3249355,"Amati, Nicolo",阿玛悌,,1596-1684,义大利,乐器制造家,弦乐器,2017-08-08
3249356,"Ambrose, Saint",圣•安布罗士,,340-397,义大利,作曲,nan,2017-08-08
3249357,"Ameling, Elly",阿梅琳,,1938-,荷兰,声乐,女高音,2017-08-08
3249358,"Amendola, Ugo",阿门多拉,,1917-1995,义大利,作曲,nan,2017-08-08
3249359,"Amirov, Fikret",阿米罗夫,,1922-1984,亚塞拜然,作曲,nan,2017-08-08
3249360,"Ammann, Dieter",阿曼,,1962-,瑞士,作曲,nan,2017-08-08
3249361,"Amon, Blasius",阿蒙,,1560-1590,奥地利,作曲,nan,2017-08-08
3249362,"Amoyal, Pierre",阿莫亚,,1949-,法国,小提琴,nan,2017-08-08
3249363,"Amram, David",阿姆蓝,,1930-,美国,作曲,nan,2017-08-08
3249364,"Amrod, Paul",阿姆洛德,,1951-,美国,作曲,nan,2017-08-08
3249365,"Amy, Gilbert",阿密,,1936-,法国,作曲；指挥,nan,2017-08-08
3249366,"Ančerl, Karel",安谢尔,,1908-1973,捷克,指挥,nan,2017-08-08
3249367,"Anda, Geza",安达,,1921-1976,瑞士,钢琴；指挥,匈牙利裔,2017-08-08
3249368,"Anderson, George Frederick","安德森,乔治",,1793-1876,英国,小提琴,nan,2017-08-08
3249369,"Anderson, Leroy","安德森,雷洛",,1908-1975,美国,作曲,nan,2017-08-08
3249370,"Anderson, Lucy","安德森,露西",,1797-1878,英国,钢琴,nan,2017-08-08
3249371,"Anderson, Marian","安德森,玛利安",,1902-1993,美国,声乐家,女低音,2017-08-08
3249372,"Anderson, Ronald Kinloch","安德森,罗纳德",,1911-1984,英国,钢琴,nan,2017-08-08
3249373,"Andrade, Mário de",安德拉德,,1893-1945,巴西,音乐学,nan,2017-08-08
3249374,"André, Franz","安德雷,弗朗兹",,1893-1975,比利时,指挥,nan,2017-08-08
3249375,"André, Johann","安德雷,约翰",,1741-1799,德国,作曲,nan,2017-08-08
3249376,"André, Maurice","安德烈,莫里斯",,1933-2012,法国,小号,nan,2018-05-31
3249377,"Andreae, Volkmar",安德列,,1879-1962,瑞士,作曲；指挥,nan,2017-08-08
3249378,"Andrée, Elfrida","安德列,艾符莉达",,1841-1929,瑞典,作曲；管风琴,nan,2017-08-08
3249379,"Andreozzi, Gaetano",安德列欧奇,,1775-1826,义大利,作曲,nan,2017-08-08
3249380,"Andrews, Herbert","安德鲁斯,赫伯特",,1904-1965,爱尔兰,管风琴；作曲,nan,2017-08-08
3249381,"Andrews, Hilda","安德鲁斯,希达",,1900-1984,英国,音乐学,nan,2017-08-08
3249382,"Andriessen, Hendrik","安德里森,亨得利",,1892-1981,荷兰,作曲；管风琴,nan,2017-08-08
3249383,"Andriessen, Jurriaan","安德里森,尤瑞安",,1925- 1996,荷兰,作曲,nan,2017-08-08
3249384,"Andriessen, Louis","安德里森,路易斯",,1939-,荷兰,作曲,nan,2017-08-08
3249385,"Andriessen, Willem","安德里森,威廉",,1887-1964,荷兰,钢琴；作曲；指挥,nan,2017-08-08
3249386,"Anerio, Felice","安内里欧,费利切",,1560-1614,义大利,作曲,nan,2017-08-08
3249387,"Anerio, Giovanni Francesco","安内里欧,乔望尼",,1567-1630,义大利,作曲,nan,2017-08-08
3249388,"Anfossi, Pasquale",安佛西,,1727-1797,义大利,作曲,nan,2017-08-08
3249389,"Angelis, Nazzareno de    ",安杰利斯,,1881-1962,义大利,声乐,男低音,2017-08-08
3249390,"Angelo, Gioacchino",安杰洛,,1899-1971,义大利,作曲,nan,2017-08-08
3249391,"Angerer, Paul",安格勒,,1927-,奥地利,指挥；作曲,nan,2017-08-08
3249392,"Anhalt, István",安赫特,,1919-2012,匈牙利,作曲,nan,2017-08-08
3249393,"Anievas, Agustin",安尼瓦斯,,1934-,美国,钢琴,nan,2017-08-08
3249394,"Animuccia, Giovanni",安尼慕契亚,,1500-1571,义大利,作曲,nan,2017-08-08
3249395,"Ank, Matthias    ",安克,,1959-,德国,管风琴；指挥,合唱,2017-08-08
3249396,"Ansell, John",安色尔,,1874-1948,英国,指挥；作曲,nan,2017-08-08
3249397,"Ansermet, Ernest",安瑟美,,1883-1969,瑞士,指挥,nan,2017-08-08
3249398,"Anson, Hugo",安森,,1894-1958,纽西兰,作曲,nan,2017-08-08
3249399,"Ansorge, Conrad",安索格,,1862-1930,德国,钢琴；作曲,nan,2017-08-08
3249400,"Antheil, George",安赛尔,,1900-1959,美国,作曲,nan,2017-08-08
3249401,"Anthony, Trevor",安东尼,,1912-2014,英国,声乐,男低音,2017-08-08
3249402,"Antill, John",安替尔,,1904-1986,澳大利亚,作曲,nan,2017-08-08
3249403,Antonsen Ole Edvard,安东森,,1962-,挪威,管乐,nan,2017-08-08
3249404,"Antunes, Jorge",安杜内斯,,1942-,巴西,作曲,nan,2017-08-08
3249405,"Apel, Willi",阿佩尔,,1893-1988,德国,音乐学,nan,2017-08-08
3249406,"Aplvor, Denis",阿普弗尔,,1916-2004,英国,作曲,nan,2017-08-08
3249407,"Apostel, Hans Erich",阿波斯特,,1901-1972,奥地利,作曲,nan,2017-08-08
3249408,"Appeldoorn, Christina (Dina)",阿佩敦,,1884-1938,荷兰,作曲,nan,2017-08-08
3249409,"Ara, Ugo",阿尔拉,,1876-1936,义大利,小提琴,nan,2017-08-08
3249410,"Aranyi, Jelly d'",阿兰尼,,1895-1966,匈牙利,小提琴,nan,2017-08-08
3249411,"Arbeau, Thoinot (Jehan)",阿尔波,,1519 -1595,法国,作曲,nan,2017-08-08
3249412,"Arbos, Enrique",阿玻斯,,1863-1939,西班牙,小提琴；作曲；指挥,nan,2017-08-08
3249413,"Arcà, Paolo",阿尔卡,,1953-,义大利,作曲,nan,2017-08-08
3249414,"Arcadelt, Jacob",阿卡代特,,1505-1568,比利时,作曲,nan,2017-08-08
3249415,"Archambeau, Jwan d'",阿匈播,,1879-1955,比利时,大提琴,nan,2017-08-08
3249416,"Archangelsky, Alexander",阿向盖斯基,,1846-1924,俄国,指挥；作曲,nan,2017-08-08
3249417,"Archer, Frederick",阿切尔,,1838-1901,英国,管风琴,nan,2017-08-08
3249418,"Arditi, Luigi","阿迪悌,路易吉",,1822-1903,义大利,作曲；指挥,nan,2017-08-08
3249419,"Arditti, David","阿迪悌,大卫",,1964-,俄国,作曲,nan,2017-08-08
3249420,"Arensky, Anton Stepanovich",阿伦斯基,,1861-1906,俄国,钢琴；作曲,nan,2017-08-08
3249421,"Argent, Mark",阿真特,,1964-,英国,作曲,nan,2017-08-08
3249422,"Argerich, Martha",阿赫莉希,,1941-,阿根廷,钢琴,nan,2017-08-08
3249423,"Arias, Luis",阿里亚斯,,1940-,阿根廷,作曲,nan,2017-08-08
3249424,"Arie, Raffaele    ",阿里耶,,1922-1988,保加利亚,声乐,男低音,2017-08-08
3249425,Aristoxenus,阿里斯多克赛诺斯,,B.ca.378-B.ca.322,希腊,音乐理论,nan,2017-08-08
3249426,"Arkwright, Godfrey",阿克莱特,,1864-1944,英国,音乐学,nan,2017-08-08
3249427,"Armstrong, Thomas",阿姆斯壮,,1898-1978,英国,管风琴；作曲,nan,2017-08-08
3249428,"Arnaoudov, Gheorghi",阿瑙朵夫,,1957-,保加利亚,作曲,nan,2017-08-08
3249429,"Arne, Michael","阿恩,麦可",,1740-1786,英国,作曲,nan,2017-08-08
3249430,"Arne, Thomas Augustine","阿恩,汤玛斯",,1710-1778,英国,作曲,nan,2017-08-08
3249431,"Arnell, Richard",阿尼尔,,1917-2009,英国,作曲,nan,2017-08-08
3249432,"Arnold, Malcolm",阿诺,,1921-2006   ,英国,作曲,nan,2018-05-31
3249433,"Arnould, Sophie",阿尔努,,1740-1802,法国,声乐,女高音,2017-08-08
3249434,"Arrau, Claudio",阿劳,,1903-1991,智利,钢琴,nan,2017-08-08
3249435,"Arriaga, Juan Crisostomo",阿里亚加,,1806-1826,西班牙,小提琴；作曲,nan,2017-08-08
3249436,"Arrigo, Girolamo",阿里哥,,1930-,义大利,作曲,nan,2017-08-08
3249437,"Arronte, Aitor",阿隆特,,1978-,西班牙,作曲,nan,2017-08-08
3249438,"Arroyo, Martina",阿柔友,,1936-,美国,声乐,女高音,2017-08-08
3249439,"Artegna, Francesco Ellero d'    ",阿尔提尼亚,,1900-,义大利,声乐　,男低音,2017-08-08
3249440,Artôt Désirée,"阿尔妥,黛吉蕾",,1835-1907,比利时,声乐,女高音,2017-08-08
3249441,"Artôt, Alexandre-Joseph Montagney","阿尔妥,亚力山大－约瑟夫",,1815-1845,比利时,小提琴,nan,2017-08-08
3249442,"Artved, Max    ",阿特维,,1965-,丹麦,双簧管,nan,2017-08-08
3249443,"Arundell, Dennis",阿伦德尔,,1898-1988,英国,理论；歌剧导演,nan,2017-08-08
3249444,"Arutiunian, Alexander",阿鲁突尼安,,1920-2005,亚美尼亚,作曲,nan,2017-08-08
3249445,"Asafiev, Boris",阿萨费耶夫,,1884-1949,俄国,作曲,nan,2017-08-08
3249446,"Asahina, Takashi",朝比奈隆,,1908-2001,日本,指挥,nan,2017-08-08
3249447,"Ashkenazy, Vladimir",阿胥肯纳齐,,1937-,俄国,钢琴；指挥,nan,2017-08-08
3249448,"Ashton, Algernon",阿希顿,,1859-1937,英国,作曲；钢琴,nan,2017-08-08
3249449,"Askenase, Stefan",阿斯肯纳瑟,,1896-1985,比利时,钢琴,波裔,2017-08-08
3249450,"Asperen, Bob van    ",阿斯佩伦,,1947-,荷兰,大键琴；管风琴；指挥,nan,2017-08-08
3249451,"Aston, Peter",阿斯顿,,1938-,英国,作曲；指挥,nan,2017-08-08
3249452,"Atherton, David",阿瑟顿,,1944-,英国,指挥,nan,2017-08-08
3249453,"Atkins, Ivor",阿特金斯,,1869-1953,英国,管风琴；指挥；作曲,nan,2017-08-08
3249454,"Atlas, Dalia",阿特拉斯,,1933-,以色列,指挥；钢琴,nan,2017-08-08
3249455,"Atterberg, Kurt",阿特贝格,,1887-1974,瑞典,作曲,nan,2017-08-08
3249456,"Atzmon, Moshe",阿兹蒙,,1931-,以色列,指挥,匈裔　,2017-08-08
3249457,"Auber, Daniel-François Esprit","欧贝尔,丹尼尔－弗朗索瓦",,1782-1871,法国,作曲,nan,2017-08-08
3249458,"Aubert, Jacques","欧贝尔,贾克",,1689-1753,法国,小提琴；作曲,nan,2017-08-08
3249459,"Aubert, Louis","欧贝尔,路易",,1877-1968,法国,作曲,nan,2017-08-08
3249460,"Aubin, Tony Alexandre",欧班,,1907-1981,法国,作曲,nan,2017-08-08
3249461,"Audran, Edmond",欧德隆,,1840-1901,法国,作曲,nan,2017-08-08
3249462,"Auer, Leopold",奥尔,,1845-1930,匈牙利,小提琴,nan,2017-08-08
3249463,"Auerbach, Lera",奥尔巴赫,,1973-,俄国,作曲,nan,2017-08-08
3249464,"Augér, Arleen    ",奥格尔,,1939-1993,美国,声乐,女高音,2017-08-08
3249465,"Augustus, Janice G.",奥古斯突丝,,1945-,美国,作曲,nan,2017-08-08
3249466,"Auric, Georges",欧立克,,1899-1983,法国,作曲,nan,2017-08-08
3249467,"Austin, Frederic","奥斯汀,弗瑞德立克",,1872-1952,英国,声乐；作曲,男中音,2017-08-08
3249468,"Austin, Richard","奥斯汀,理查",,1903-1989,英国,指挥,nan,2017-08-08
3249469,"Austin, Sumner","奥斯汀,山纳",,1888-1981,英国,声乐；歌剧,男中音,2017-08-08
3249470,"Austral, Florence",奥丝楚,,1894-1968,澳大利亚,声乐,女高音,2017-08-08
3249471,"Avalon, Robert",阿瓦隆,,1955-2004,美国,作曲,nan,2017-08-08
3249472,"Aveling, Valda",阿威林,,1920-2007,澳大利亚,钢琴,nan,2017-08-08
