ID,英文名稱,中文名稱,圖片,作曲家,更新日期
3193056,The Medium,灵媒,,"Menotti, Gian Carlo",2017-07-28
3193057,The Telephone,电话,,"Menotti, Gian Carlo",2017-07-28
3193058,"The Old Maid and the Thief, radio opera (1939)",老处女与小偷,,"Menotti, Gian Carlo",2017-07-28
3193059,The Island God (1942),岛神,,"Menotti, Gian Carlo",2017-07-28
3193060,The Saint of Bleecker Street (1954),布利克街的圣人,,"Menotti, Gian Carlo",2017-07-28
3193061,Maria Golovin (1958),玛莉亚葛洛文,,"Menotti, Gian Carlo",2017-07-28
3193062,"Labyrinth, television opera (1963)",迷宫,,"Menotti, Gian Carlo",2017-07-28
3193063,The Last Savage (1963),最后的野人,,"Menotti, Gian Carlo",2017-07-28
3193064,Martin's Lie (1964),马丁的谎言,,"Menotti, Gian Carlo",2017-07-28
3193065,"Help, Help, the Globolinks! (1968)",救命，救命，天外人！,,"Menotti, Gian Carlo",2017-07-28
3193066,The Most Important Man (1971),最重要的人,,"Menotti, Gian Carlo",2017-07-28
3193067,Tamu-Tamu (1973),塔姆-塔姆,,"Menotti, Gian Carlo",2017-07-28
3193068,The Egg (1976),蛋,,"Menotti, Gian Carlo",2017-07-28
3193069,The Hero (1976),英雄,,"Menotti, Gian Carlo",2017-07-28
3193070,The Trial of the Gypsy (1978),吉普赛的审判,,"Menotti, Gian Carlo",2017-07-28
3193071,La loca (1979),狂人,,"Menotti, Gian Carlo",2017-07-28
3193072,A Bride from Pluto (1982),来自冥府的新娘,,"Menotti, Gian Carlo",2017-07-28
3193073,The Boy Who Grew Too Fast (1982),成长太快的男孩,,"Menotti, Gian Carlo",2017-07-28
3193074,Goya (1986),戈雅,,"Menotti, Gian Carlo",2017-07-28
3193075,The Wedding (Giorno da Nozze) (1988),婚礼,,"Menotti, Gian Carlo",2017-07-28
3193076,The Singing Child (1993),歌唱的孩子,,"Menotti, Gian Carlo",2017-07-28
3193077,Les Huguenots,胡格诺教徒,,"Meyerbeer, Giacomo",2017-07-28
3193078,Robert le diable,恶魔罗伯,,"Meyerbeer, Giacomo",2017-07-28
3193079,Le Prophète,先知,,"Meyerbeer, Giacomo",2017-07-28
3193080,L'Africaine,非洲女郎,,"Meyerbeer, Giacomo",2017-07-28
3193081,l'étoile du nord,北方之星,,"Meyerbeer, Giacomo",2017-07-28
3193082,"Dinorah (1859, Opera Comique)",迪诺拉,,"Meyerbeer, Giacomo",2017-07-28
3193083,L'Incoronazione di Poppea,波佩亚的加冕,,"Monteverdi, Claudio",2017-07-28
3193084,Orfeo,奥菲欧,,"Monteverdi, Claudio",2017-07-28
3193085,"L'Arianna,",阿里安娜,,"Monteverdi, Claudio",2017-07-28
3193086,"Il ritorno d'Ulisse in patria,",乌利赛返乡,,"Monteverdi, Claudio",2017-07-28
3193087,Bastien und Bastienne,巴斯汀和巴斯汀娜｛可爱的牧羊女｝,,"Mozart, Wolfgang Amadeus",2017-07-28
3193088,Così fan tutte,女人皆如此,,"Mozart, Wolfgang Amadeus",2017-07-28
3193089,Der Schauspieldirektor,剧院经理,,"Mozart, Wolfgang Amadeus",2017-07-28
3193090,Die Entführung aus dem Serail,后宫诱逃,,"Mozart, Wolfgang Amadeus",2017-07-28
3193091,Die Zauberflöte,魔笛,,"Mozart, Wolfgang Amadeus",2017-07-28
3193092,Don Giovanni,唐˙乔望尼,,"Mozart, Wolfgang Amadeus",2017-07-28
3193093,Idomeneo,伊多梅尼欧,,"Mozart, Wolfgang Amadeus",2017-07-28
3193094,La Clemeza di Tito,狄托王的仁慈,,"Mozart, Wolfgang Amadeus",2017-07-28
3193095,La finta giardiniera,伪装女园丁,,"Mozart, Wolfgang Amadeus",2017-07-28
3193096,Le nozze di Figaro,费加洛婚礼,,"Mozart, Wolfgang Amadeus",2017-07-28
3193097,"Mitridate, rè di Ponto",彭特王米特里达特,,"Mozart, Wolfgang Amadeus",2017-07-28
3193098,Zaide,柴德,,"Mozart, Wolfgang Amadeus",2017-07-28
3193099,Die Schuldigkeit des ersten Gebots Part I,第一戒律的罪愆,,"Mozart, Wolfgang Amadeus",2017-07-28
3193100,Apollo et Hyacinthus,阿波罗与雅辛托斯,,"Mozart, Wolfgang Amadeus",2017-07-28
3193101,La finta semplice,单纯的伪装,,"Mozart, Wolfgang Amadeus",2017-07-28
3193102,Ascanio in Alba,阿尔巴的阿斯卡尼欧,,"Mozart, Wolfgang Amadeus",2017-07-28
3193103,Il sogno di Scipione,西皮欧内的梦,,"Mozart, Wolfgang Amadeus",2017-07-28
3193104,Lucio Silla,卢奇欧席拉,,"Mozart, Wolfgang Amadeus",2017-07-28
3193105,La finta giardiniera,冒牌女园丁,,"Mozart, Wolfgang Amadeus",2017-07-28
3193106,"Thamos, König in Ägypten",埃及王塔莫斯,,"Mozart, Wolfgang Amadeus",2017-07-28
3193107,L'oca del Cairo,开罗的鹅,,"Mozart, Wolfgang Amadeus",2017-07-28
3193108,Lo sposo deluso,受骗的丈夫,,"Mozart, Wolfgang Amadeus",2017-07-28
3193109,Boris Godounov,鲍利斯˙戈多诺夫,,"Musorgsky, Modest Petrovich",2017-07-28
3193110,Khovanshchina,贺万席奇纳,,"Musorgsky, Modest Petrovich",2017-07-28
3193111,Die lustigen Weiber von Windsor,温莎的俏娘儿们,,"Nicolai, Carl Otto",2017-07-28
3193112,La figlia abbandonata,被遗弃的女儿,,"Nicolai, Carl otto",2017-07-28
3193113,Rosmonda d'Inghilterra,英格兰的罗斯蒙达,,"Nicolai, Carl otto",2017-07-28
3193114,Il templario,圣殿,,"Nicolai, Carl otto",2017-07-28
3193115,Gildippe ed Odoardo,吉蒂珮和爱德华,,"Nicolai, Carl otto",2017-07-28
3193116,Il proscritto,被放逐者,,"Nicolai, Carl otto",2017-07-28
3193117,Die Heimkehr des Verbannten (revision of Il proscritto),被放逐者,,"Nicolai, Carl otto",2017-07-28
3193118,Der Tempelritter (revision of Il templario),圣殿,,"Nicolai, Carl otto",2017-07-28
3193119,Les Contes d'Hoffmann,霍夫曼的故事,,"Offenbach, Jacques",2017-07-28
3193120,Orphée aux Enfers,天堂与地狱,,"Offenbach, Jacques",2017-07-28
3193121,Les deux aveugles,两个盲人,,"Offenbach, Jacques",2017-07-28
3193123,Mesdames de la Halle,哈勒的女士,,"Offenbach, Jacques",2017-07-28
3193124,Orpheus in the Underworld,天堂与地狱,,"Offenbach, Jacques",2017-07-28
3193125,Jacqueline,贾桂琳,,"Offenbach, Jacques",2017-07-28
3193126,Il signor Fagotto,不修边幅的男士,,"Offenbach, Jacques",2017-07-28
3193127,La belle Hélène,倾城佳人 (美丽的海伦),,"Offenbach, Jacques",2017-07-28
3193128,Les bergers,牧羊人,,"Offenbach, Jacques",2017-07-28
3193129,Barbe-bleue,蓝胡子,,"Offenbach, Jacques",2017-07-28
3193130,La vie parisienne,巴黎生活,,"Offenbach, Jacques",2017-07-28
3193131,La Grande-Duchesse de Gérolstein,热罗斯坦公爵夫人,,"Offenbach, Jacques",2017-07-28
3193132,Robinson Crusoé,鲁宾逊漂流记,,"Offenbach, Jacques",2017-07-28
3193133,La Périchole,贝莉秀勒,,"Offenbach, Jacques",2017-07-28
3193134,Les brigands,群盗,,"Offenbach, Jacques",2017-07-28
3193135,Madame Favart,法瓦尔夫人,,"Offenbach, Jacques",2017-07-28
3193136,Der Mond,月亮,,"Orff, Carl",2017-07-28
3193137,Die Kluge,伶俐姑娘,,"Orff, Carl",2017-07-28
3193138,Il Barbiere di Siviglia,塞维里亚的理发师,,"Paisiello, Giovanni",2017-07-28
3193139,Socrate immaginario,想像中的苏格拉底,,"Paisiello, Giovanni",2017-07-28
3193140,Achille in Sciro,在希罗的阿基雷,,"Paisiello, Giovanni",2017-07-28
3193141,L'amor contrastato,不合身分的恋爱(又名磨坊女郎),,"Paisiello, Giovanni",2017-07-28
3193142,Catone in Utica,在尤悌卡的卡托内,,"Paisiello, Giovanni",2017-07-28
3193143,"Nina, o sia La pazza per amore",尼娜，噢！为爱疯狂,,"Paisiello, Giovanni",2017-07-28
3193144,I zingari in fiera,市集里的吉普赛人,,"Paisiello, Giovanni",2017-07-28
3193145,La molinara,磨坊女郎(又名不合身分的恋爱),,"Paisiello, Giovanni",2017-07-28
3193146,La Serva Padrona,管家女仆,,"Pergolesi, Giovanni Battista",2017-07-28
3193147,"Il prigionier superbo,",自豪的囚犯,,"Pergolesi, Giovanni Battista",2017-07-28
3193148,Palestrina,帕勒斯特利纳,,"Pfitzner, Hans",2017-07-28
3193149,Der arme Heinrich,可怜的海因利希,,"Pfitzner, Hans",2017-07-28
3193150,Die Rose vom Liebesgarten,爱情花园的玫瑰,,"Pfitzner, Hans",2017-07-28
3193151,Das Christ-Elflein,克利斯艾芙兰,,"Pfitzner, Hans",2017-07-28
3193152,Das Herz,心,,"Pfitzner, Hans",2017-07-28
3193153,La Gioconda,乔空达,,"Ponchielli, Amilcare",2017-07-28
3193154,Les Mamelles de Tirésias,提雷西亚斯的乳房,,"Poulenc, Francis",2017-07-28
3193155,Lyubov'k trem apel'sinam（The Love for Three Oranges）,三个橘子之恋,,"Prokofiev,  Sergei Sergeyevich",2017-07-28
3193156,Voina i Mir（War and Peace）,战争与和平,,"Prokofiev,  Sergei Sergeyevich",2017-07-28
3193157,Gianni Schicchi,强尼˙史基基,,"Puccini, Giacomo",2017-07-28
3193158,Il Tabarro,外套,,"Puccini, Giacomo",2017-07-28
3193159,La Bohème,艺术家的生涯,,"Puccini, Giacomo",2017-07-28
3193160,La Fanciulla del West,西部姑娘,,"Puccini, Giacomo",2017-07-28
3193161,La Rondine,燕子,,"Puccini, Giacomo",2017-07-28
3193162,Madama Butterfly,蝴蝶夫人,,"Puccini, Giacomo",2017-07-28
3193163,Manon Lescaut,玛侬˙雷斯可,,"Puccini, Giacomo",2017-07-28
3193164,Suor Angelica,安洁莉卡修女,,"Puccini, Giacomo",2017-07-28
3193165,Tosca,托斯卡,,"Puccini, Giacomo",2017-07-28
3193166,Turandot,杜兰朵公主,,"Puccini, Giacomo",2017-07-28
3193167,Le Villi,群妖围舞,,"Puccini, Giacomo",2017-07-28
3193168,Edgar,爱德嘉,,"Puccini, Giacomo",2017-07-28
3193169,Il trittico,三连剧,,"Puccini, Giacomo",2017-07-28
3193170,Dido and Aeneas,戴多和艾尼亚斯,,"Purcell, Henry",2017-07-28
3193171,Aleko,阿列科,,"Rachmaninoff, Sergey Vassilievitch",2017-07-28
3193172,L'Enfant et les Sortilèges,顽童与魔法,,"Ravel, Maurice",2017-07-28
3193173,L'Heure Espagnole,西班牙时间,,"Ravel, Maurice",2017-07-28
3193174,Arabella,阿拉贝拉,,Richard Strauss,2017-07-28
3193175,Ariadne auf Naxos,纳索斯岛的阿丽亚德妮,,Richard Strauss,2017-07-28
3193176,Capriccio,随想曲,,Richard Strauss,2017-07-28
3193177,Der Rosenkavalier,玫瑰骑士,,Richard Strauss,2017-07-28
3193178,Die Frau ohne Schatten,没有影子的女人,,Richard Strauss,2017-07-28
3193179,Die schweigsame Frau,沉默的女人,,Richard Strauss,2017-07-28
3193180,Elektra,艾蕾克特拉,,Richard Strauss,2017-07-28
3193181,Salome,莎乐美,,Richard Strauss,2017-07-28
3193182,Sadko,萨德科,,"Rimsky-Korsakov, Nicolai Andreievitch",2017-07-28
3193183,Tsarskaya Nevesta,沙皇的新娘,,"Rimsky-Korsakov, Nicolai Andreievitch",2017-07-28
3193184,Zolotoi Petushok,金鸡,,"Rimsky-Korsakov, Nicolai Andreievitch",2017-07-28
3193185,The Student Prince,学生王子,,"Romborg, Sigmund",2017-07-28
3193186,"Elisabetta, Regina d'Inghilterra",英国女王伊丽莎白,,"Rossini, Gioacchino",2017-07-28
3193187,Guglielmo Tell(Guillaume Tell),威廉泰尔,,"Rossini, Gioacchino",2017-07-28
