ID,英文名稱,中文名稱,圖片,語言,備註,更新日期
3236703,accordo comune alle due tonalità {It.},共通和弦（弦）；枢纽和弦（弦）；中介和弦（弦）,,义,nan,2017-08-08
3236704,accordo consonante {It.},协和和弦（弦）,,义,nan,2017-08-08
3236705,accordo di dominante {It.},属和弦（弦）,,义,nan,2017-08-08
3236706,accordo di nona {It.},九和弦（弦）,,义,nan,2017-08-08
3236707,accordo di quarta e sesta {It.},六四和弦（弦）,,义,nan,2017-08-08
3236708,accordo di sesta aumentata {It.},增六和弦（弦）,,义,nan,2017-08-08
3236709,accordo di sesta {It.},六和弦（弦）,,义,nan,2017-08-08
3236710,accordo di settima di dominante {It.},属七和弦（弦）,,义,nan,2017-08-08
3236711,accordo di settima diminuita {It.},减七和弦（弦）,,义,nan,2017-08-08
3236712,accordo di settima maggiore {It.},大七和弦（弦）,,义,nan,2017-08-08
3236713,accordo di settima minore {It.},小七和弦（弦）,,义,nan,2017-08-08
3236714,accordo di settima {It.},七和弦（弦）,,义,nan,2017-08-08
3236715,accordo di tonica {It.},主和弦（弦）,,义,nan,2017-08-08
3236716,accordo di tredicesima {It.},十三和弦（弦）,,义,nan,2017-08-08
3236717,accordo di undicesima {It.},十一和弦（弦）,,义,nan,2017-08-08
3236718,accordo imperfetto {It.},不完全和弦（弦）,,义,nan,2017-08-08
3236719,accordo in dissonanze {It.},不协和和弦（弦）,,义,nan,2017-08-08
3236720,accordo perfetto maggiore {It.},大三和弦（弦）,,义,nan,2017-08-08
3236721,accordo perfetto minore {It.},小三和弦（弦）,,义,nan,2017-08-08
3236722,accordo perfetto {It.},完全和弦（弦）,,义,nan,2017-08-08
3236723,accordo rivoltato {It.},转位和弦（弦）,,义,nan,2017-08-08
3236724,accordo {It.},和弦（弦）,,义,nan,2017-08-08
3236725,accrescendo {It.},渐强,,义,nan,2017-08-08
3236726,accuratamente {It.},细致；精致,,义,nan,2017-08-08
3236727,accuratezza {It.},精确的,,义,nan,2017-08-08
3236728,accuratezzacon {It.},精确的,,义,nan,2017-08-08
3236729,accusé {Fr.},强调的；加重的,,法,nan,2017-08-08
3236730,acetabule {Lat.},铜钹｛罗马｝,,拉,nan,2017-08-08
3236731,Achtel {Ger.},八分音符,,德,nan,2017-08-08
3236732,Achtelnote {Ger.},八分音符,,德,nan,2017-08-08
3236733,Achtelpause {Ger.},八分休止符,,德,nan,2017-08-08
3236734,Achtelton {Ger.},八分音,,德,nan,2017-08-08
3236735,achtzähliger Takt {Ger.},八拍子,,德,nan,2017-08-08
3236736,acoustic,音响的；音响学的,,英,nan,2017-08-08
3236737,acoustic bass,声响低音｛管风琴用法｝；低音提琴｛通俗音乐用法｝,,英,nan,2017-08-08
3236738,acoustic guitar,音响吉他,,英,nan,2017-08-08
3236739,acoustic physiology,音响生理学,,英,nan,2017-08-08
3236740,acoustics,音响学；音响效果；声学,,英,nan,2017-08-08
3236741,Acoustik {Ger.},音响学,,德,nan,2017-08-08
3236742,acoustique architecturale {Fr.},建筑声响学,,法,nan,2017-08-08
3236743,acoustique musicale {Fr.},音乐音响学,,法,nan,2017-08-08
3236744,acoustique {Fr.},音响学,,法,nan,2017-08-08
3236745,act tune,间奏曲,,英,nan,2017-08-08
3236746,action,击弦（弦）系统｛键盘乐器｝；键钮装置｛管乐器｝；弦高｛吉他｝,,英,nan,2017-08-08
3236747,active scale-step,动音级,,英,nan,2017-08-08
3236748,active tone,动音级,,英,nan,2017-08-08
3236749,acustica musicale {It.},音乐音响学,,义,nan,2017-08-08
3236750,acustica {It.},音响学,,义,nan,2017-08-08
3236751,acute,后倚音,,英,nan,2017-08-08
3236752,ad libitum {= ad lib.} {Lat.},自由的,,拉,nan,2017-08-08
3236753,adagietto {It.},稍慢板,,义,nan,2017-08-08
3236754,adagio assai {It.},相当的慢板,,义,nan,2017-08-08
3236755,adagio {It.},慢板,,义,nan,2017-08-08
3236756,adagissimo {It.},极慢板,,义,nan,2017-08-08
3236757,added free part,附加自由声部,,英,nan,2017-08-08
3236758,added line,加线,,英,nan,2017-08-08
3236759,added sixth,加六和弦（弦）,,英,nan,2017-08-08
3236760,added sixth chord,加六和弦（弦）,,英,nan,2017-08-08
3236761,added time,合成拍子,,英,nan,2017-08-08
3236762,additional accompaniment,附加伴奏,,英,nan,2017-08-08
3236763,additional entry,附加导入,,英,nan,2017-08-08
3236764,additional voice,附加声部,,英,nan,2017-08-08
3236765,additive rhythm,附加节奏,,英,nan,2017-08-08
3236766,addolcendo {It.},温柔的,,义,nan,2017-08-08
3236767,addolorato {It.},悲伤的；痛心的,,义,nan,2017-08-08
3236768,Adiaphone {Gr.},音叉琴,,希,nan,2017-08-08
3236769,adiaphonon {Ger.},阿迪亚封农琴｛奥地利｝,,德,nan,2017-08-08
3236770,adirato {It.},愤怒的；激怒的,,义,nan,2017-08-08
3236771,adjuster,微调器,,英,nan,2017-08-08
3236772,aeolian bells,风铃,,英,nan,2017-08-08
3236773,Aeolian bow,风鸣弓,,英,nan,2017-08-08
3236774,aeolian harp,风鸣琴,,英,nan,2017-08-08
3236775,aeolian mode,伊奥利安调式,,英,nan,2017-08-08
3236776,aeolian pipe,风鸣笛,,英,nan,2017-08-08
3236777,aeolian scale,伊奥利安音阶,,英,nan,2017-08-08
3236778,aeoline,音栓（管风琴的一种）,,英,nan,2017-08-08
3236779,aeolopantalon,风鸣钢琴,,英,nan,2017-08-08
3236780,aeroforo {It.},风袋,,义,nan,2017-08-08
3236781,Aerophon {Ger.},风袋；气鸣乐器,,德,nan,2017-08-08
3236782,aerophone,气鸣乐器,,英,nan,2017-08-08
3236783,aerophor,风袋,,英,nan,2017-08-08
3236784,aesthetic accent,美化强音,,英,nan,2017-08-08
3236785,aesthetic categories,美的范畴,,英,nan,2017-08-08
3236786,aesthetics of music,音乐美学,,英,nan,2017-08-08
3236787,affabile {It.},和蔼的；温柔的,,义,nan,2017-08-08
3236788,affaiblissant {Fr.},渐弱的,,法,nan,2017-08-08
3236789,affannoso {It.},苦恼的；痛苦的；焦虑的；不安的,,义,nan,2017-08-08
3236790,Affektenlehre {Ger.},情意说,,德,nan,2017-08-08
3236791,affetti {It.},动人的；感性的；情意说,,义,nan,2017-08-08
3236792,affetto{It.},情感；情绪,,义,nan,2017-08-08
3236793,affettuoso {It.},深情的；富于情感的,,义,nan,2017-08-08
3236794,affinales {Lat.},终止音,,拉,nan,2017-08-08
3236795,affinalis {Lat.},终止音,,拉,nan,2017-08-08
3236796,afflitto {It.},懊恼的；悲痛的,,义,nan,2017-08-08
3236797,affrettando {It.},加快的；加紧的；急促的,,义,nan,2017-08-08
3236798,affrettoso {It.},急迫的；匆促的,,义,nan,2017-08-08
3236799,afinando {Sp.},调律法；音律,,西,nan,2017-08-08
3236800,Afro-American music,非裔美人音乐,,英,nan,2017-08-08
3236801,after beat,后拍音,,英,nan,2017-08-08
3236802,after note,后倚音,,英,nan,2017-08-08
3236803,after phrase,后句,,英,nan,2017-08-08
3236804,agenda,仪式；仪式书,,英,nan,2017-08-08
3236805,Agende {Ger.},仪式；仪式书,,德,nan,2017-08-08
3236806,agevole {It.},轻快的；愉快的,,义,nan,2017-08-08
3236807,aggiustamente {It.},严守节拍的,,义,nan,2017-08-08
3236808,agiatamente {It.},轻松的；自在的,,义,nan,2017-08-08
3236809,agiato {It.},轻松的；自在的,,义,nan,2017-08-08
3236810,agilmente {Ger.},敏捷的,,义,nan,2017-08-08
3236811,agitato {It.},激动的,,义,nan,2017-08-08
3236812,Agnus Dei {Lat.},羔羊经,,拉,nan,2017-08-08
3236813,agogic,弹性处理；速度法,,英,nan,2017-08-08
3236814,agogic accent,长强音,,英,nan,2017-08-08
3236815,agogica {It.},弹性处理；速度法,,义,nan,2017-08-08
3236816,agogics,弹性处理；速度法,,英,nan,2017-08-08
3236817,Agogik {Ger.},弹性处理；速度法,,德,nan,2017-08-08
3236818,agogique {Fr.},弹性处理；速度法,,法,nan,2017-08-08
3236819,agogischer Akzent {Ger.},长强音,,德,nan,2017-08-08
3236820,agrément {Fr.},装饰音,,法,nan,2017-08-08
3236821,Ähnlich {Ger.},以下同；同样的,,德,nan,2017-08-08
3236822,Aida trumpet,阿依达小号,,英,nan,2017-08-08
3236823,aigu ( ë ) {Fr.},尖锐的（指声音）,,法,nan,2017-08-08
3236824,air and variations,歌调变奏曲,,英,nan,2017-08-08
3236825,air de caractère {Fr.},特性曲；特性作品,,法,nan,2017-08-08
3236826,air de cour {Fr.},宫廷歌曲,,法,nan,2017-08-08
3236827,air reed,气簧,,英,nan,2017-08-08
3236828,air varié {Fr.},歌调变奏曲,,法,nan,2017-08-08
3236829,air with variation,歌调变奏曲,,英,nan,2017-08-08
3236830,air {Fr.},歌；歌曲；曲调,,法,nan,2017-08-08
3236831,aire {Sp.},歌；歌曲；曲调,,西,nan,2017-08-08
3236832,Ais {Ger.},升Ａ,,德,nan,2017-08-08
3236833,aise {Fr.},舒适的；自在的,,法,nan,2017-08-08
3236834,Aisis {Ger.},重升A,,德,nan,2017-08-08
3236835,Akademie {Gr.},学会；学院；音乐会,,德,nan,2017-08-08
3236836,Akklamation {Ger.},欢呼歌,,德,nan,2017-08-08
3236837,Akkompagnement {Ger.},伴奏,,德,nan,2017-08-08
3236838,Akkord {Ger.},和弦（弦）,,德,nan,2017-08-08
3236839,Akkordbezeichnung {Ger.},和弦记号,,德,nan,2017-08-08
3236840,Akkordeon {Ger.},手风琴,,德,nan,2017-08-08
3236841,Akkordfolge {Ger.},和弦（弦）连接,,德,nan,2017-08-08
3236842,Akkordfortschreitung {Ger.},和声进行,,德,nan,2017-08-08
3236843,Akkordgitarre {Ger.},和弦（弦）吉他,,德,nan,2017-08-08
3236844,Akkordton {Ger.},和声音,,德,nan,2017-08-08
3236845,Akkordverbindung {Ger.},和弦（弦）连接,,德,nan,2017-08-08
3236846,Akustik {Ger.},音响学,,德,nan,2017-08-08
3236847,Akzent {Ger.},重音,,德,nan,2017-08-08
3236848,Akzidens {Ger.},临时记号；变化记号,,德,nan,2017-08-08
3236849,Akzidentale {Ger.},临时记号；变化记号,,德,nan,2017-08-08
3236850,al aire {Sp.},挑弦（弦）法,,西,nan,2017-08-08
3236851,al fine {It.},奏至结束记号处,,义,nan,2017-08-08
3236852,al loco {It.},恢复原位（升高八度之后）,,义,nan,2017-08-08
3236853,al piacere {It.},随意的,,义,nan,2017-08-08
3236854,al riverso {It.},逆行的,,义,nan,2017-08-08
3236855,al roverscio imitation,逆模仿,,英,nan,2017-08-08
3236856,al rovescio {It.},逆行的,,义,nan,2017-08-08
3236857,al segno {It.},至记号,,义,nan,2017-08-08
3236858,àl'écrevisse {Fr.},逆行,,法,nan,2017-08-08
3236859,Alabado {Sp.},阿拉巴多｛圣歌｝,,西,nan,2017-08-08
3236860,alalá {Sp.},阿拉拉｛民歌｝,,西,nan,2017-08-08
3236861,âlâp {In.},阿拉普；散板导奏,,印度,nan,2017-08-08
3236862,âlâpana {In.},阿拉普；散板导奏,,印度,nan,2017-08-08
3236863,alba {Fr.},晨歌,,法,nan,2017-08-08
3236864,Albert system,阿伯特系统｛单簧管｝,,英,nan,2017-08-08
3236865,alberti bass,阿贝提低音,,英,nan,2017-08-08
3236866,albisifono {It.},阿尔比西长笛,,义,nan,2017-08-08
3236867,albisiphon,阿尔比西长笛,,英,nan,2017-08-08
3236868,albisiphono {It.},阿尔比西长笛,,义,nan,2017-08-08
3236869,alboka,阿尔波卡管,,英,nan,2017-08-08
3236870,alborada {Sp.},晨歌,,西,nan,2017-08-08
3236871,album,专辑；曲辑,,英,nan,2017-08-08
3236872,album leaf,册叶,,英,nan,2017-08-08
3236873,Albumblatt {Ger.},册叶,,德,nan,2017-08-08
3236874,albumleaf,册叶,,英,nan,2017-08-08
3236875,Aleatorische Musik {Ger.},机遇音乐,,德,nan,2017-08-08
3236876,aleatory music,机遇音乐,,英,nan,2017-08-08
3236877,alegrias {Sp.},阿列格利亚舞曲,,西,nan,2017-08-08
3236878,alexander organ,亚力山大风琴,,英,nan,2017-08-08
3236879,aliquot scaling,共鸣弦（弦）,,英,nan,2017-08-08
3236880,Aliquot {Ger.},共鸣弦（弦）；泛音,,德,nan,2017-08-08
3236881,Aliquotflügel {Ger.},共鸣弦（弦）钢琴,,德,nan,2017-08-08
3236882,all'inlterludio {It.},接间奏,,义,nan,2017-08-08
3236883,all'ottava {It.},高八度,,义,nan,2017-08-08
3236884,alla breve {It.},二二拍子,,义,nan,2017-08-08
3236885,alla coda {It.},接尾声（奏）,,义,nan,2017-08-08
3236886,alla francese {It.},法国风的,,义,nan,2017-08-08
3236887,alla gitana {It.},吉普赛风的,,义,nan,2017-08-08
3236888,alla marcia {It.},进行曲风的,,义,nan,2017-08-08
3236889,alla mente {It.},即兴的,,义,nan,2017-08-08
3236890,alla militare {It.},军乐风格,,义,nan,2017-08-08
3236891,alla polacca {It.},波兰风的,,义,nan,2017-08-08
3236892,alla riversa {It.},逆行的,,义,nan,2017-08-08
3236893,alla russe {It.},俄国风的,,义,nan,2017-08-08
3236894,alla spagnola {It.},西班牙风,,义,nan,2017-08-08
3236895,alla tedesca {It.},德国风的,,义,nan,2017-08-08
3236896,alla truca {It.},土耳其风的,,义,nan,2017-08-08
3236897,alla zingara {It.},吉普赛风的,,义,nan,2017-08-08
3236898,alla zingarese {It.},吉普赛风的,,义,nan,2017-08-08
3236899,alla zoppa {It.},跛行节拍,,义,nan,2017-08-08
3236900,alla {It.},如…的风格,,义,nan,2017-08-08
3236901,allant {Fr.},进行中；继续,,法,nan,2017-08-08
3236902,allargando {It.},渐宽阔；渐慢,,义,nan,2017-08-08
3236903,alle {Ger.},全部,,德,nan,2017-08-08
3236904,allegramente {It.},明朗的；快乐的,,义,nan,2017-08-08
3236905,allégrement {Fr.},明朗的；快乐的,,法,nan,2017-08-08
3236906,allegrettissimo {It.},最快板,,义,nan,2017-08-08
3236907,allegretto {It.},稍快板,,义,nan,2017-08-08
3236908,allegrezza {It.},欢欣的,,义,nan,2017-08-08
3236909,allegrissimo {It.},极快的快板,,义,nan,2017-08-08
3236910,allegro assai {It.},相当快的快板,,义,nan,2017-08-08
3236911,allegro moderato {It.},中庸的快板,,义,nan,2017-08-08
3236912,allegro {It.},快板,,义,nan,2017-08-08
3236913,alleluia {Lat.},阿雷路亚；阿利路亚｛颂赞曲｝,,拉,nan,2017-08-08
3236914,allemande {Fr.}{It.},阿勒曼德舞曲｛德国舞曲｝,,法．义,nan,2017-08-08
3236915,allentamento {It.},慢慢的,,义,nan,2017-08-08
3236916,allentando {It.},渐慢,,义,nan,2017-08-08
3236917,alliteration,头韵,,英,nan,2017-08-08
3236918,allitération {Fr.},头韵,,法,nan,2017-08-08
3236919,allmählich {Ger.},逐渐的,,德,nan,2017-08-08
3236920,allonger {Fr.},延长,,法,nan,2017-08-08
3236921,alma {Sp.},音柱,,西,nan,2017-08-08
3236922,almérie {Fr.},阿尔美利琴｛鲁特琴｝,,法,nan,2017-08-08
3236923,alpenhorn,阿尔卑斯号,,英,nan,2017-08-08
3236924,alphabetic notation,字母谱,,英,nan,2017-08-08
3236925,alphorn {Ger.},阿尔卑斯号,,德,nan,2017-08-08
3236926,Alt {Ger.},中音｛音域｝；女低音；中音乐器,,德,nan,2017-08-08
3236927,alta {It.},阿尔塔舞曲；高的,,义,nan,2017-08-08
3236928,alteratio {Lat.},变换音值,,拉,nan,2017-08-08
3236929,alteration,变化音,,英,nan,2017-08-08
3236930,altération {Fr.},变化音,,法,nan,2017-08-08
3236931,Alteration {Ger.},变化音,,德,nan,2017-08-08
3236932,alterazione {It.},变化音,,义,nan,2017-08-08
3236933,altered chord,变化和弦（弦）,,英,nan,2017-08-08
3236934,altered tone,变化音,,英,nan,2017-08-08
3236935,alterierter Akkord,变化和弦（弦）,,英,nan,2017-08-08
3236936,alternando {It.},轮番的；交替的,,义,nan,2017-08-08
3236937,alternatim {Lat.},交替,,拉,nan,2017-08-08
3236938,alternation,交替,,英,nan,2017-08-08
3236939,alternation of time,拍子交替,,英,nan,2017-08-08
3236940,alternative,交替,,英,nan,2017-08-08
3236941,alternative ending,择一结束,,英,nan,2017-08-08
3236942,alternative {Fr.},交替,,法,nan,2017-08-08
3236943,alternativement {Fr.},乐段交替,,法,nan,2017-08-08
3236944,alternativo {It.},乐段交替,,义,nan,2017-08-08
3236945,Alterschwerhörigkeit {Ger.},老人性重听,,德,nan,2017-08-08
3236946,altezza assoluto {It.},绝对音高,,义,nan,2017-08-08
3236947,Altflöte {Ger.},中音长笛,,德,nan,2017-08-08
3236948,Althorn{Ger.},中音号,,德,nan,2017-08-08
3236949,altissimo {It.},很高,,义,nan,2017-08-08
3236950,Altklarinette {Ger.},中音单簧管,,德,nan,2017-08-08
3236951,alto,中音｛音域｝；女低音；中音乐器；中提琴｛法｝,,英,nan,2017-08-08
3236952,alto chiave {It.},中音谱号,,义,nan,2017-08-08
3236953,alto clarinet,中音单簧管,,英,nan,2017-08-08
3236954,alto clé {Fr.},中音谱号,,法,nan,2017-08-08
3236955,alto clef,中音谱号,,英,nan,2017-08-08
3236956,alto fagotto {It.},中低音管,,义,nan,2017-08-08
3236957,alto Flügelhorn {Ger.},中音富鲁格号,,德,nan,2017-08-08
3236958,alto flute,中音长笛,,英,nan,2017-08-08
3236959,alto guitar,高音吉他,,英,nan,2017-08-08
3236960,alto horn,中音号,,英,nan,2017-08-08
