ID,英文名稱,中文名稱,圖片,備註,更新日期
2721279,Alfven velocity,阿尔文速度,nan,太空名词,2016-10-24
2721280,Alfyen waves,阿尔文波,nan,太空名词,2016-10-24
2721281,all-inertial guidance,全惯性导航,nan,太空名词,2016-10-24
2721282,Alouette Satellite,百灵鸟卫星； 云雀卫星,nan,太空名词,2016-10-24
2721283,alpha ionization,α射线游离,nan,太空名词,2016-10-24
2721284,alpha particle,α粒子,nan,太空名词,2016-10-24
2721285,alpha-rays,α射线,nan,太空名词,2016-10-24
2721286,altostratus cloud,高层云,nan,太空名词,2016-10-24
2721287,ambient magnetic field,背景磁场；周围磁场,nan,太空名词,2016-10-24
2721288,ambipolar diffusion coefficient,双极扩散系数,nan,太空名词,2016-10-24
2721289,American Institute of Aeronautics and Astronautics,美国航空太空学会 {=AIAA},nan,太空名词,2016-10-24
2721290,an isotropic universe,各向异性宇宙,nan,太空名词,2016-10-24
2721291,angle modulation,角度调变,nan,太空名词,2016-10-24
2721292,angle of attack,攻角；冲角,nan,太空名词,2016-10-24
2721293,angle of climb,爬升角；上升角,nan,太空名词,2016-10-24
2721294,angle of declination,偏角,nan,太空名词,2016-10-24
2721295,angle of depression,俯角,nan,太空名词,2016-10-24
2721296,angle of descent,下降角,nan,太空名词,2016-10-24
2721297,angle of deviation,偏[向]角,nan,太空名词,2016-10-24
2721298,angle of elevation,仰角,nan,太空名词,2016-10-24
2721299,angle of inclination,倾角,nan,太空名词,2016-10-24
2721300,angle of lag,滞后角,nan,太空名词,2016-10-24
2721301,angle of lead,超前角,nan,太空名词,2016-10-24
2721302,angle of spread,展开角,nan,太空名词,2016-10-24
2721303,angle of torsion,扭角,nan,太空名词,2016-10-24
2721304,angle of twist,扭转角,nan,太空名词,2016-10-24
2721305,angular gyro-frequencies,回旋角频率； 回转角频率,nan,太空名词,2016-10-24
2721306,angular polarization,角偏极,nan,太空名词,2016-10-24
2721307,angular position,角位置,nan,太空名词,2016-10-24
2721308,Anno Domini,公元,nan,太空名词,2016-10-24
2721309,annual means,年平均,nan,太空名词,2016-10-24
2721310,annual time span,年跨度,nan,太空名词,2016-10-24
2721311,anomalous ionization,异常电离,nan,太空名词,2016-10-24
2721312,anomalous tail,异常彗尾,nan,太空名词,2016-10-24
2721313,anomalous Zeeman effect,异常季曼效应,nan,太空名词,2016-10-24
2721314,Antarctic Circle,南极圈,nan,太空名词,2016-10-24
2721315,antarctic ozone distribution,南极臭氧分布,nan,太空名词,2016-10-24
2721316,antarctic tropospheric anticyclone,南极对流层反气旋,nan,太空名词,2016-10-24
2721317,Antarctica,南极大陆；南极洲,nan,太空名词,2016-10-24
2721318,antielectron,反电子,nan,太空名词,2016-10-24
2721319,antigravity,抗重力,nan,太空名词,2016-10-24
2721320,antiparallel,反平行；逆平行,nan,太空名词,2016-10-24
2721321,antisolar,反日；背日,nan,太空名词,2016-10-24
2721322,antisolar direction,反日方向；背日方向,nan,太空名词,2016-10-24
2721323,antisunward,反日向；背日向,nan,太空名词,2016-10-24
2721324,Ap index,Ap地磁指数,nan,太空名词,2016-10-24
2721325,apex,顶点；向点,nan,太空名词,2016-10-24
2721326,apex of Earth's motion,地球运动向点,nan,太空名词,2016-10-24
2721327,apogee kick motor,远地点发动机,nan,太空名词,2016-10-24
2721328,apogee motor,远地点发动机,nan,太空名词,2016-10-24
2721329,apogee speed,远地点速率,nan,太空名词,2016-10-24
2721330,apparent electron content,视电子含量,nan,太空名词,2016-10-24
2721331,apparent height,视高,nan,太空名词,2016-10-24
2721332,apparent reflection height,视反射高度,nan,太空名词,2016-10-24
2721333,apparent speed,视速率,nan,太空名词,2016-10-24
2721334,apparent surface brightness,视表面亮度,nan,太空名词,2016-10-24
2721335,Appleton-Hartree formula,阿普顿-哈崔公式,nan,太空名词,2016-10-24
2721336,Applications Technology Satellite {=ATS},应用科技卫星,nan,太空名词,2016-10-24
2721337,applied frequency,外加频率,nan,太空名词,2016-10-24
2721338,applied geophysics,应用地球物理学,nan,太空名词,2016-10-24
2721339,Arc,弧,nan,太空名词,2016-10-24
2721340,arc discharge,电弧放电,nan,太空名词,2016-10-24
2721341,Arctic Circle,北极圈,nan,太空名词,2016-10-24
2721342,arctic pole,北极,nan,太空名词,2016-10-24
2721343,area coverage,覆盖区,nan,太空名词,2016-10-24
2721344,area coverage rate,区域覆盖率,nan,太空名词,2016-10-24
2721345,areocentric,火星中心的,nan,太空名词,2016-10-24
2721346,argument of the perihelion,近日点幅角,nan,太空名词,2016-10-24
2721347,associative detachment,缔合后分离,nan,太空名词,2016-10-24
2721348,asteroid ring,小行星环带,nan,太空名词,2016-10-24
2721349,asteroid zone,小行星区带,nan,太空名词,2016-10-24
2721350,astronautics,太空航行学,nan,太空名词,2016-10-24
2721351,astronomical equator,天文赤道,nan,太空名词,2016-10-24
2721352,asymmetric effect,不对称效应,nan,太空名词,2016-10-24
2721353,atmosphere density,大气密度,nan,太空名词,2016-10-24
2721354,atmosphere heating,大气加热,nan,太空名词,2016-10-24
2721355,atmosphere optical thickness,大气光学厚度,nan,太空名词,2016-10-24
2721356,atmosphere scale height,大气标尺高；大气尺度高,nan,太空名词,2016-10-24
2721357,atmospheric boundary,大气边界,nan,太空名词,2016-10-24
2721358,atmospheric composition,大气组成,nan,太空名词,2016-10-24
2721359,atmospheric diffusion,大气扩散,nan,太空名词,2016-10-24
2721360,atmospheric dynamo,大气发电机,nan,太空名词,2016-10-24
2721361,atmospheric electric parameters,大气电参数,nan,太空名词,2016-10-24
2721362,atmospheric emission,大气发射,nan,太空名词,2016-10-24
2721363,Atmospheric Explorer {=AE} satellite,大气探测者卫星,nan,太空名词,2016-10-24
2721364,atmospheric oscillation,大气振荡,nan,太空名词,2016-10-24
2721365,atmospheric pressure,大气压力,nan,太空名词,2016-10-24
2721366,atmospheric processes,大气过程,nan,太空名词,2016-10-24
2721367,atmospheric drag,大气拖曳；大气阻力,nan,太空名词,2016-10-24
2721368,auroral substorm,极光副暴,nan,太空名词,2016-10-24
2721369,Ba + clouds,钡离子云,nan,太空名词,2016-10-24
2721370,background count,背景计数,nan,太空名词,2016-10-24
2721371,background luminance,背景亮度,nan,太空名词,2016-10-24
2721372,background noise,背景噪音；背景杂讯,nan,太空名词,2016-10-24
2721373,backscatter,反向散射；背向散射,nan,太空名词,2016-10-24
2721374,backscatter cross-section,反向散射截面；背向散射截面,nan,太空名词,2016-10-24
2721375,backscattered electron,反向散射电子,nan,太空名词,2016-10-24
2721376,ball lightning,球状闪电,nan,太空名词,2016-10-24
2721377,balloon,气球,nan,太空名词,2016-10-24
2721378,balloon altitude,气球高度,nan,太空名词,2016-10-24
2721379,balloon observation,气球观测,nan,太空名词,2016-10-24
2721380,balloon satellite,球载卫星,nan,太空名词,2016-10-24
2721381,balloon sounding,气球探测,nan,太空名词,2016-10-24
2721382,balloon-borne detector,球载探测器,nan,太空名词,2016-10-24
2721383,band,谱带,nan,太空名词,2016-10-24
2721384,band width,谱宽；频宽,nan,太空名词,2016-10-24
2721385,band-pass filter,带通滤波器,nan,太空名词,2016-10-24
2721386,bar,巴{压力单位},nan,太空名词,2016-10-24
2721387,barium clouds,钡云,nan,太空名词,2016-10-24
2721388,barium ion cloud experiment,钡离子云实验,nan,太空名词,2016-10-24
2721389,barium vapour,钡蒸气,nan,太空名词,2016-10-24
2721390,baroclinic,斜压的,nan,太空名词,2016-10-24
2721391,baroclinic flow,斜压流,nan,太空名词,2016-10-24
2721392,barogram,气压自计图；气压自记曲线,nan,太空名词,2016-10-24
2721393,barograph,气压仪,nan,太空名词,2016-10-24
2721394,barometer,气压计,nan,太空名词,2016-10-24
2721395,barometric height,气压高度,nan,太空名词,2016-10-24
2721396,barosphere,气压层,nan,太空名词,2016-10-24
2721397,barotropic fluid,正压流体,nan,太空名词,2016-10-24
2721398,barotropic model,正压模式,nan,太空名词,2016-10-24
2721399,barotropy,正压,nan,太空名词,2016-10-24
2721400,Bartel's Kp index,巴特尔Kp指数,nan,太空名词,2016-10-24
2721401,barycenter,引力中心；质[量中]心,nan,太空名词,2016-10-24
2721402,barycentric coordinate,质心坐标,nan,太空名词,2016-10-24
2721403,base line,基线,nan,太空名词,2016-10-24
2721404,beacon,信标,nan,太空名词,2016-10-24
2721405,beacon delay,信标延时,nan,太空名词,2016-10-24
2721406,beacon satellite,信标卫星,nan,太空名词,2016-10-24
2721407,beacon skipping,信标间断,nan,太空名词,2016-10-24
2721408,beacon tracking,信标跟踪,nan,太空名词,2016-10-24
2721409,beam,波束；光束,nan,太空名词,2016-10-24
2721410,beam antenna,定向[波束]天线,nan,太空名词,2016-10-24
2721411,beam area,射束区域,nan,太空名词,2016-10-24
2721412,beam efficiency,射束效率,nan,太空名词,2016-10-24
2721413,beam splitter,射束分裂器,nan,太空名词,2016-10-24
2721414,beam width,射束宽度,nan,太空名词,2016-10-24
2721415,beat frequency,拍频；差频,nan,太空名词,2016-10-24
2721416,Beer-Lambert law,比尔-兰伯特定律,nan,太空名词,2016-10-24
2721417,"Before Christ, B.C.",公元前,nan,太空名词,2016-10-24
2721418,beginning of partial eclipse,偏食始；初亏,nan,太空名词,2016-10-24
2721419,beginning of totality,全食始,nan,太空名词,2016-10-24
2721420,belt of totality,全食带,nan,太空名词,2016-10-24
2721421,Bernoulli probability,伯努力概率,nan,太空名词,2016-10-24
2721422,Bernoulli’s theorem,伯努力定理,nan,太空名词,2016-10-24
2721423,Bessel equation,贝塞尔方程,nan,太空名词,2016-10-24
2721424,Bessel function,贝塞尔函数,nan,太空名词,2016-10-24
2721425,beta decay,β衰变,nan,太空名词,2016-10-24
2721426,beta factor,β因子,nan,太空名词,2016-10-24
2721427,beta particle,β粒子,nan,太空名词,2016-10-24
2721428,beta spectrum,β谱,nan,太空名词,2016-10-24
2721429,beta-rays,β射线,nan,太空名词,2016-10-24
2721430,beta-transition,β跃迁,nan,太空名词,2016-10-24
2721431,betatron,β回旋加速器,nan,太空名词,2016-10-24
2721432,betatron acceleration,β回旋加速,nan,太空名词,2016-10-24
2721433,betatron effect,β回旋效应,nan,太空名词,2016-10-24
2721434,betatron mechanism,β回旋加速机制,nan,太空名词,2016-10-24
2721435,bi-Maxwellian distribution,双马克斯威分布,nan,太空名词,2016-10-24
2721436,bidirectional,双向的,nan,太空名词,2016-10-24
2721437,binding energy,结合能；束缚能,nan,太空名词,2016-10-24
2721438,binomial distribution,二项式分布,nan,太空名词,2016-10-24
2721439,binomial porbability,二项式机率,nan,太空名词,2016-10-24
2721440,biosphere,生物层,nan,太空名词,2016-10-24
2721441,bipolar group,双极[黑子]群,nan,太空名词,2016-10-24
2721442,bipolar magnetic region,双极磁区,nan,太空名词,2016-10-24
2721443,bipolar sunspot,双极黑子,nan,太空名词,2016-10-24
2721444,black body,黑体,nan,太空名词,2016-10-24
2721445,blackbody radiation,黑体辐射,nan,太空名词,2016-10-24
2721446,blackbody temperature,黑体温度,nan,太空名词,2016-10-24
2721447,blackout,中断{无线电通信},nan,太空名词,2016-10-24
2721448,blast wave,爆炸波,nan,太空名词,2016-10-24
2721449,blocking circulation,阻塞环流,nan,太空名词,2016-10-24
2721450,blocking pattern,阻塞型式,nan,太空名词,2016-10-24
2721451,blue shift {=blueshift},蓝移,nan,太空名词,2016-10-24
2721452,body wave,体波,nan,太空名词,2016-10-24
2721453,Boltzmann constant,波兹曼常数,nan,太空名词,2016-10-24
2721454,Boltzmann formula,波兹曼公式,nan,太空名词,2016-10-24
2721455,Boltzmann-Saha theory,波兹曼-沙哈理论,nan,太空名词,2016-10-24
2721456,Bond albedo,邦德反照率{球面反照率},nan,太空名词,2016-10-24
2721457,booster,助推器,nan,太空名词,2016-10-24
2721458,boresight facility,准向设备,nan,太空名词,2016-10-24
2721459,bottom-side sounder,底部探测仪,nan,太空名词,2016-10-24
2721460,bottomside ionogram,底部电离图,nan,太空名词,2016-10-24
2721461,bottomside ionosphere,底部电离层,nan,太空名词,2016-10-24
2721462,bound charge,束缚电荷,nan,太空名词,2016-10-24
2721463,bound-free transition,束缚-自由跃迁,nan,太空名词,2016-10-24
2721464,boundary,边界,nan,太空名词,2016-10-24
2721465,boundary condition,边界条件,nan,太空名词,2016-10-24
2721466,boundary layer,边界层,nan,太空名词,2016-10-24
2721467,boundary surface,界面,nan,太空名词,2016-10-24
2721468,Boussinesq equations,布西内斯克方程,nan,太空名词,2016-10-24
2721469,bow shock (wave),弓形震波,nan,太空名词,2016-10-24
2721470,bow-wave,艏波,nan,太空名词,2016-10-24
2721471,Boyle's law,玻意耳定律,nan,太空名词,2016-10-24
2721472,braking,减速；制动,nan,太空名词,2016-10-24
2721473,braking ellipses,减速椭圆；制动椭圆,nan,太空名词,2016-10-24
2721474,braking orbit,减速轨道{卫星进入大气时的}； 制动轨道{卫星进入大气时的},nan,太空名词,2016-10-24
2721475,branching ratio,分支比,nan,太空名词,2016-10-24
2721476,break-up sector,[极光]崩离区间,nan,太空名词,2016-10-24
2721477,Breit and Tuve's theorem,伯特图威定律,nan,太空名词,2016-10-24
2721478,bremsstrahlung,致动辐射； 轫致辐射,nan,太空名词,2016-10-24
2721479,bright limb,亮边缘,nan,太空名词,2016-10-24
2721480,bright points,亮点,nan,太空名词,2016-10-24
2721481,bright ring,亮环,nan,太空名词,2016-10-24
2721482,brightness,亮度,nan,太空名词,2016-10-24
2721483,brightness coefficient,亮度系数,nan,太空名词,2016-10-24
2721484,brightness temperature,亮度温度； 亮温,nan,太空名词,2016-10-24
2721485,broad band,宽谱带,nan,太空名词,2016-10-24
2721486,broadcasting satellite,广播卫星,nan,太空名词,2016-10-24
2721487,bulk composition,整体成份,nan,太空名词,2016-10-24
2721488,bulk motion,整体运动,nan,太空名词,2016-10-24
2721489,bulk velocity,整体速度,nan,太空名词,2016-10-24
2721490,buoyancy effect,浮力效应,nan,太空名词,2016-10-24
2721491,burnout altitude,燃尽高度,nan,太空名词,2016-10-24
2721492,burst,爆发,nan,太空名词,2016-10-24
2721493,bus,卫星本体,nan,太空名词,2016-10-24
2721494,butterfly diagram,蝶形图{太阳黑子},nan,太空名词,2016-10-24
2721495,absolute blackbody,绝对黑体,nan,航空名词,2016-10-24
2721496,accelerometer,加速表；加速仪,nan,航空名词,2016-10-24
2721497,aerial photograph,空中照相；空中摄影,nan,航空名词,2016-10-24
2721498,aerial remote sensing technology,航空遥测技术,nan,航空名词,2016-10-24
2721499,aero-optical effect,气动光学效应,nan,航空名词,2016-10-24
2721500,aerospace,航太；航空太空,nan,航空名词,2016-10-24
2721501,air bearing gyroscope,充气轴承陀螺仪,nan,航空名词,2016-10-24
2721502,air-launched launch vehicle,空中发射载具,nan,航空名词,2016-10-24
2721503,angular accelerometer,角加速计,nan,航空名词,2016-10-24
2721504,arcing discharge,电弧放电,nan,航空名词,2016-10-24
2721505,ascending phase,上升段,nan,航空名词,2016-10-24
2721506,ascending/descending node,升/降交点,nan,航空名词,2016-10-24
2721507,aspect ratio,展弦比,nan,航空名词,2016-10-24
2721508,astronautical engineering,太空工程,nan,航空名词,2016-10-24
2721509,atmospheric spaceflight environment,太空飞行大气环境,nan,航空名词,2016-10-24
2721510,attitude and heading reference system,姿态航向参考系统,nan,航空名词,2016-10-24
2721511,attitude hold,姿态保持,nan,航空名词,2016-10-24
2721512,attitude maneuver of spacecraft,太空船姿态操控,nan,航空名词,2016-10-24
2721513,attitude trim,姿态调整,nan,航空名词,2016-10-24
2721514,autonomous navigation,自主导航；自律导航,nan,航空名词,2016-10-24
2721515,biological effect of space radiation,太空辐射生物效应,nan,航空名词,2016-10-24
2721516,blackout area,无讯号区,nan,航空名词,2016-10-24
2721517,broadcasting satellite,广播卫星,nan,航空名词,2016-10-24
2721518,balloon,气球,nan,航空名词,2016-10-24
2926741,canonical equation,正则方程,nan,nan,2017-04-11
2926742,carrier frequency,载频；载波频率,nan,nan,2017-04-11
2926743,cascade,级联,nan,nan,2017-04-11
2926744,cavity,空腔,nan,nan,2017-04-11
2926745,celestial body,天体,nan,nan,2017-04-11
2926746,celestial equator,天球赤道,nan,nan,2017-04-11
2926747,celestial inertial guidance,天文惯性导引,nan,nan,2017-04-11
2926748,celestial latitude,黄纬,nan,nan,2017-04-11
2926749,celestial longitude,黄经,nan,nan,2017-04-11
2926750,celestial mechanics,天体力学,nan,nan,2017-04-11
2926751,celestial meridian,天球子午圈,nan,nan,2017-04-11
2926752,celestial navigation,天体导航,nan,nan,2017-04-11
2926753,celestial pole,天极,nan,nan,2017-04-11
2926754,celestial sphere,天球,nan,nan,2017-04-11
2926755,center of gyration,回旋中心,nan,nan,2017-04-11
2926756,center of mass,质量中心； 质心,nan,nan,2017-04-11
2926757,centi-bar,厘巴,nan,nan,2017-04-11
2926758,centrifugal force,离心力,nan,nan,2017-04-11
2926759,caceium clock,铯钟,nan,nan,2017-04-11
2926760,calcium flocculus,钙谱斑,nan,nan,2017-04-11
2926761,calibration,校准；校正,nan,nan,2017-04-11
2926762,candela,烛光{光强度},nan,nan,2017-04-11
2926763,canonical coordinates,正则坐标,nan,nan,2017-04-11
2926764,canonical transformation,正则变换,nan,nan,2017-04-11
2926765,cap prominence,冠状日珥,nan,nan,2017-04-11
2926766,Cape Canaveral,卡纳维弥尔角,nan,nan,2017-04-11
2926767,capture,捕获,nan,nan,2017-04-11
2926768,capture cross-section,捕获截面,nan,nan,2017-04-11
2926769,carbon cycle,碳循环,nan,nan,2017-04-11
2926770,carrier wave,载波,nan,nan,2017-04-11
2926771,Carrington meridian,卡林顿子午线,nan,nan,2017-04-11
2926772,Cartesian coordinates,直角坐标；笛卡儿坐标,nan,nan,2017-04-11
2926773,cascade shower,级联射丛,nan,nan,2017-04-11
2926774,Cassegrain antenna,卡塞格林天线,nan,nan,2017-04-11
2926775,cavity resonances,空腔共振,nan,nan,2017-04-11
2926776,celestial background,天体背景,nan,nan,2017-04-11
2926777,celestial coordinates,天球坐标,nan,nan,2017-04-11
2926778,celestial position,天体位置,nan,nan,2017-04-11
2926779,cellular convection,环形对流； 胞状对流,nan,nan,2017-04-11
2926780,center of gravity,重力中心,nan,nan,2017-04-11
2926781,centigrade,百分度,nan,nan,2017-04-11
2926782,central meridian,中央子午线,nan,nan,2017-04-11
2926783,central plasma sheet,中央电浆片,nan,nan,2017-04-11
2926784,central polar cap,极帽中心区,nan,nan,2017-04-11
2926785,Centre National d'Etudes Spatiales,法国国家太空研究中心,nan,nan,2017-04-11
2926786,centrifugal acceleration,离心加速度,nan,nan,2017-04-11
2926787,centrifugal drift,离心[力]漂移,nan,nan,2017-04-11
2926788,centrifugal effect,离心效应,nan,nan,2017-04-11
2926789,centripetal force,向心力,nan,nan,2017-04-11
2926790,chain reaction,连锁反应,nan,nan,2017-04-11
2926791,Chandler period,钱德勒周期,nan,nan,2017-04-11
2926792,channel,波道；通道,nan,nan,2017-04-11
2926793,channel discriminator,波道鉴别器,nan,nan,2017-04-11
2926794,Chapman layer,查普曼层,nan,nan,2017-04-11
2926795,Chapman profile,查普曼廓线,nan,nan,2017-04-11
2926796,characteristic curve,特征曲线,nan,nan,2017-04-11
2926797,characteristic dimension,特征维度,nan,nan,2017-04-11
2926798,characteristic equation,特征方程,nan,nan,2017-04-11
2926799,characteristic point,特征点,nan,nan,2017-04-11
2926800,characteristic temperature,特征温度,nan,nan,2017-04-11
2926801,characteristic time,特征时间,nan,nan,2017-04-11
2926802,characteristic value,特征值,nan,nan,2017-04-11
2926803,charge density,电荷密度,nan,nan,2017-04-11
2926804,charge exchange,电荷交换,nan,nan,2017-04-11
2926805,charge neutrality,电中性,nan,nan,2017-04-11
2926806,charge number,电荷数,nan,nan,2017-04-11
2926807,charge separation,电荷分离,nan,nan,2017-04-11
2926808,charge spectrum,电荷谱,nan,nan,2017-04-11
2926809,charged constituents,带电成份,nan,nan,2017-04-11
2926810,charged particle,带电粒子,nan,nan,2017-04-11
2926811,charging,充电,nan,nan,2017-04-11
2926812,characteristic length,特征尺度,nan,nan,2017-04-11
2926813,Charles's law,查理定律,nan,nan,2017-04-11
2926814,chemical cloud,{人工释放的}化学云,nan,nan,2017-04-11
2926815,chemical composition,化学组成,nan,nan,2017-04-11
2926816,chemical equilibrium,化学平衡,nan,nan,2017-04-11
2926817,chemical reaction,化学反应,nan,nan,2017-04-11
2926818,Chemical Release Experiment,化学释放实验,nan,nan,2017-04-11
2926819,chemiluminescence,化学萤光,nan,nan,2017-04-11
2926820,chemopause,光化层顶,nan,nan,2017-04-11
2926821,chemosphere,光化层,nan,nan,2017-04-11
2926822,Chinese Society of Astronautics,中国宇航协会,nan,nan,2017-04-11
2926823,chondrite,球粒陨石,nan,nan,2017-04-11
2926824,chromosphere,色球层；彩球层,nan,nan,2017-04-11
2926825,chromospheric ejection,色球层抛射,nan,nan,2017-04-11
2926826,chromospheric eruption,色球层爆发； 色球层喷发,nan,nan,2017-04-11
2926827,chromospheric flare,色球层闪焰； 色球层耀斑,nan,nan,2017-04-11
2926828,chromospheric flocculus,色球层谱斑,nan,nan,2017-04-11
2926829,chromospheric level,色球层高度,nan,nan,2017-04-11
2926830,chromospheric mottling,色球层日芒,nan,nan,2017-04-11
2926831,chromospheric spicule,色球层针状物,nan,nan,2017-04-11
2926832,chromospheric spike,色球层针状体,nan,nan,2017-04-11
2926833,chronology,纪年法；年代学,nan,nan,2017-04-11
2926834,Ci index,全球磁情指数,nan,nan,2017-04-11
2926835,cine theodolite,电影经纬仪；高经度光学跟纵器,nan,nan,2017-04-11
2926836,circle of declination,赤纬圈,nan,nan,2017-04-11
2926837,circle of latitude,纬度圈；黄纬圈,nan,nan,2017-04-11
2926838,circle of longitude,经度圈；黄经圈,nan,nan,2017-04-11
2926839,circular gyration,圆形回旋； 圆形回转,nan,nan,2017-04-11
2926840,circular orbit,圆[形]轨道,nan,nan,2017-04-11
2926841,circular polarization,圆极化；圆偏振,nan,nan,2017-04-11
2926842,circulation,环流,nan,nan,2017-04-11
2926843,circulation pattern,环流型式,nan,nan,2017-04-11
2926844,classical auroral zone,古典极光带,nan,nan,2017-04-11
2926845,climate,气候,nan,nan,2017-04-11
2926846,climate change,气侯变迁,nan,nan,2017-04-11
2926847,climate modeling,气候模式,nan,nan,2017-04-11
2926848,climatic,气候的,nan,nan,2017-04-11
2926849,climatological,气候学的,nan,nan,2017-04-11
2926850,climatology,气候学,nan,nan,2017-04-11
2926851,clock correction,钟差；时钟校正,nan,nan,2017-04-11
2926852,clock diagram,谐和规；向量圆图,nan,nan,2017-04-11
2926853,clockwise,顺时[针]的,nan,nan,2017-04-11
2926854,closed magnetospheric model,封闭磁层模型; 封闭式磁层模型,nan,nan,2019-11-13
2926855,cloud absorption,云吸收{云对电磁辐射的吸收},nan,nan,2017-04-11
2926856,cloud altimeter,云高计,nan,nan,2017-04-11
2926857,cloud attenuation,云衰减,nan,nan,2017-04-11
2926858,cloud band,云带,nan,nan,2017-04-11
2926859,cloud chamber,云室,nan,nan,2017-04-11
2926860,cloud cover,云量,nan,nan,2017-04-11
2926861,cloud formation,云形成,nan,nan,2017-04-11
2926862,cloud particle,云粒,nan,nan,2017-04-11
2926863,cloud pattern,云型,nan,nan,2017-04-11
2926864,cloud system,云系,nan,nan,2017-04-11
2926865,cloud-top height,云项高度,nan,nan,2017-04-11
2926866,cloudiness,云量,nan,nan,2017-04-11
2926867,cluster,簇团,nan,nan,2017-04-11
2926868,cluster ions,簇离子,nan,nan,2017-04-11
2926869,coasting flight,惯性飞行；滑翔飞行,nan,nan,2017-04-11
2926870,codeclination,余赤纬；极距,nan,nan,2017-04-11
2926871,coefficient,系数,nan,nan,2017-04-11
2926872,coherence,同调,nan,nan,2017-04-11
2926873,coherent carrier,同调载波,nan,nan,2017-04-11
2926874,coherent echo,同调回波,nan,nan,2017-04-11
2926875,coherent fluctuation,同调扰动,nan,nan,2017-04-11
2926876,coherent scattering,同调散射,nan,nan,2017-04-11
2926877,Coil antenna,线圈天线,nan,nan,2017-04-11
2926878,colatitude,余纬,nan,nan,2017-04-11
2926879,cold front,冷锋,nan,nan,2017-04-11
2926880,cold plasma,冷电浆,nan,nan,2017-04-11
2926881,collective behaviour,群体行为,nan,nan,2017-04-11
2926882,collimation,准直,nan,nan,2017-04-11
2926883,collimator,准直仪,nan,nan,2017-04-11
2926884,collision,碰撞,nan,nan,2017-04-11
2926885,collision frequency,碰撞频率,nan,nan,2017-04-11
2926886,collision parameter,碰撞参数,nan,nan,2017-04-11
2926887,collision-free plasma,无碰撞电浆,nan,nan,2017-04-11
2926888,collisional bremsstrahlung,碰撞制动辐射,nan,nan,2017-04-11
2926889,collisional broadening,[谱线]碰撞致宽,nan,nan,2017-04-11
2926890,collisional cross section,碰撞截面,nan,nan,2017-04-11
2926891,collisional damping,碰撞阻尼,nan,nan,2017-04-11
