ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367111,azilsartan medoxomil,艾济洒坦㗁呃酯；㗁唑酮拮压㗁呃酮酯,Antihypertensives：Angiotensin II receptor antagonists (ARBs),113.11.22,2026-05-11
21367112,azithromycin,氮红菌素；氮红丝菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367113,azlocillin,唑酮胺苄西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367114,aztreonam,噻唑肟内醯胺,Antibiotics：Monobactams,113.11.22,2026-05-11
21367115,bacitracin A,杆菌素A；枯杆菌肽A,Antibiotics：Polypeptides,113.11.22,2026-05-11
21367116,baloxavir marboxil,倍乐流感韦尔酯；氟硫呯流感韦尔碳酸酯,Antivirals：Others,113.11.22,2026-05-11
21367117,Baricitinib,倍利熄靶泊；腈砜氮呾熄靶泊,Anti-rheumatic Agents：Biological DMARDs [Antineoplastic agents：Protein kinase inhibitor],113.11.22,2026-05-11
21367118,bedaquiline,萘胺丁喹啉,Antimycobacterials,113.11.22,2026-05-11
21367119,belinostat,苯桂羟醯胺；苯磺胺桂羟醯胺,Antineoplastic agents： Histone deacetylase inhibitors,113.11.22,2026-05-11
21367120,benazepril,苯氮𠰢压利；苄丙甘内肽,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,113.11.22,2026-05-11
21367121,bendamustine,羧苯咪唑氮芥,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367122,bendroflumethiazide,苄氟甲磺噻𠯤；苄氟甲苯氢磺𠯤,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367123,benidipine,苄硝啶平；苄哌啶硝啶平,Antihypertensives：Calcium channel blockers,113.11.22,2026-05-11
21367124,"benzylpenicillin, penicillin G",青霉素G ；苄青霉素,Antibiotics：Penicillins,113.11.22,2026-05-11
21367125,besifloxacin,环丙氮呯氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367126,betahistine,吡啶乙胺,Antihistamines：H3-antihistamines,113.11.22,2026-05-11
21367127,betaxolol,贝他舒落；环丙异丙洛,Antihypertensives：Adrenergic agents [Antiglaucoma agents：β-adrenergic blocking agents] [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367128,bevacizumab,贝伐拟单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367129,bicalutamide,氟苄砜醯胺,Antineoplastic agents： Hormonal Agents [Sex-hormonal agent：Androgens and anabolic steroids],113.11.22,2026-05-11
21367130,bictegravir,必克嵌韦尔,Antivirals：Integrase inhibitors,113.11.22,2026-05-11
21367131,bifonazole,联苯克霉唑,Antifungals：Azole,113.11.22,2026-05-11
21367132,bimatoprost,苯前列醯胺F2α,Antiglaucoma agents：Prostaglandin analogues,113.11.22,2026-05-11
21367133,bisacodyl,双乙醯酚甲吡啶,Laxatives：Stimulant laxatives,113.11.22,2026-05-11
21367134,bisoprolol,二异丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367135,bithionol,双酚硫醚；双二氯酚硫醚,Antiparasitics：Anthelmintics (antihelminthics),113.11.22,2026-05-11
21367136,bleomycin,嵌铁丝菌素,Antibiotics：Polypeptides [Antineoplastic agents：Antibiotics],113.11.22,2026-05-11
21367137,blinatumomab,泊纳妥啮单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367138,bortezomib,[酉朋]蛋酶靶泊；[酉朋]吡𠯤蛋酶靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367139,bosentan,博内皮坦；丁磺胺内皮坦,Antihypertensives：Endothelin receptor antagonists,113.11.22,2026-05-11
21367140,brentuximab vedotin,泊润妥嵌单抗^单甲麻黄海兔肽,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367141,bretylium,溴苄铵；溴苄乙二甲铵,Antiarrhythmics agents：Class III antiarrhythmics,113.11.22,2026-05-11
21367142,brigatinib,必革肺靶泊；哌𠯤膦苯嘧啶肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367143,brimonidine,亮目弭定；溴咪喹㗁啉,Antiglaucoma agents：α-adrenergic agonist,113.11.22,2026-05-11
21367144,brinzolamide,亮噻吩磺醯胺；噻吩二磺醯胺,Antiglaucoma agents：Carbonic anhydrase inhibitors,113.11.22,2026-05-11
21367145,British anti-Lewisite (BAL),二硫代甘油,Heavy metal antagonists,113.11.22,2026-05-11
21367146,brompheniramine,溴苯吡丙胺,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367147,buclizine,丁克晕𠯤；丁苄氯哌𠯤,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367148,bumetanide,丁羧间磺胺,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367149,bunazosin,标轧挫欣；丁醯扩哌𠯤挫欣,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367150,bupropion,丁胺苯丙酮,Antidepressants：Norepinephrine–dopamine reuptake inhibitors (NDRI),113.11.22,2026-05-11
21367151,buserelin,丁丝促垂肽；丁丝促垂体肽,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367152,busulfan,丁二磺酸酯；甲磺酸丁二酯,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367153,butenafine,丁苄萘胺,Antifungals：Allylamines,113.11.22,2026-05-11
21367154,butoconazole,丁硫克霉唑；丁硫异克霉唑,Antifungals：Azole,113.11.22,2026-05-11
21367155,cabazitaxel,胺甲酯紫杉醇,Antineoplastic agents：Taxanes,113.11.22,2026-05-11
21367156,cabotegravir,卡搏嵌韦尔,Antivirals：Integrase inhibitors,113.11.22,2026-05-11
21367157,cabozantinib,卡搏肾靶泊；氟喹环丙醯胺肾靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367158,caffeine,咖啡因；咖啡碱,Phosphodiesterase inhibitors：Methylated xanthines,113.11.22,2026-05-11
21367159,candesartan,能达洒坦；四唑环己酯拮压,Antihypertensives：Angiotensin II receptor antagonists (ARBs),113.11.22,2026-05-11
21367160,candesartan cilexetil,能达洒坦碳酸酯；四唑环己酯拮压碳酸酯,Antihypertensives：Angiotensin II receptor antagonists (ARBs),113.11.22,2026-05-11
21367161,capecitabine,戊酯氟胞去羟苷,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367162,capmatinib,盖灭肺靶泊；氟苯喹咪四唑肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367163,captopril,开拓压利；硫丁醯脯胺酸,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,113.11.22,2026-05-11
21367164,carbachol,胺甲酸胆碱酯氯盐,Antiglaucoma agents：Muscarinic acetylcholine receptors agonists,113.11.22,2026-05-11
21367165,carbamazepine,胺甲醯氮呯,Anticonvulsants/Antiepileptic drugs (AEDs)：Carboxamides,113.11.22,2026-05-11
21367166,carbenicillin,羧苄西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367167,carbinoxamine,吡氯苄醚胺,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367168,carboplatin,氨配羧铂,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367169,carboprost,甲前列酸F2α,Prostaglandin analogues that are not used to treat glaucoma,113.11.22,2026-05-11
21367170,carfilzomib,卡斐蛋酶靶泊；氧𠰂𠰌苯丁蛋酶靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367171,carmustine,亚硝脲芥,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367172,carteolol,心贴落；喹酮丁洛,Antihypertensives：Adrenergic agents [Antiglaucoma agents：β-adrenergic blocking agents],113.11.22,2026-05-11
21367173,carvedilol,心维落；咔唑愈创醚洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],113.11.22,2026-05-11
21367174,caspofungin,棕醯棘白霉素,Antifungals：Echinocandins,113.11.22,2026-05-11
21367175,cefaclor,头孢氯苄胺,Antibiotics：Cephems,113.11.22,2026-05-11
21367176,cefadroxil,头孢酚胺,Antibiotics：Cephems,113.11.22,2026-05-11
21367177,cefalexin; cephalexin,头孢苄胺,Antibiotics：Cephems,113.11.22,2026-05-11
21367178,cefalotin; cephalothin,头孢噻吩；头孢乙醯噻吩,Antibiotics：Cephems,113.11.22,2026-05-11
21367179,cefamandole; cefamandole nafate,头孢杏醯唑；头孢杏仁醯四唑,Antibiotics：Cephems,113.11.22,2026-05-11
21367180,cefapirin; cephapirin,头孢硫啶；头孢乙醯硫啶,Antibiotics：Cephems,113.11.22,2026-05-11
21367181,cefatrizine,头孢三唑；头孢三唑酚胺,Antibiotics：Cephems,113.11.22,2026-05-11
21367182,cefazolin,头孢噻四唑,Antibiotics：Cephems,113.11.22,2026-05-11
21367183,cefepime,头孢咯锭肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367184,cefixime,头孢羧肟；头孢乙烯羧肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367185,cefmenoxime,头孢四唑肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367186,cefmetazole,头孢醚氰硫唑,Antibiotics：Cephems,113.11.22,2026-05-11
21367187,cefonicid,头孢杏唑磺酸；头孢杏醯唑磺酸,Antibiotics：Cephems,113.11.22,2026-05-11
21367188,cefoperazone,头孢唑哌𠯤酮,Antibiotics：Cephems,113.11.22,2026-05-11
21367189,cefotaxime,头孢醯噻唑肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367190,cefotetan,头孢醚硫呾；头孢醚唑硫呾,Antibiotics：Cephems,113.11.22,2026-05-11
21367191,cefotiam,头孢噻唑胺；头孢唑硫噻唑,Antibiotics：Cephems,113.11.22,2026-05-11
21367192,cefoxitin,头孢醚噻吩；头孢醚胺酯噻吩,Antibiotics：Cephems,113.11.22,2026-05-11
21367193,cefpirome,头孢环戊鈚肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367194,cefpodoxime,头孢醚噻唑肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367195,cefprozil,头孢丙酚胺；头孢丙烯酚胺,Antibiotics：Cephems,113.11.22,2026-05-11
21367196,cefsulodin,头孢磺酸鈚,Antibiotics：Cephems,113.11.22,2026-05-11
21367197,ceftaroline,头孢鈚噻唑膦肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367198,ceftaroline fosamil,膦醯头孢鈚噻唑膦肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367199,ceftazidime,头孢鈚噻唑羧肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367200,ceftibuten,头孢噻唑烯酸,Antibiotics：Cephems,113.11.22,2026-05-11
21367201,ceftizoxime,头孢噻唑肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367202,ceftolozane,头孢胺锉肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367203,ceftriaxone,头孢肟三𠯤酮,Antibiotics：Cephems,113.11.22,2026-05-11
21367204,cefuroxime,头孢呋肟；头孢胺酯呋肟,Antibiotics：Cephems,113.11.22,2026-05-11
21367205,cephradine; cefradine,头孢氢苄胺,Antibiotics：Cephems,113.11.22,2026-05-11
21367206,ceritinib,卸锐肺靶泊；哌啶砜苯嘧啶肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367207,cetirizine,羧醚氯哌𠯤,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367208,cetrorelix,歇冲抑释性肽 ；瓜酪精抑释性肽,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367209,cetuximab,舒妥嵌单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367210,chlorambucil,羧丁苯氮芥,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367211,chloramphenicol,氯丝菌素,Antibiotics：Others,113.11.22,2026-05-11
21367212,chloroquine,氯喹；戊二胺氯喹,Antiparasitics：Antiprotozoals,113.11.22,2026-05-11
21367213,chlorothiazide,氯苯磺𠯤,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367214,chlorphenesin,氯酚甘油醚,Antifungals：Others,113.11.22,2026-05-11
21367215,chlorpheniramine,氯苯安明；氯苯吡丙胺,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367216,chlorpromazine,氯丙苯噻𠯤 ；氯胺丙苯噻𠯤,Antiemetics：Dopamine antagonist,113.11.22,2026-05-11
21367217,chlortalidone,氯磺异吲酮；氯苯磺醯胺异吲酮,Antihypertensives：Diuretics,113.11.22,2026-05-11
21367218,chlortetracycline,氯四环素,Antibiotics：Tetracyclines,113.11.22,2026-05-11
21367219,ciclopirox,环己吡啶酮；环己羟吡啶酮,Antifungals：Others,113.11.22,2026-05-11
21367220,cidofovir,赐达巨韦尔；胞膦巨韦尔,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,113.11.22,2026-05-11
21367221,Cilostazol,环己喹酮唑；环己四唑喹酮,Antithrombotic agents：Platelet aggregation inhibitors [Phosphodiesterase inhibitors：PDE3 inhibitors] [Cardiotonic agents],113.11.22,2026-05-11
21367222,cimetidine,息弭抗组胺；氰胍咪唑硫醚,Antihistamines：H2-antihistamines,113.11.22,2026-05-11
21367223,cinoxacin,新诺洒欣 ；㗁㖕啉酮酸,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367224,ciprofloxacin,环丙氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,113.11.22,2026-05-11
21367225,cisapride ,顺洒泊秘 ；氟丙哌苯醯胺,Laxatives：Prokinetic Agents (5-HT4 agonists),113.11.22,2026-05-11
21367226,cisplatin,顺氨配氯铂,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367227,citalopram,希达思汀；氰苯喃伸思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),113.11.22,2026-05-11
21367228,cladribine,氯腺去羟苷,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367229,clarithromycin,甲红丝菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367230,"clavulanic acid, clavulanate",棒丝菌酸,Antibiotics：β-lactamase inhibitor,113.11.22,2026-05-11
21367231,clemastine,氯苯乙醚咯啶,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367232,clindamycin,氯林丝菌素,Antibiotics：Lincosamides,113.11.22,2026-05-11
21367233,clioquinol,氯碘喹酚,Antifungals：Others [Antiparasitics：Antiprotozoals],113.11.22,2026-05-11
21367234,clobazam,氯异二氮呯酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Benzodiazepines,113.11.22,2026-05-11
21367235,clofarabine,氯腺氟苷,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367236,clomiphene,氯胺醚苯芪；氯胺乙氧苯芪,Sex-hormonal agent：Estrogen receptor (ER) modulators,113.11.22,2026-05-11
21367237,clomipramine,氯氮呯思定；氯氮三环丙胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367238,clonazepam,氯硝二氮呯酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Benzodiazepines,113.11.22,2026-05-11
21367239,clonidine,氯苯胺咪唑,Antihypertensives：Adrenergic agents,113.11.22,2026-05-11
21367240,clorazepate,氯羧二氮呯酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Benzodiazepines,113.11.22,2026-05-11
21367241,clotrimazole,氯三苯克霉唑,Antifungals：Azole,113.11.22,2026-05-11
21367242,cloxacillin,氯苯㗁唑西林,Antibiotics：Penicillins,113.11.22,2026-05-11
21367243,cobimetinib,克毕神纤靶泊；哌氮呾神纤靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367244,colistin,多黏杆菌素E；多黏杆菌肽E,Antibiotics：Polypeptides,113.11.22,2026-05-11
21367245,conjugated estrogens,雌激素共轭物；雌激素硫酸酯,Sex-hormonal agent：Estrogen receptor (ER) modulators,113.11.22,2026-05-11
21367246,copanlisib,泛拔膦脂靶泊；𠰌咪喹唑嘧啶膦脂靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367247,crizotinib,克挫肺靶泊；卤苄哌吡啶肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367248,cyclizine,环克晕𠯤；苯苄哌𠯤,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],113.11.22,2026-05-11
21367249,cyclophosphamide,环膦醯氮芥,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367250,cycloserine,环丝醯胺,Antimycobacterials,113.11.22,2026-05-11
21367251,cyproheptadine,环庚烯哌啶,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367252,cyproterone acetate,环丙孕酮乙酸酯；环丙羟孕烯酮乙酸酯,Antineoplastic agents： Hormonal Agents [Sex-hormonal agent：Progesterone receptor (PR) modulators],113.11.22,2026-05-11
21367253,cytarabine,胞阿拉伯苷,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367254,dabrafenib,天冬速肌靶泊；噻唑磺胺速肌靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367255,dacarbazine,甲醯胺咪叠氮,Antineoplastic agents：Alkylating agents,113.11.22,2026-05-11
21367256,dacomitinib,达克肺靶泊；氟苯哌喹唑啉肺靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367257,dalfopristin,胺砜螺菌素；胺砜螺丝菌素,Antibiotics：Macrolides,113.11.22,2026-05-11
21367258,danazol,达纳唑；㗁唑炔睪酮,Sex-hormonal agent：Androgens and anabolic steroids,113.11.22,2026-05-11
21367259,dapoxetine,达泊思汀；d-萘拟思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),113.11.22,2026-05-11
21367260,dapsone,双胺苯砜,Antimycobacterials,113.11.22,2026-05-11
21367261,daptomycin,达妥菌素；玫瑰孢丝菌脂肽,Antibiotics：Lipopeptides,113.11.22,2026-05-11
21367262,daratumumab,达瑞妥单抗,Antineoplastic agents：Monoclonal antibodies,113.11.22,2026-05-11
21367263,darolutamide,右氯苯异咪醯胺；d-氯苯异咪醯胺,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367264,darunavir,挞掳韦尔；并呋韦尔,Antivirals：Protease inhibitors,113.11.22,2026-05-11
21367265,dasabuvir,达塞肝韦尔；磺萘尿肝韦尔,Antivirals：RNA polymerase (NS5B) inhibitors,113.11.22,2026-05-11
21367266,dasatinib,达煞淋靶泊；氯苯羟哌噻唑淋靶泊,Antineoplastic agents：Protein kinase inhibitor,113.11.22,2026-05-11
21367267,daunorubicin,糖胺四环素；环己糖胺四环素,Antineoplastic agents：Antibiotics,113.11.22,2026-05-11
21367268,decitabine,氮胞去羟苷,Antineoplastic agents：Antimetabolites,113.11.22,2026-05-11
21367269,deferasirox,螯铁乐；二酚苯甲酸三唑,Heavy metal antagonists,113.11.22,2026-05-11
21367270,deferoxamine,去铁羟醯胺,Heavy metal antagonists,113.11.22,2026-05-11
21367271,degarelix,达革抑释性肽；嘧脲苯丙离抑释性肽,Antineoplastic agents： Hormonal Agents,113.11.22,2026-05-11
21367272,delavirdine,迪乐韦尔啶；砜吲韦尔啶,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),113.11.22,2026-05-11
21367273,desipramine,达氮呯思定；去甲氮三环丙胺,Antidepressants：Tricyclic antidepressants (TCA),113.11.22,2026-05-11
21367274,desloratadine,氯异氮𠰢啶,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
21367275,desmethoxydaunorubicin,糖胺去甲氧四环素,Antineoplastic agents：Antibiotics,113.11.22,2026-05-11
21367276,desvenlafaxine,达维乐思汀；去甲环己异思汀,Antidepressants：Serotonin–norepinephrine reuptake inhibitor (SNRI),113.11.22,2026-05-11
21367277,dexchlorpheniramine,右氯苯吡丙胺；d-氯苯吡丙胺,Antihistamines：H1-antihistamines,113.11.22,2026-05-11
