ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3542616,accounting mismatch,会计配比不当,,nan,2018-06-26
3542617,accounting period,会计期间,,nan,2018-06-26
3542618,accounting period postulate,会计期间假设,,会计期间假设,2018-06-26
3542619,accounting policies,会计政策,,会计政策,2018-06-26
3542620,accounting policy,会计政策,,nan,2018-06-26
3542621,accounting postulate,会计假设,,会计假设,2018-06-26
3542622,accounting principle,会计原则,,nan,2018-06-26
3542623,accounting profit,会计利润,,nan,2018-06-26
3542624,accounting recognition,会计认列,,会计确认,2018-06-26
3542625,accounting record,会计纪录,,nan,2018-06-26
3542626,accounting standards,会计准则,,会计准则,2018-06-26
3542627,accounting system,会计系统；会计制度,,会计系统,2018-06-26
3542628,accounting transparency,会计透明度,,会计透明度,2018-06-26
3542629,accounting treatment,会计处理,,nan,2018-06-26
3542630,accounting voucher,会计凭证；传票,,会计凭证,2018-06-26
3542631,accounts payable,应付帐款,,应付帐款,2018-06-26
3542632,accounts receivable,应收帐款,,应收账款,2018-06-26
3542633,accrual,应计数,,应计项目,2018-06-26
3542634,accrual accounting rate of return {=AARR} method,应计会计报酬率法,,nan,2018-06-26
3542635,accrual anomaly,应计异象,,应计异象,2018-06-26
3542636,accrual basis,应计基础,,nan,2018-06-26
3542637,accrual basis of accounting,应计基础；应计基础会计,,权责发生制,2018-06-26
3542638,accrued expense,应计费用,,预提费用,2018-06-26
3542639,accrued liabilities,应计负债,,nan,2018-06-26
3542640,accumulated depreciation,累计折旧,,nan,2018-06-26
3542641,accumulated profit or loss,累计损益,,nan,2018-06-26
3542642,accumulating compensated absences,累积带薪假,,nan,2018-06-26
3542643,acid test ratio,酸性测试比率,,nan,2018-06-26
3542644,acquired entity,被收购之个体,,nan,2018-06-26
3542645,acquiree,被收购者,,nan,2018-06-26
3542646,acquirer,收购者,,nan,2018-06-26
3542647,acquisition,收购；取得,,收购,2018-06-26
3542648,acquisition and payment cycle,采购及付款循环,,nan,2018-06-26
3542649,acquisition date,收购日,,nan,2018-06-26
3542650,acquisition method,收购法,,nan,2018-06-26
3542651,acquisition premium,收购溢价,,收购溢价,2018-06-26
3542652,active market,活络市场,,nan,2018-06-26
3542653,activity,作业,,作业,2018-06-26
3542654,activity driver,作业动因,,作业动因,2018-06-26
3542655,activity threshold,活动门槛,,nan,2018-06-26
3542656,activity-based budgeting {=ABB},作业基础预算制,,nan,2018-06-26
3542657,activity-based cost pool,作业基础成本库,,作业成本库,2018-06-26
3542658,activity-based costing {=ABC},作业基础成本法,,作业成本法,2018-06-26
3542659,activity-based management {=ABM},作业基础管理,,作业管理,2018-06-26
3542660,actual cost,实际成本,,nan,2018-06-26
3542661,actual cost method,实际成本法,,实际成本法,2018-06-26
3542662,actual costing,实际成本法,,nan,2018-06-26
3542663,actual indirect-cost rate,实际间接成本分摊率,,nan,2018-06-26
3542664,actuarial assumptions,精算假设,,nan,2018-06-26
3542665,actuarial gains and losses,精算损益,,nan,2018-06-26
3542666,actuarial valuation [method],精算评价[方法],,nan,2018-06-26
3542667,additional consideration,额外对价{IFRS 3},,nan,2018-06-26
3542668,additional exemptions for first-timeadopters,首次采用者之额外豁免,,nan,2018-06-26
3542669,adjusted allocation-rate approach,调整后分摊率法,,nan,2018-06-26
3542670,adjusted fair value,调整后公允价值,,nan,2018-06-26
3542671,adjusted weighted-average shares,调整后加权平均股数,,nan,2018-06-26
3542672,adjusting event after the reporting period,报导期间后调整事项,,nan,2018-06-26
3542673,adjustment,调整,,nan,2018-06-26
3542674,adjustments for consolidation procedures,合并程序之调整,,nan,2018-06-26
3542675,administration expense,管理费用,,管理费用,2018-06-26
3542676,admission fees,入场费,,nan,2018-06-26
3542677,advance,预付款,,nan,2018-06-26
3542678,adverse opinion,否定意见,,否定意见,2018-06-26
3542679,after-tax amount,税后金额,,nan,2018-06-26
3542680,agency relationship,代理关系,,nan,2018-06-26
3542681,agent,代理人,,nan,2018-06-26
3542682,aggregated exposure,汇总暴险,,nan,2018-06-26
3542683,aggregation criteria,汇总条件,,nan,2018-06-26
3542684,agreed upon procedure,协议程式,,商定程序,2018-06-26
3542685,agreement date,协议日,,nan,2018-06-26
3542686,agreements for the construction of real estate,不动产建造协议,,nan,2018-06-26
3542687,agricultural activity,农业活动,,nan,2018-06-26
3542688,agricultural produce,农产品,,nan,2018-06-26
3542689,agriculture,农业,,nan,2018-06-26
3542690,allocation,分摊,,nan,2018-06-26
3542691,allocation method,分摊方法,,nan,2018-06-26
3542692,allowable cost,可允许[计入]成本,,nan,2018-06-26
3542693,allowance,备抵,,nan,2018-06-26
3542694,allowance account,备抵帐户,,nan,2018-06-26
3542695,allowance for bad debts,备抵坏帐；备抵呆帐,,nan,2018-06-26
3542696,allowance for inventory write-down,备扺存货跌价损失,,nan,2018-06-26
3542697,allowed alternative treatment,允许之替代处理,,nan,2018-06-26
3542698,American Institute of Certified Public Accountants {=AICPA},美国会计师协会,,nan,2018-06-26
3542699,American share option,美式股票选择权,,nan,2018-06-26
3542700,amortisation,摊销,,nan,2018-06-26
3542701,amortisation method,摊销方法,,nan,2018-06-26
3542702,amortisation period,摊销期间,,nan,2018-06-26
3542703,amortised cost,摊销后成本,,nan,2018-06-26
3542704,amortising interest rate swap,摊销型利率交换,,nan,2018-06-26
3542705,amortization,摊销,,摊销,2018-06-26
3542706,analytical procedure,分析性程式,,分析程序,2018-06-26
3542707,angel investor,天使投资人,,天使投资人,2018-06-26
3542708,annuitant,年金受益人,,nan,2018-06-26
3542709,annuitisation,每年定期给付,,nan,2018-06-26
3542710,annuity,年金,,年金,2018-06-26
3542711,annuity due,到期年金,,预付年金,2018-06-26
3542712,antidilution,反稀释,,nan,2018-06-26
3542713,antidilutive,反稀释,,nan,2018-06-26
3542714,application controls,应用控制,,nan,2018-06-26
3542715,appraisal,估价,,nan,2018-06-26
3542716,appraisal costs,鉴定成本,,nan,2018-06-26
3542717,appropriateness,适切性,,nan,2018-06-26
3542718,appropriateness of evidence,证据适切性,,nan,2018-06-26
3542719,arm’s length transaction,公平交易,,nan,2018-06-26
3542720,artificial costs,人为成本,,nan,2018-06-26
3542721,asking price,卖方报价；卖价,,nan,2018-06-26
3542722,assertion,声明,,nan,2018-06-26
3542723,assertion level,声明层级,,nan,2018-06-26
3542724,assessment of control risk,控制风险评估,,nan,2018-06-26
3542725,asset manager,资产经理人,,nan,2018-06-26
3542726,asset[s],资产,,资产,2018-06-26
3542727,asset-liability view,资产负债表观点,,资产负债观,2018-06-26
3542728,assets held by a long-term employee benefit fund,长期员工福利基金所持有之资产,,nan,2018-06-26
3542729,assets retired from active use,不再积极使用之资产,,nan,2018-06-26
3542730,asset-specific performance risk,资产特定绩效风险,,nan,2018-06-26
3542731,associate(s),关联企业,,nan,2018-06-26
3542732,assurance,确信,,nan,2018-06-26
3542733,assurance engagement,确信业务；确信服务案件,,鉴证业务,2018-06-26
3542734,assurance services,确信服务,,nan,2018-06-26
3542735,attestation engagement,签证服务案件,,nan,2018-06-26
3542736,attestation services,签证服务,,nan,2018-06-26
3542737,attitudes/ rationalizations,态度／行为合理化{舞弊三角之一},,nan,2018-06-26
3542738,attributes sampling,属性抽样,,nan,2018-06-26
3542739,audit,审计；查核,,审计,2018-06-26
3542740,audit checklist,审计检核表；查核检核表,,nan,2018-06-26
3542741,audit committee,审计委员会,,审计委员会,2018-06-26
3542742,audit documentation,查核工作底稿；审计书面记录,,审计工作底稿,2018-06-26
3542743,audit evidence,查核证据,,审计证据,2018-06-26
3542744,audit expectation gap,审计期望落差,,审计期望差距,2018-06-26
3542745,audit failure,审计失败,,审计失败,2018-06-26
3542746,audit fee,审计公费,,审计费用,2018-06-26
3542747,audit file,查核档案；审计档案,,审计档案,2018-06-26
3542748,audit litigation,审计诉讼,,审计诉讼,2018-06-26
3542749,audit objectives,查核目标,,nan,2018-06-26
3542750,audit of historical financial statements,历史财务报表查核,,nan,2018-06-26
3542751,audit of internal control,内部控制查核,,内部控制审计,2018-06-26
3542752,audit opinion,查核意见；审计意见,,审计意见,2018-06-26
3542753,audit opinion shopping,查核意见购买,,审计意见购买,2018-06-26
3542754,audit planning,查核规划,,nan,2018-06-26
3542755,audit pricing,审计订价,,审计定价,2018-06-26
3542756,audit procedure,查核程序,,nan,2018-06-26
3542757,audit procedures,查核程序,,nan,2018-06-26
3542758,audit process,查核过程,,nan,2018-06-26
3542759,audit professional judgment,审计专业判断,,审计职业判断,2018-06-26
3542760,audit professional skepticism,审计专业怀疑,,审计职业怀疑,2018-06-26
3542761,audit program,查核程式；查核计划,,nan,2018-06-26
3542762,audit quality,审计品质,,审计质量,2018-06-26
3542763,audit report,查核报告；审计报告,,审计报告,2018-06-26
3542764,audit risk,查核风险；审计风险,,审计风险,2018-06-26
3542765,audit risk model,查核风险模型；审计风险模型,,审计风险模型,2018-06-26
3542766,audit sampling,查核抽样；审计抽样,,审计抽样,2018-06-26
3542767,audit strategy,查核策略；审计策略,,nan,2018-06-26
3542768,audit working paper,查核工作底稿,,审计工作底稿,2018-06-26
3542769,audit workpaper,查核工作底稿,,审计工作底稿,2018-06-26
3542770,audit-firm tenure,会计师任期；事务所任期,,审计任期,2018-06-26
3542771,auditing,审计；审计学,,审计学,2018-06-26
3542772,auditing around the computer,绕过电脑审计,,nan,2018-06-26
3542773,auditing responsibility,审计责任；查核责任,,审计责任,2018-06-26
3542774,auditing standards,审计准则,,审计准则,2018-06-26
3542775,auditing through the computer,穿过电脑审计,,nan,2018-06-26
3542776,auditor,查核人员；会计师,,审计师,2018-06-26
3542777,auditor change,会计师变更；事务所变更,,审计师变更,2018-06-26
3542778,auditor rotation system,会计师轮调会计；事务所轮调会计,,审计轮换制,2018-06-26
3542779,auditor switching,会计师变更；事务所变更,,审计师变更,2018-06-26
3542780,auditor tenure,会计师任期；事务所任期,,审计任期,2018-06-26
3542781,auditor’s independence,会计师独立性；事务所独立性,,审计师独立性,2018-06-26
3542782,automated controls,自动化控制,,nan,2018-06-26
3542783,autonomy,自主权,,nan,2018-06-26
3542784,available-for-sale financial assets,备供出售金融资产,,nan,2018-06-26
3542785,average accounting return {=AAR},平均会计报酬率,,平均会计收益率,2018-06-26
3542786,average cost,平均成本,,nan,2018-06-26
3542787,average waiting time,平均等待时间,,nan,2018-06-26
3542788,backflush costing,倒推成本法,,nan,2018-06-26
3542789,bad debt expense,呆帐损失；坏帐费用,,坏账损失,2018-06-26
3542790,balance sheet,资产负债表；平衡表,,资产负债表,2018-06-26
3542791,balance sheet liability method,资产负债表负债法,,nan,2018-06-26
3542792,balanced scorecard,平衡计分卡,,平衡计分卡,2018-06-26
3542793,balance-related audit objectives,科目余额相关之查核目标,,nan,2018-06-26
3542794,bank acceptance,银行承兑汇票,,银行承兑汇票,2018-06-26
3542795,bank bill,银行汇票,,银行汇票,2018-06-26
3542796,bank confirmation,银行函证,,nan,2018-06-26
3542797,bank confirmation form,银行询证函,,nan,2018-06-26
3542798,bank overdraft,银行透支,,nan,2018-06-26
3542799,bank reconciliation,银行调节表,,银行存款余额调节表,2018-06-26
3542800,bank statement,银行对帐单,,银行对账单,2018-06-26
3542801,banker’s acceptance,银行承兑汇票,,银行承兑汇票,2018-06-26
3542802,banker’s bill,银行汇票,,银行汇票,2018-06-26
3542803,banker’s order,银行本票,,银行本票,2018-06-26
3542804,bankruptcy,破产,,nan,2018-06-26
3542805,bankruptcy cost,破产成本,,破产成本,2018-06-26
3542806,bargain purchase,廉价购买,,nan,2018-06-26
3542807,barter transactions involving advertising services,广告服务之交换,,nan,2018-06-26
3542808,basic earnings per share,基本每股盈余,,基本每股收益,2018-06-26
3542809,basic loan features,基本放款特性,,nan,2018-06-26
3542810,basic precision,基本精确度,,nan,2018-06-26
3542811,basis adjustment,认列基础调整,,nan,2018-06-26
3542812,basis point,基点,,nan,2018-06-26
3542813,Basu model,Basu模型,,Basu模型,2018-06-26
3542814,batch-level costs,批次水准成本,,nan,2018-06-26
3542815,Baumol model,包莫模型；鲍谟模型,,鲍尔模型,2018-06-26
3542816,bearer biological asset,生产性生物资产,,nan,2018-06-26
3542817,behavioral finance,行为财务,,行为公司财务,2018-06-26
3542818,belief systems,信念系统,,nan,2018-06-26
3542819,benchmark interest rate,基准利率,,nan,2018-06-26
3542820,benchmark treatment,标竿处理,,nan,2018-06-26
3542821,benchmarking,标竿制度,,nan,2018-06-26
3542822,beneficial contracts,有利合约,,nan,2018-06-26
3542823,beneficiary,受益人,,nan,2018-06-26
3542824,benefit,效益； 利益；福利,,nan,2018-06-26
3542825,benefit obligation,福利义务,,nan,2018-06-26
3542826,best estimate,最佳估计,,nan,2018-06-26
3542827,bias,偏误,,nan,2018-06-26
3542828,bid bonds,投标保证,,nan,2018-06-26
3542829,bid price,买方报价；买价,,nan,2018-06-26
3542830,bid-ask spread,买卖价差,,nan,2018-06-26
3542831,bifurcation methodology,拆分方法,,nan,2018-06-26
3542832,bill of exchange,汇票,,汇票,2018-06-26
3542833,binding sale agreement,具约束力之销售协议,,nan,2018-06-26
3542834,binomial,二项式,,nan,2018-06-26
3542835,biological asset,生物资产,,nan,2018-06-26
3542836,biological assets,生物资产,,生物资产,2018-06-26
3542837,biological transformation,生物转化,,nan,2018-06-26
3542838,Black-Scholes-Merton formula,Black-Scholes-Merton公式,,nan,2018-06-26
3542839,blank confirmation form,空白函证格式,,nan,2018-06-26
3542840,block sample selection,区段抽样,,nan,2018-06-26
3542841,blocker entity,阻税个体,,nan,2018-06-26
3542842,board of directors,董事会,,nan,2018-06-26
3542843,bond,债券,,债券,2018-06-26
3542844,bond issued at discount,折价发行债券,,折价债券,2018-06-26
3542845,bond issued at par,平价发行债券,,平价债券,2018-06-26
3542846,bond issued at premium,溢价发行债券,,溢价债券,2018-06-26
3542847,bonds payable,应付公司债,,应付债券,2018-06-26
3542848,Bonus issue,分红配股,,nan,2018-06-26
3542849,bonus plan,分红计划,,nan,2018-06-26
3542850,book of contracts,合约组合,,nan,2018-06-26
3542851,book value,帐面价值,,账面价值,2018-06-26
3542852,book value of fixed assets,固定资产帐面价值；固定资产帐面金额,,nan,2018-06-26
3542853,"book value of property, plant and equipment {=PPE}",不动产、厂房及设备帐面价值；不动产、厂房及设备帐面金额,,nan,2018-06-26
3542854,borrowing costs,借款成本,,nan,2018-06-26
3542855,bottleneck,瓶颈,,nan,2018-06-26
3542856,bottom-up test,由下而上测试法,,nan,2018-06-26
3542857,boundary systems,边界系统,,nan,2018-06-26
3542858,break-even point,损益两平点,,盈亏平衡点,2018-06-26
3542859,budget,预算,,预算,2018-06-26
3542860,budget slack,预算寛列,,预算松弛,2018-06-26
3542861,budgetary slack,虚拟预算,,nan,2018-06-26
3542862,budgeted cost,预算成本,,nan,2018-06-26
3542863,budgeted indirect-cost rate,预计间接成本率,,nan,2018-06-26
3542864,budgeted performance,预算绩效,,nan,2018-06-26
3542865,budgets,预算,,nan,2018-06-26
3542866,build-operate-transfer {=BOT},兴建─营运─移转,,nan,2018-06-26
3542867,bundled product,套装产品,,nan,2018-06-26
3542868,business,业务{IFRS3},,nan,2018-06-26
3542869,business combination involving entities or businesses under common control,共同控制下个体或业务之企业合并,,nan,2018-06-26
3542870,business combination[s],企业合并,,nan,2018-06-26
3542871,business combinations - classification either as acquisitions or unitings of interests,企业合并：收购法或权益结合法之分类,,nan,2018-06-26
3542872,business failure,企业失败,,nan,2018-06-26
3542873,business function costs,企业职能成本,,nan,2018-06-26
3542874,business model,经营模式,,nan,2018-06-26
3542875,business process level,营运流程层级,,nan,2018-06-26
3542876,business risk,营业风险,,nan,2018-06-26
3542877,business segment,业务部门,,nan,2018-06-26
3542878,business unit,业务单位,,nan,2018-06-26
3542879,buying segment,采购部门,,nan,2018-06-26
3542880,by-product,副产品,,nan,2018-06-26
3542881,byproducts,副产品,,nan,2018-06-26
3542882,call options,买权,,nan,2018-06-26
3542883,call provision,赎回条款；买回条款,,nan,2018-06-26
3542884,callable,可买回,,nan,2018-06-26
3542885,callable bond,可赎回债券,,可赎回债券,2018-06-26
3542886,cap,上限,,nan,2018-06-26
3542887,capability,适任能力,,nan,2018-06-26
3542888,capital,资本,,nan,2018-06-26
3542889,capital acquisition and repayment cycle,融资循环,,nan,2018-06-26
3542890,capital appreciation,资本增值,,nan,2018-06-26
3542891,capital approach,资本法,,nan,2018-06-26
3542892,capital asset pricing model {=CAPM},资本资产订价模型,,资本资产定价模型,2018-06-26
3542893,capital budgeting,资本预算,,资本预算,2018-06-26
3542894,capital contribution,资本投入,,nan,2018-06-26
3542895,capital expenditure,资本支出,,资本性支出,2018-06-26
3542896,capital gain,资本利益,,nan,2018-06-26
3542897,capital maintenance,资本维持,,nan,2018-06-26
3542898,capital maintenance adjustment,资本维持调整,,nan,2018-06-26
3542899,capital reserves,资本公积,,资本公积,2018-06-26
3542900,capital stock,股本,,nan,2018-06-26
3542901,capital structure,资本结构,,资本结构,2018-06-26
3542902,capital verification,验资,,验资,2018-06-26
3542903,capitalisation,资本化,,nan,2018-06-26
3542904,capitalisation of interest,利息资本化,,nan,2018-06-26
3542905,capitalization,资本化,,资本化,2018-06-26
3542906,capped interest rate,具上限之利率,,nan,2018-06-26
3542907,capping mechanism,上限机制,,nan,2018-06-26
3542908,carried at cost,按成本列帐,,nan,2018-06-26
3542909,carry forward,递转下期,,nan,2018-06-26
3542910,carrying amount,帐面金额；帐面价值,,nan,2018-06-26
3542911,"carrying amount of book value of property, plant and equipment {=PPE}",不动产、厂房及设备帐面价值；不动产、厂房及设备帐面金额,,nan,2018-06-26
3542912,carrying amount of fixed assets,固定资产帐面价值；固定资产帐面金额,,nan,2018-06-26
3542913,carrying costs,持有成本,,nan,2018-06-26
3542914,cash,现金,,nan,2018-06-26
3542915,cash accounts,现金帐户,,nan,2018-06-26
3542916,cash basis,现金基础,,nan,2018-06-26
3542917,cash basis of accounting,现金基础,,收付实现制,2018-06-26
3542918,cash budget,现金预算,,nan,2018-06-26
3542919,cash discount,现金折扣,,现金折扣,2018-06-26
3542920,cash dividend,现金股利,,现金股利,2018-06-26
3542921,cash equivalents,约当现金,,现金等价物,2018-06-26
3542922,cash flow,现金流量,,现金流量,2018-06-26
3542923,cash flow hedge,现金流量避险,,nan,2018-06-26
3542924,cash flow risk,现金流量风险,,nan,2018-06-26
3542925,cash flow statement[s],现金流量表,,nan,2018-06-26
3542926,cash generating unit,现金产生单位,,nan,2018-06-26
3542927,cash inflow,现金流入,,nan,2018-06-26
3542928,cash instrument hedging,现金工具避险,,nan,2018-06-26
3542929,cash on hand,库存现金,,nan,2018-06-26
3542930,cash outflow,现金流出,,nan,2018-06-26
3542931,cash payments,现金支付,,nan,2018-06-26
3542932,cash price equivalent,约当现销价格,,nan,2018-06-26
3542933,cash proceeds,现金价款,,nan,2018-06-26
3542934,cash ratio,现金比率,,现金比率,2018-06-26
3542935,cash surrender value,现金解约价值,,nan,2018-06-26
3542936,cash-settled share option,现金交割之股票选择权,,nan,2018-06-26
3542937,cash-settled share-based payment transaction,现金交割之股份基础给付交易,,nan,2018-06-26
3542938,catastrophe bond,巨灾债券,,nan,2018-06-26
3542939,catastrophe provisions,巨灾负债准备,,nan,2018-06-26
3542940,cause-and-effect diagram,因果关系图,,nan,2018-06-26
3542941,cedant,分出公司,,nan,2018-06-26
3542942,central clearing,集中结算,,nan,2018-06-26
3542943,certificates of deposit,定期存单,,nan,2018-06-26
3542944,certified public accountant {=CPA},会计师,,注册会计师,2018-06-26
3542945,certified public accountants,会计师,,nan,2018-06-26
3542946,cessation [of capitalisation],停止[资本化],,nan,2018-06-26
3542947,change in accounting estimate,会计估计变动,,nan,2018-06-26
3542948,change in accounting policies,会计政策变动,,会计政策变更,2018-06-26
3542949,changes in accounting estimates,会计估计变动,,nan,2018-06-26
3542950,chart of accounts,会计科目表,,科目汇总表,2018-06-26
3542951,chief executive officer,执行长,,nan,2018-06-26
3542952,chief financial officer {=CFO},财务长,,财务总监,2018-06-26
3542953,choice criterion,选择基准,,nan,2018-06-26
3542954,claim,请求；理赔；债权；主张,,nan,2018-06-26
3542955,claims development,理赔发展趋势,,nan,2018-06-26
3542956,class A preference share,A类特别股,,nan,2018-06-26
3542957,class of assets,资产类别,,nan,2018-06-26
3542958,"class of property, plant and equipment",不动产、厂房及设备类别,,nan,2018-06-26
3542959,classification,分类,,nan,2018-06-26
3542960,classification of financial instruments – contingent settlement provisions,金融工具之分类－或有交割条款,,nan,2018-06-26
3542961,classification of inventory,存货分类,,nan,2018-06-26
3542962,clean-up call,结清买权,,nan,2018-06-26
3542963,clearing counterparty,结算交易对方,,nan,2018-06-26
3542964,clearly trivial,显然微小,,nan,2018-06-26
3542965,client business risk,客户的企业风险,,nan,2018-06-26
3542966,clientele effect,顾客效果,,客户追随者效应,2018-06-26
3542967,close members of the family of the individual,个人之近亲,,nan,2018-06-26
3542968,closing,结帐,,结账,2018-06-26
3542969,closing market prices,收盘价,,nan,2018-06-26
3542970,closing rate,收盘汇率,,nan,2018-06-26
3542971,cloud computing environments,云端运算环境,,nan,2018-06-26
3542972,coefficient of determination,判定系数,,nan,2018-06-26
3542973,collar,上下限,,nan,2018-06-26
3542974,collateral,担保品,,nan,2018-06-26
3542975,collateralised asset,质押资产,,nan,2018-06-26
3542976,collateralised borrowing,抵押借款,,nan,2018-06-26
3542977,collectability,收现性,,nan,2018-06-26
3542978,collection,收现,,nan,2018-06-26
3542979,collection date,收现日,,nan,2018-06-26
3542980,collective marks,团体标章,,nan,2018-06-26
3542981,collective power,集体力量,,nan,2018-06-26
3542982,collusion,共谋,,nan,2018-06-26
3542983,collusive pricing,串通订价,,nan,2018-06-26
3542984,combined approach,并用方式,,nan,2018-06-26
3542985,combined financial statements,结合财务报表,,nan,2018-06-26
3542986,combined instrument,结合工具,,nan,2018-06-26
3542987,commencement,开始,,nan,2018-06-26
3542988,commencement of the lease term,租赁期间开始[日],,nan,2018-06-26
3542989,commercial discount,商业折扣,,商业折扣,2018-06-26
3542990,commercial draft,商业汇票,,商业汇票,2018-06-26
3542991,commercial loans,商业放款；商业借款,,nan,2018-06-26
3542992,commercial paper facilities,商业本票额度,,nan,2018-06-26
3542993,commercial substance,商业实质,,nan,2018-06-26
3542994,commercially viable quantities of mineral resources,矿产资源达到商业价值之数量,,nan,2018-06-26
3542995,commission,佣金,,nan,2018-06-26
3542996,commitment,承诺,,nan,2018-06-26
3542997,commitment date,承诺日,,nan,2018-06-26
3542998,commitment fee,承诺费,,nan,2018-06-26
3542999,committed fixed cost,既定性固定成本,,约束性固定成本,2018-06-26
3543000,commodity,[大宗]商品；[大宗]物资,,nan,2018-06-26
3543001,common cost,共同成本,,nan,2018-06-26
3543002,common stock,普通股,,普通股,2018-06-26
3543003,comparability,可比性,,nan,2018-06-26
3543004,comparability over time,不同期间之可比性,,nan,2018-06-26
3543005,comparable interim period,可比期中期间,,nan,2018-06-26
3543006,comparative financial statements,比较财务报表,,nan,2018-06-26
3543007,comparative information,比较资讯,,nan,2018-06-26
3543008,comparative information,比较资讯,,nan,2018-06-26
3543009,comparative statement of financial position,比较财务状况表,,nan,2018-06-26
3543010,compensated absences,带薪假,,nan,2018-06-26
3543011,compensation,补偿；薪酬,,nan,2018-06-26
3543012,compensation control,补偿控制,,nan,2018-06-26
3543013,competence,专业能力,,nan,2018-06-26
3543014,compilation,代编,,nan,2018-06-26
3543015,compilation services,代编服务,,nan,2018-06-26
3543016,complementary assets,互补性资产,,nan,2018-06-26
3543017,complete reciprocated costs,完全相互分摊后的成本,,nan,2018-06-26
3543018,complete set of financial statements,整套财务报表,,nan,2018-06-26
3543019,completeness,完整性,,nan,2018-06-26
3543020,completeness assertion,完整性声明,,nan,2018-06-26
3543021,compliance audit,遵循审计,,nan,2018-06-26
3543022,compliance with International Accounting Standards,遵循国际会计准则,,nan,2018-06-26
3543023,component,组成部分；组成个体,,nan,2018-06-26
3543024,component materiality,组成个体重大性,,nan,2018-06-26
3543025,component of an entity,企业[之]组成部分；个体[之]组成部分,,nan,2018-06-26
3543026,composite unit,混合单位,,nan,2018-06-26
3543027,compound financial instrument[s],复合金融工具,,nan,2018-06-26
3543028,compound instrument[s],复合工具,,nan,2018-06-26
3543029,comprehensive income,综合损益,,综合收益,2018-06-26
3543030,computed upper exception rate {=CUER},推估之偏差率上限,,nan,2018-06-26
3543031,computer-assisted audit techniques {=CAATs},电脑辅助查核技术,,nan,2018-06-26
3543032,concentration of [credit etc] risk,[信用等]风险集中,,nan,2018-06-26
3543033,conceptual framework for financial accounting,财务会计观念架构,,财务会计概念框架,2018-06-26
3543034,conference method,咨商法,,nan,2018-06-26
3543035,confidence level,信赖水准,,nan,2018-06-26
3543036,confidential client information,客户机密资讯,,nan,2018-06-26
3543037,configuration of the cash flows,现金流量型态,,nan,2018-06-26
3543038,confirmation,函证,,审计函证,2018-06-26
3543039,conformance quality,一致性品质,,nan,2018-06-26
3543040,consensus,共识,,nan,2018-06-26
3543041,consideration,对价,,nan,2018-06-26
3543042,consistency - alternative methods,一致性：替代方法,,nan,2018-06-26
3543043,consistency - capitalisation of borrowing costs,一致性：借款成本之资本化,,nan,2018-06-26
3543044,consistency - different cost formulas for inventories,一致性：存货之不同成本公式,,nan,2018-06-26
3543045,consolidated and separate financial statements,合并及单独财务报表,,nan,2018-06-26
3543046,consolidated balance sheet,合并资产负债表,,nan,2018-06-26
3543047,consolidated financial statements,合并财务报表,,合并财务报表,2018-06-26
3543048,consolidated financial statements and accounting for investments in subsidiaries,合并财务报表及投资子公司之会计,,nan,2018-06-26
