ID,英文名稱,中文名稱,圖片,中國大陸譯名,類別,更新日期
1824109,bonus,红利；奖金,,nan,nan,2013-05-01
1824110,bookkeeping,簿记,,nan,nan,2013-05-01
1824111,borderless organization,无国界组织,,nan,nan,2013-05-01
1824112,Boston consulting group{=BCG},波士顿顾问团,,nan,nan,2013-05-01
1824113,bottom-up planning,由下而上规划,,nan,nan,2013-05-01
1824114,boundaryless organization,无疆界组织,,nan,nan,2013-05-01
1824116,bounded rationality decision model,有限理性决策模式；有限理性决策模型,,nan,nan,2013-05-01
1824117,brain drain,人才外流,,nan,nan,2013-05-01
1824118,brainstorming,脑力激荡；脑力激荡法,,nan,nan,2020-04-01
1824119,brand,品牌,,nan,nan,2013-05-01
1824120,brand association,品牌联想,,nan,nan,2013-05-01
1824121,brand awareness,品牌知晓；品牌知名,,nan,nan,2013-05-01
1824122,brand equity,品牌权益,,nan,nan,2013-05-01
1824124,brand manager,品牌经理,,nan,nan,2013-05-01
1824125,brand name,品牌名称,,nan,nan,2013-05-01
1824127,breakeven chart,损益平衡图,,nan,nan,2013-05-01
1824128,break-even point,损益平衡点,,nan,nan,2013-05-01
1824129,broker,仲介商；经纪人；掮客,,nan,nan,2013-05-01
1824130,budget,预算,,nan,nan,2013-05-01
1824131,bundling,搭售；合购,,nan,nan,2013-05-01
1824132,bureaucracy,科层组织；官僚组织；科层；官僚,,nan,nan,2013-05-01
1824133,bureaucracy structure,科层结构；层级结构,,nan,nan,2013-05-01
1824134,bureaucratic control,科层控制；官僚控制,,nan,nan,2013-05-01
1824135,bureaucratic model,科层模式；科层模型；官僚模式；官僚模型,,nan,nan,2013-05-01
1824136,bureaucratic organization,科层式组织；官僚式组织,,nan,nan,2013-05-01
1824137,bureaucratization,科层化；官僚化,,nan,nan,2013-05-01
1824139,business,企业；事业；业务,,nan,nan,2013-05-01
1824140,business boundary,经营疆域,,nan,nan,2013-05-01
1824141,business cycle,景气循环,,nan,nan,2013-05-01
1824142,business environment,企业环境,,nan,nan,2013-05-01
1824143,business ethics,企业伦理,,nan,nan,2013-05-01
1824144,business function,业务功能；经营功能；企业功能,,nan,nan,2013-05-01
1824145,business level,事业层级,,nan,nan,2013-05-01
1824146,business mission,经营使命；事业使命；企业使命,,nan,nan,2013-05-01
1824147,business model,商业模式；经营模式,,nan,nan,2013-05-01
1824150,business-level strategy,事业层级策略,,nan,nan,2013-05-01
1824151,business-to-business {=B2B}market,企业对企业市场,,nan,nan,2013-05-01
1824152,buying stock on margin,融资买股,,nan,nan,2013-05-01
1824153,cafeteria plan,自助式福利计划,,nan,nan,2013-05-01
1824154,cafeteria-style fringe benefit,自助餐式的福利制度,,nan,nan,2013-05-01
1824155,calculated risk,计算性风险,,nan,nan,2013-05-01
1824156,calculated risk taking,风险评估,,nan,nan,2013-05-01
1824157,capability,能力；能耐,,nan,nan,2013-05-01
1824158,capital budget,资本预算,,nan,nan,2013-05-01
1824159,capital expenditure,资本支出,,nan,nan,2013-05-01
1824161,capitalism,资本主义,,nan,nan,2013-05-01
1824162,career,事业生涯；职涯,,nan,nan,2013-05-01
1824163,career development,职涯发展,,nan,nan,2013-05-01
1824164,career planning,职涯规划,,nan,nan,2013-05-01
1824165,carryover behavior,转入行为；延伸行为,,nan,nan,2013-05-01
1824166,carte-blanche preference principle,全权委托偏好原理,,nan,nan,2013-05-01
1824167,case method,个案法；案例法,,nan,nan,2013-05-01
1824169,cash budget,现金预算,,nan,nan,2013-05-01
1824171,cash flow forecast,现金流量预测,,nan,nan,2013-05-01
1824172,cash-and-carry wholesaler,付现取货批发商,,nan,nan,2013-05-01
1824173,causation,因果,,nan,nan,2013-05-01
1824174,central processing unit {=CPU},中央处理单位；中央处理器,,nan,nan,2020-03-25
1824175,centralization,集权化,,nan,nan,2013-05-01
1824176,certified public accountant{=CPA},执行会计师；挂牌会计师,,nan,nan,2013-05-01
1824177,chain for command,指挥链,,nan,nan,2013-05-01
1824178,change agent,变革推动者；变革中介者,,nan,nan,2013-05-01
1824180,channel,通路；渠道,,nan,nan,2013-05-01
1824181,channel of distribution,配销通路；分配通路,,nan,nan,2013-05-01
1824182,characteristic norm,特性规范,,nan,nan,2013-05-01
1824183,charismatic authority,魅力型威权；魅力型权威,,nan,nan,2013-05-01
1824184,charismatic leadership,魅力型领导,,nan,nan,2013-05-01
1824185,checker,检验者,,nan,nan,2013-05-01
1824186,checklist,检核表,,nan,nan,2013-05-01
1824187,chief ethics officer,伦理长,,nan,nan,2013-05-01
1824188,chief executive officer {=CEO},执行长,,nan,nan,2020-03-25
1824189,chief information officer {=CIO},资讯长；信息长,,nan,nan,2020-04-09
1824190,clan control,派系控制；文化控制,,nan,nan,2013-05-01
1824191,classical approach,古典途径,,nan,nan,2013-05-01
1824192,classical conditioning,古典制约,,nan,nan,2013-05-01
1824193,classical decision-making model,古典决策模式；古典决策模型,,nan,nan,2013-05-01
1824195,close-mindedness,封闭心态,,nan,nan,2013-05-01
1824196,clover organization,三叶草组织,,nan,nan,2013-05-01
1824197,cluster chain,聚落链,,nan,nan,2013-05-01
1824198,coach,教练,,nan,nan,2013-05-01
1824199,code of conduct,行为准则,,nan,nan,2013-05-01
1824201,coercive power,强制力,,nan,nan,2013-05-01
1824202,cognitive component of an attitude,态度的认知成分,,nan,nan,2013-05-01
1824204,cognitive evaluation theory,认知评价理论,,nan,nan,2013-05-01
1824205,cognitive resource theory,认知资源理论,,nan,nan,2013-05-01
1824206,cohesiveness,凝聚力,,nan,nan,2013-05-01
1824207,collective bargaining,集体谈判,,nan,nan,2013-05-01
1824208,collectivism,集体主义,,nan,nan,2013-05-01
1824209,combination strategy,组合策略,,nan,nan,2013-05-01
1824210,command,命令；指挥,,nan,nan,2013-05-01
1824211,command chain,指挥链,,nan,nan,2013-05-01
1824212,command economies,管制经济,,nan,nan,2013-05-01
1824213,command group,指挥群体,,nan,nan,2013-05-01
1824214,commercial finance company,商业金融公司,,nan,nan,2013-05-01
1824217,commitment,承诺；认同,,nan,nan,2013-05-01
1824218,committee,委员会,,nan,nan,2013-05-01
1824219,commodity exchange,商品交易所,,nan,nan,2013-05-01
1824220,common market,共同市场,,nan,nan,2013-05-01
1824221,common stock,普通股,,nan,nan,2013-05-01
1824223,communication channel,沟通管道；沟通渠道,,nan,nan,2013-05-01
1824224,communication network,沟通网络,,nan,nan,2013-05-01
1824226,communication receiver,沟通接受者,,nan,nan,2013-05-01
1824227,communication source,沟通来源,,nan,nan,2013-05-01
1824228,communism,共产主义,,nan,nan,2013-05-01
1824229,comparable worth,可比较价值,,nan,nan,2013-05-01
1824230,comparative advantage theory,比较优势理论；比较利益理论,,nan,nan,2013-05-01
1824231,comparative management,比较管理学；比较管理,,nan,nan,2013-05-01
1824232,comparative management theory,比较管理理论,,nan,nan,2013-05-01
1824233,compensation,薪酬,,nan,nan,2013-05-01
1824234,compensation administration,薪酬管理,,nan,nan,2013-05-01
1824235,competence,能力；能耐,,nan,nan,2013-05-01
1824236,competency-based compensation,能力基础的薪酬制度,,nan,nan,2013-05-01
1824237,competition-based pricing,竞争基础订价,,nan,nan,2013-05-01
1824240,competitive profile matrix,竞争态势矩阵,,nan,nan,2013-05-01
1824241,competitive strategy,竞争策略,,nan,nan,2013-05-01
1824242,competitor,竞争者,,nan,nan,2013-05-01
1824243,complementary strategic alliance,互补性策略联盟,,nan,nan,2013-05-01
1824244,complex man hypothesis,复杂人假设,,nan,nan,2013-05-01
1824245,compliance-based ethics code,服从基础伦理信条；服从基础之伦理准则,,nan,nan,2013-05-01
1824246,compressed workweek,压缩工作周,,nan,nan,2013-05-01
1824248,computer-aided manufacturing{=CAM},电脑辅助制造,,nan,nan,2013-05-01
1824249,computer-based management information system,电脑基础的管理资讯系统；电脑基础的管理信息系统；电脑基础的管理资讯制度；电脑基础的信息制度,,nan,nan,2013-05-01
1824251,concentration,集中,,nan,nan,2013-05-01
1824252,concentration of beam-mode informal communication,集束式非正式沟通,,nan,nan,2013-05-01
1824253,concentric diversification,集中式多角化,,nan,nan,2013-05-01
1824254,concentricity strategy,集中策略,,nan,nan,2013-05-01
1824255,concept,观念,,nan,nan,2013-05-01
1824256,concept design,观念设计,,nan,nan,2013-05-01
1824257,concept testing,观念测试,,nan,nan,2013-05-01
1824258,conceptual skill,观念性能力,,nan,nan,2013-05-01
1824259,concurrent control,同步控制,,nan,nan,2013-05-01
1824260,conditional payoffs,条件报偿,,nan,nan,2013-05-01
1824261,confabulatory transmission,闲谈传输,,nan,nan,2013-05-01
1824262,conference method,协商法,,nan,nan,2013-05-01
1824263,conflict,冲突,,nan,nan,2013-05-01
1824264,conflict management,冲突管理,,nan,nan,2013-05-01
1824265,conglomerate,复合企业,,nan,nan,2013-05-01
1824268,consideration,体恤；酬劳,,nan,nan,2013-05-01
1824270,construct,构念,,nan,nan,2013-05-01
1824271,consultative management,咨商管理,,nan,nan,2013-05-01
1824272,consumer market,消费者市场,,nan,nan,2013-05-01
1824273,consumer price index{=CPI},消费者物价指数,,nan,nan,2013-05-01
1824274,consumerism,消费者主义,,nan,nan,2013-05-01
1824275,content model,内容模式,,nan,nan,2013-05-01
1824276,content theory,内容理论,,nan,nan,2013-05-01
1824277,contingency,情境；权变,,nan,nan,2013-05-01
1824279,contingency forecasting,情境预测；权变预测,,nan,nan,2013-05-01
1824280,contingency management,情境管理；权变管理,,nan,nan,2013-05-01
1824281,contingency model,情境模式；权变模式,,nan,nan,2013-05-01
1824282,contingency perspective,情境观点；权变观点,,nan,nan,2013-05-01
1824283,contingency planning,情境式规划；权变式规划,,nan,nan,2013-05-01
1824284,contingency theory,权变理论,,nan,nan,2013-05-01
1824285,contingency theory school,权变理论学派,,nan,nan,2013-05-01
1824286,contingent worker,临时工,,nan,nan,2013-05-01
1824287,contingent workforce,暂时性劳动力,,nan,nan,2013-05-01
1824288,continuous improvement,持续改善,,nan,nan,2013-05-01
1824289,continuous process,连续制程,,nan,nan,2013-05-01
1824291,continuous-process production,连续程序生产,,nan,nan,2013-05-01
1824292,contract manufacturing,契约制造,,nan,nan,2013-05-01
1824293,contractual distribution system,契约配销系统；契约配销制度,,nan,nan,2013-05-01
1824295,control,控制,,nan,nan,2013-05-01
1824297,control process,控制程序,,nan,nan,2013-05-01
1824299,convenience goods and services,便利品和服务,,nan,nan,2013-05-01
1824300,conventional corporation,传统公司,,nan,nan,2013-05-01
1824301,cooperative,合作社,,nan,nan,2013-05-01
1824302,cooperative strategy,合作策略,,nan,nan,2013-05-01
1824303,cooperative system,合作系统；合作制度,,nan,nan,2013-05-01
1824304,coordinated control,协调性控制,,nan,nan,2013-05-01
1824305,coordination,协调,,nan,nan,2013-05-01
1824306,coordination cost,协调成本,,nan,nan,2013-05-01
1824307,coordinator,协调者,,nan,nan,2013-05-01
1824309,core dimension,核心维度；核心层面,,nan,nan,2013-05-01
1824310,core employee,核心员工,,nan,nan,2013-05-01
1824311,core time,核心时间,,nan,nan,2013-05-01
1824312,corporate citizen,企业公民,,nan,nan,2013-05-01
1824313,corporate culture,企业文化,,nan,nan,2013-05-01
1824314,corporate distribution system,公司配销系统；公司配销制度；公司分配系统；公司分配制度,,nan,nan,2013-05-01
1824315,corporate governance,公司治理；公司统理,,nan,nan,2013-05-01
1824316,corporate philanthropy,公司慈善；企业慈善,,nan,nan,2013-05-01
1824317,corporate policy,公司政策；企业政策,,nan,nan,2013-05-01
1824318,corporate responsibility,企业责任,,nan,nan,2013-05-01
1824319,corporate social responsibility {=CSR},企业社会责任,,nan,nan,2020-04-09
1824320,corporate-level strategy,总体策略,,nan,nan,2013-05-01
1824321,corporation,公司,,nan,nan,2013-05-01
1824322,cost function,成本函数,,nan,nan,2013-05-01
1824323,cost leadership strategy,成本领导策略,,nan,nan,2013-05-01
1824324,cost of capital,资金成本,,nan,nan,2013-05-01
1824325,cost structure,成本结构,,nan,nan,2013-05-01
1824326,cost-benefit analysis,成本效益分析,,nan,nan,2013-05-01
1824327,costs of accountability,责任成本,,nan,nan,2013-05-01
1824328,costs of compromise,妥协成本,,nan,nan,2013-05-01
1824329,countertrading,对等贸易,,nan,nan,2013-05-01
1824331,crisis management,危机管理,,nan,nan,2013-05-01
1824332,critical path method{=CPM},要径法,,nan,nan,2013-05-01
1824333,critical successful factor,关键成功因素,,nan,nan,2013-05-01
1824334,cross-border strategic alliance,跨国策略联盟,,nan,nan,2013-05-01
1824335,cross-cultural research,跨文化研究,,nan,nan,2013-05-01
1824337,cultural web analysis,文化网络分析,,nan,nan,2013-05-01
1824339,culture-bound,文化限定,,nan,nan,2013-05-01
1824340,current asset,流动资产,,nan,nan,2013-05-01
1824341,current control,即时控制,,nan,nan,2013-05-01
1824342,curriculum,课程,,nan,nan,2013-05-01
1824343,customer,客户；顾客,,nan,nan,2013-05-01
1824344,customer departmentalization,顾客别部门化,,nan,nan,2013-05-01
1824346,customer-driven philosophy,顾客驱动型哲学,,nan,nan,2013-05-01
1824348,data,资料；数据,,nan,nan,2013-05-01
1824349,data bank,资料银行,,nan,nan,2013-05-01
1824350,data processing system,资料处理系统；资料处理制度,,nan,nan,2013-05-01
1824351,database,资料库,,nan,nan,2013-05-01
1824352,dealer brand,经销商品牌,,nan,nan,2013-05-01
1824353,debenture bond,无担保债券,,nan,nan,2013-05-01
1824354,debt financing,债务融资；举债融资,,nan,nan,2013-05-01
1824356,decentralized authority,分权化权威,,nan,nan,2013-05-01
1824357,decision criteria,决策准则,,nan,nan,2013-05-01
1824358,decision implementation,决策执行,,nan,nan,2013-05-01
1824359,decision ladder,决策阶梯,,nan,nan,2013-05-01
1824360,decision maker,决策者,,nan,nan,2013-05-01
1824361,decision making school,决策理论学派,,nan,nan,2013-05-01
1824362,decision making under certainty,确定状况下的决策,,nan,nan,2013-05-01
1824363,decision making under risk,风险状况下的决策,,nan,nan,2013-05-01
1824364,decision making under uncertainty,不确定状况下的决策,,nan,nan,2013-08-05
1824365,decision matrix technique,决策矩阵法,,nan,nan,2013-05-01
1824366,decision package,决策包；决策配套,,nan,nan,2013-05-01
1824367,decision support systems{=DSS},决策支援系统；决策支援制度,,nan,nan,2013-05-01
1824368,decision tree,决策树,,nan,nan,2013-05-01
1824369,decision unit,决策单位,,nan,nan,2013-05-01
1824370,decisional role,决策角色,,nan,nan,2013-05-01
1824371,decision-making,决策,,nan,nan,2013-05-01
1824372,decision-making process,决策程序,,nan,nan,2013-05-01
1824373,decision-making style,决策风格,,nan,nan,2013-05-01
1824374,decoding,解码,,nan,nan,2013-05-01
1824375,deferred compensation,延后支付薪酬,,nan,nan,2013-05-01
1824376,deflation,通货紧缩,,nan,nan,2013-05-01
1824377,delayed entry strategy,延迟进入策略,,nan,nan,2013-05-01
1824378,delayering,缩减层级,,nan,nan,2013-05-01
1824379,delegation of authority,授权,,nan,nan,2013-05-01
1824380,Delphi method,德菲法,,nan,nan,2013-05-01
1824381,demand-of-the-job theory,工作本身之需求理论,,nan,nan,2013-05-01
1824382,demand-oriented pricing,需求导向定价法,,nan,nan,2013-05-01
1824383,demand-pull type,需求拉力型,,nan,nan,2013-05-01
1824384,demographic segmentation,人口统计区隔化,,nan,nan,2013-05-01
1824385,demography,人口统计,,nan,nan,2013-05-01
1824386,departmentalization,部门化,,nan,nan,2013-05-01
1824387,depreciation,折旧,,nan,nan,2013-05-01
1824388,depression,萧条,,nan,nan,2013-05-01
1824390,deterrence-based trust,威慑基础的信任,,nan,nan,2013-05-01
1824391,Detroit automation,底特律式自动化,,nan,nan,2013-05-01
1824392,devaluation,贬值,,nan,nan,2013-05-01
1824393,development research,发展研究,,nan,nan,2013-05-01
1824394,devil's advocate,故意唱反调的人,,nan,nan,2013-05-01
1824395,diagonal communication,斜向沟通,,nan,nan,2013-05-01
1824396,diamond model,钻石模型,,nan,nan,2013-05-01
1824398,diffusion,扩散,,nan,nan,2013-05-01
1824399,dimension,层面；维度,,nan,nan,2013-05-01
1824400,direct costing,直接成本法,,nan,nan,2013-05-01
1824402,direct selling,直销,,nan,nan,2013-05-01
1824403,directed discussion,导引式讨论,,nan,nan,2013-05-01
1824404,directed interview,导引式访问,,nan,nan,2013-05-01
1824405,directional plan,方向性计划,,nan,nan,2013-05-01
1824406,directional policy matrix,定向政策矩阵,,nan,nan,2013-05-01
1824407,directive,指令,,nan,nan,2013-05-01
1824408,discontinuous automation,非连续性自动化,,nan,nan,2013-05-01
1824409,disinflation,反通货膨胀,,nan,nan,2013-05-01
1824410,disseminator,传播者,,nan,nan,2013-05-01
1824413,disturbance handler,分争处理者,,nan,nan,2013-05-01
1824415,diversification strategy,多角化策略,,nan,nan,2013-05-01
1824416,dividend,股利,,nan,nan,2013-05-01
1824417,division,事业部,,nan,nan,2013-05-01
1824418,division of labor,分工,,nan,nan,2013-05-01
1824419,divisional structure,部门式结构,,nan,nan,2013-05-01
1824420,divisionalization,事业部化,,nan,nan,2013-05-01
1824421,double-entry bookkeeping,复式簿记,,nan,nan,2013-05-01
1824425,driving force,驱动力,,nan,nan,2013-05-01
1824426,drop shipper,承订批发商,,nan,nan,2013-05-01
1824427,due diligence,实质审查；尽职调查,,nan,nan,2013-05-01
1824428,dumping,倾销,,nan,nan,2013-05-01
1824429,dynamic X-efficiency,动态X效率,,nan,nan,2013-05-01
1824430,dysfunctional conflict,反功能性冲突；破坏性冲突,,nan,nan,2013-05-01
1824431,early entry strategy,早期进入策略,,nan,nan,2013-05-01
1824432,early growth stage,早期成长阶段,,nan,nan,2013-05-01
1824433,e-business,电子化企业；电子化经营,,nan,nan,2013-05-01
1824434,eco-efficiency,生态效益,,nan,nan,2013-05-01
1824435,ecomagination,生态想像,,nan,nan,2013-05-01
1824437,economic man,经济人,,nan,nan,2013-05-01
1824438,economic order quantity {=EOQ},经济订购量,,nan,nan,2020-03-27
1824439,economics,经济学,,nan,nan,2013-05-01
1824440,economies of scale,规模经济,,nan,nan,2013-05-01
1824441,economies of scope,范畴经济,,nan,nan,2013-05-01
1824442,effectiveness,效能；效果,,nan,nan,2013-05-01
1824443,efficiency,效率,,nan,nan,2013-05-01
1824444,e-Finance,财务管理资讯系统,,nan,nan,2013-05-01
1824445,ego strength,自我强度,,nan,nan,2013-05-01
1824446,e-HR,人力资源管理资讯系统,,nan,nan,2013-05-01
1824447,e-learning,线上学习,,nan,nan,2013-05-01
1824448,electronic data interchange {=EDI},电子资料交换,,nan,nan,2020-03-26
1824449,electronic meeting,电子会议,,nan,nan,2013-05-01
1824450,electronic retailing,电子零售,,nan,nan,2013-05-01
1824451,embargo,禁运,,nan,nan,2013-05-01
1824452,"emotional intelligence quotient {=EIQ, EQ}",情绪智商,,nan,nan,2020-04-10
1824455,empathetic listening,倾听,,nan,nan,2013-05-01
1824456,empathy,同理心,,nan,nan,2013-05-01
1824457,employee assistance program{=EAP},员工协助方案,,nan,nan,2013-05-01
1824458,employee benefit,员工福利,,nan,nan,2013-05-01
1824459,employee compensation,员工薪酬,,nan,nan,2013-05-01
1824460,employee counseling,员工咨商,,nan,nan,2013-05-01
1824461,employee development,员工发展,,nan,nan,2013-05-01
1824462,employee orientation,职前训练,,nan,nan,2013-05-01
1824463,employee oriented,员工导向,,nan,nan,2013-05-01
1824464,employee oriented leader,员工导向领导者,,nan,nan,2013-05-01
1824465,employee participation program,员工参与计划,,nan,nan,2013-05-01
1824466,employee stock ownership plans,员工认股计划；员工持股计划,,nan,nan,2013-05-01
1824467,employment planning,雇用规划,,nan,nan,2013-05-01
1824469,enabling,赋能,,nan,nan,2013-05-01
1824470,encoding,编码,,nan,nan,2013-05-01
1824471,engineering,工程学,,nan,nan,2013-05-01
1824472,enterprise resource planning {=ERP},企业资源规划,,nan,nan,2020-04-09
1824473,enterprise zone,企业特区,,nan,nan,2013-05-01
1824475,entrepreneurial opportunity,创业机会,,nan,nan,2013-05-01
1824476,entrepreneurial team,创业团队,,nan,nan,2013-05-01
1824477,entrepreneurial trait school,创业特质学派,,nan,nan,2013-05-01
1824478,entrepreneurship,创业精神；企业家精神,,nan,nan,2013-05-01
1824479,entry barrier,进入障碍,,nan,nan,2013-05-01
1824480,entry strategy,进入策略,,nan,nan,2013-05-01
1824481,environmental change,环境变迁,,nan,nan,2013-05-01
1824483,environmental monitoring,环境侦测,,nan,nan,2013-05-01
1824485,environmental stability,环境稳定性,,nan,nan,2013-05-01
1824487,equal employment opportunity,公平就业机会,,nan,nan,2013-05-01
1824488,equal pay for work of equal value,同工同酬；同值同酬,,nan,nan,2013-05-01
1824489,equalitarianism,平等主义,,nan,nan,2013-05-01
1824490,equilibrium point,均衡点,,nan,nan,2013-05-01
1824491,equity financing,权益融资,,nan,nan,2013-05-01
1824492,equity strategic alliance,股权式策略联盟,,nan,nan,2013-05-01
1824493,equity theory,公平理论,,nan,nan,2013-05-01
1824494,ERG theory,生存-关系-成长理论；三需求理论,,nan,nan,2013-05-01
1824496,esprit de corps,团队精神,,nan,nan,2013-05-01
1824497,essay appraisal,论述评估,,nan,nan,2013-05-01
1824499,ethical audit,伦理稽核,,nan,nan,2013-05-01
1824500,ethical fund,伦理基金,,nan,nan,2013-05-01
1824502,European Community{=EC},欧洲共同体,,nan,nan,2013-05-01
1824504,everyday low pricing{=EDLP},每日低价,,nan,nan,2013-05-01
1824505,exception principle,例外原则,,nan,nan,2013-05-01
1824506,exchange rate,汇率,,nan,nan,2013-05-01
1824507,exchange relationship,交换关系,,nan,nan,2013-05-01
1824508,exchange-traded funds{=ETFs},指数型股票基金,,nan,nan,2013-05-01
1824509,exclusive distribution,独家配销；独家分配,,nan,nan,2013-05-01
1824510,executive function,高阶主管功能；执行功能,,nan,nan,2013-05-01
1824511,executive information system {=EIS},高阶主管资讯系统；高阶主管资讯制度,,nan,nan,2020-03-26
1824512,executive support system {=ESS},高阶主管支援系统；高阶主管支援制度,,nan,nan,2013-05-01
1824513,existence needs,生存需要,,nan,nan,2013-05-01
1824514,exit barrier,退出障碍,,nan,nan,2013-05-01
1824515,exogenous variable,外生变项,,nan,nan,2013-05-01
1824516,expectancy model of motivation,动机之期望模式,,nan,nan,2013-05-01
1824517,expectancy theory,期望理论,,nan,nan,2013-05-01
1824518,expected time{=ET},预期时间,,nan,nan,2013-05-01
1824519,expected value {=EV},期待值,,nan,nan,2020-03-31
1824521,experiential decision making,经验决策,,nan,nan,2013-05-01
1824523,expert system {=ES},专家系统；专家制度,,nan,nan,2020-04-01
1824524,explicit knowledge,外显知识,,nan,nan,2013-05-01
