ID,英文名稱,中文名稱,圖片,備註,更新日期
3364787,action system,行动体系；行动系统,,,2018-03-21
3364788,action theory {Parsons},行动理论,,,2018-03-21
3364789,active citizen,积极公民,,,2018-03-21
3364790,active leisure,动态休闲；主动休闲,,,2018-03-21
3364791,active society,积极社会；能动社会,,,2018-03-21
3364792,actor,行动者,,,2018-03-21
3364793,actor-network theory {=ANT},行动者－网络理论,,,2018-03-21
3364794,adaptation,适应,,,2018-03-21
3364795,adaptive upgrading,适应提升,,,2018-03-21
3364796,addiction,上瘾,,,2018-03-21
3364797,adjustment,调适,,,2018-03-21
3364798,adolescence,青少年期,,,2018-03-21
3364799,adolescence subculture,青少年次文化,,,2018-03-21
3364800,adult socialization,成人社会化,,,2018-03-21
3364801,adulthood,成年,,,2018-03-21
3364802,advanced capitalism,发达资本主义；先进资本主义,,,2018-03-21
3364803,advertising industry,广告工业,,,2018-03-21
3364804,advocacy,倡议,,,2018-03-21
3364805,aestheticization of everyday life,日常生活的美学化,,,2018-03-21
3364806,affect control theory {=ACT},情感控制理论,,,2018-03-21
3364807,affective action,情感行动,,,2018-03-21
3364808,affective individualism,情感个人主义,,,2018-03-21
3364809,affective neutrality,情感中立,,,2018-03-21
3364810,affinity,姻亲；亲近性,,,2018-03-21
3364811,affirmative action,平权措施,,,2018-03-21
3364812,affluent society,丰裕社会,,,2018-03-21
3364813,African-American studies,非裔美国人研究,,,2018-03-21
3364814,agape love,人和上帝之间的爱,,,2018-03-21
3364815,age composition,年龄组成,,,2018-03-21
3364816,age dependency ratio,老年扶养比,,,2018-03-21
3364817,age differentiation,年龄分化,,,2018-03-21
3364818,age distribution,年龄分布,,,2018-03-21
3364819,age domination,年龄优势,,,2018-03-21
3364820,age group,年龄组,,,2018-03-21
3364821,age structure of population,人口的年龄结构,,,2018-03-21
3364822,age-period-cohort conundrum  {=APC conundrum},年龄-时期-世代困局,,,2018-03-21
3364823,ageism,年龄歧视；老年歧视,,,2018-03-21
3364824,agency,行动者；施为者；能动者；主体；能动性；机构,,,2018-03-21
3364825,agent,行动者；施为者；能动者；主体,,,2018-03-21
3364826,agent of socialization,社会化机构,,,2018-03-21
3364827,aggregate,聚合,,,2018-03-21
3364828,aggregation of interests,利益汇总；利益汇集,,,2018-03-21
3364829,aggregation of preference,偏好汇总；偏好汇集,,,2018-03-21
3364830,AGIL,适应、目标达成、整合、潜势,,,2018-03-21
3364831,aging,老化,,,2018-03-21
3364832,aging index,老化指数,,,2018-03-21
3364833,agnosticism,不可知论,,,2018-03-21
3364834,agora,广场,,,2018-03-21
3364835,agrarian movement,农民运动,,,2018-03-21
3364836,agrarian society,农业社会,,,2018-03-21
3364837,agrarianism,分田主义,,,2018-03-21
3364838,agricultural labor,农业劳动者,,,2018-03-21
3364839,agricultural population,农业人口,,,2018-03-21
3364840,agricultural revolution,农业革命,,,2018-03-21
3364841,agricultural worker,农业工人,,,2018-03-21
3364842,ahistorical bias,缺乏历史感的偏见,,,2018-03-21
3364843,ahistoricity,无关历史性,,,2018-03-21
3364844,aided recall,定事回想,,,2018-03-21
3364845,alcoholic anonymity,匿名戒酒会,,,2018-03-21
3364846,alcoholism,酗酒,,,2018-03-21
3364847,alien population,外籍人口,,,2018-03-21
3364848,alienation,疏离；异化,,,2018-03-21
3364849,allocation of sample size,样本规模分配,,,2018-03-21
3364850,alpha error,α误差,,,2018-03-21
3364851,alter,他者,,,2018-03-21
3364852,alternative hypothesis,对立假设,,,2018-03-21
3364853,alternative medicine,另类医学,,,2018-03-21
3364854,altruism,利他主义,,,2018-03-21
3364855,altruistic suicide,利他型自杀,,,2018-03-21
3364856,Americanization,美国化,,,2018-03-21
3364857,anal phase,肛门期,,,2018-03-21
3364858,analogical method,类比法,,,2018-03-21
3364859,analysis of covariance,共变数分析,,,2018-03-21
3364860,analysis of variance,变异数分析,,,2018-03-21
3364861,analytical framework,分析架构,,,2018-03-21
3364862,analytical marxism,分析式马克思主义,,,2018-03-21
3364863,anarchism,无政府主义；安那其主义,,,2018-03-21
3364864,ancestor cult,祖先崇拜,,,2018-03-21
3364865,ancestor worship,祖先崇拜,,,2018-03-21
3364866,ancient mode of production,古代生产方式,,,2018-03-21
3364867,ancova,共变数分析,,,2018-03-21
3364868,androcentric theory,雄性本位理论,,,2018-03-21
3364869,androgyny,雌雄同体；双性向,,,2018-03-21
3364870,anecdotal evidence,轶事性的证据,,,2018-03-21
3364871,animal instinct,动物本能,,,2018-03-21
3364872,animal protection movement,动物保护运动,,,2018-03-21
3364873,animal rights movement,动物权运动,,,2018-03-21
3364874,animal worship,动物崇拜,,,2018-03-21
3364875,animism,泛灵信仰,,,2018-03-21
3364876,annals school,年鉴学派,,,2018-03-21
3364877,annuity,年金,,,2018-03-21
3364878,annulment,法律宣告婚姻无效,,,2018-03-21
3364879,anomic division of labour,脱序型分工,,,2018-03-21
3364880,anomic leisure,脱序休闲,,,2018-03-21
3364881,anomic suicide,脱序型自杀,,,2018-03-21
3364882,anomie,脱序,,,2018-03-21
3364883,anonymity,匿名；匿名性,,,2018-03-21
3364884,anonymous questionnaire,不记名问卷,,,2018-03-21
3364885,anova,变异数分析,,,2018-03-21
3364886,antagonism,敌对,,,2018-03-21
3364887,antagonistic cooperation,敌对合作,,,2018-03-21
3364888,antecedent variable,前置变数；前置变项,,,2018-03-21
3364889,anthropocentric theory,人类中心理论,,,2018-03-21
3364890,anthropocentrism,人类中心主义,,,2018-03-21
3364891,anthropogenic association,人种原则的结合,,,2018-03-21
3364892,anthropology,人类学,,,2018-03-21
3364893,anthropomorphism,拟人观,,,2018-03-21
3364894,anti-branding movement,反品牌运动；反名牌运动,,,2018-03-21
3364895,anti-depressants,抗忧郁药物,,,2018-03-21
3364896,anti-dumping,反倾销,,,2018-03-21
3364897,anti-globalization movement,反全球化运动,,,2018-03-21
3364898,anti-intraception,反内省,,,2018-03-21
3364899,anti-militarism,反军国主义；反军事主义,,,2018-03-21
3364900,anti-natalist policy,抑制生育政策,,,2018-03-21
3364901,anti-psychiatry movement,反精神医学运动,,,2018-03-21
3364902,anti-psychologism,反心理主义,,,2018-03-21
3364903,anti-secularization theory,反世俗化理论,,,2018-03-21
3364904,anti-semitism scale,反犹太人量表,,,2018-03-21
3364905,anti-social behavior,反社会行为,,,2018-03-21
3364906,anti-trust,反托辣斯,,,2018-03-21
3364907,anti-war and peace movements,反战和平运动,,,2018-03-21
3364908,anti-war movement,反战运动,,,2018-03-21
3364909,anticipated consequence,预期后果,,,2018-03-21
3364910,anticipatory socialization,预期社会化,,,2018-03-21
3364911,antiracism,反种族歧视,,,2018-03-21
3364912,antisexism,反性别歧视,,,2018-03-21
3364913,antitheism,反有神论,,,2018-03-21
3364914,anxious attachment,焦虑型依附,,,2018-03-21
3364915,apartheid,南非种族隔离政策,,,2018-03-21
3364916,apolitical,无关政治,,,2018-03-21
3364917,applied research,应用研究,,,2018-03-21
3364918,applied sociology,应用社会学,,,2018-03-21
3364919,apprentice system,实习制；学徒制,,,2018-03-21
3364920,apprenticeship,学徒制；学徒身分,,,2018-03-21
3364921,archeology of knowledge,知识的考掘；知识考古学,,,2018-03-21
3364922,archival data,档案资料,,,2018-03-21
3364923,archival research,档案研究,,,2018-03-21
3364924,area files,地区档案,,,2018-03-21
3364925,area studies,区域研究,,,2018-03-21
3364926,areligiosity,无关宗教性,,,2018-03-21
3364927,aristocracy,贵族政体,,,2018-03-21
3364928,arithmetic mean,算术平均数,,,2018-03-21
3364929,arkos,卫城,,,2018-03-21
3364930,arranged marriage,安排式婚姻；包办婚姻,,,2018-03-21
3364931,articulation,连属；阐连；链结,,,2018-03-21
3364932,artificial insemination,人工授精,,,2018-03-21
3364933,artificial intelligence,人工智慧,,,2018-03-21
3364934,artificial selection,人为选择；人为淘汰,,,2018-03-21
3364935,aryanism,雅利安主义,,,2018-03-21
3364936,ascetic protestantism,制欲基督新教,,,2018-03-21
3364937,asceticism,制欲主义,,,2018-03-21
3364938,Asch experiments,艾许实验,,,2018-03-21
3364939,ascribed role,先赋角色,,,2018-03-21
3364940,ascribed status,先赋地位,,,2018-03-21
3364941,ascription,先赋,,,2018-03-21
3364942,Asian-American studies,亚裔美国人研究,,,2018-03-21
3364943,asiatic mode of production,亚细亚生产方式,,,2018-03-21
3364944,assembly line,生产线；装配线,,,2018-03-21
3364945,assimilation,同化,,,2018-03-21
3364946,association,结社,,,2018-03-21
3364947,asylum,疗养院；收容所,,,2018-03-21
3364948,asymmetric measure of association,不对称相关量数,,,2018-03-21
3364949,atheism,无神论,,,2018-03-21
3364950,atomic theory,原子论式理论,,,2018-03-21
3364951,atomism,原子论,,,2018-03-21
3364952,atomistic fallacy,原子论式谬误,,,2018-03-21
3364953,atomization,原子化,,,2018-03-21
3364954,attempted suicide,自杀未遂,,,2018-03-21
3364955,attention span,注意力幅度,,,2018-03-21
3364956,attitude,态度,,,2018-03-21
3364957,attitude change,态度变迁,,,2018-03-21
3364958,attitude scale,态度量表,,,2018-03-21
3364959,Attitudes Toward Feminism scale,对女性主义的态度量表,,,2018-03-21
3364960,attribute variable,属性变数；属性变项,,,2018-03-21
3364961,attribution,归因,,,2018-03-21
3364962,attribution theory,归因理论,,,2018-03-21
3364963,audience,阅听人,,,2018-03-21
3364964,audience analysis,阅听人分析,,,2018-03-21
3364965,aura,灵光,,,2018-03-21
3364966,autarky,自给自足,,,2018-03-21
3364967,authentication,认证,,,2018-03-21
3364968,authoritarian personality,权威人格,,,2018-03-21
3364969,authoritarian regime,威权政体,,,2018-03-21
3364970,authoritarianism,威权主义；威权性格,,,2018-03-21
3364971,authoritative society,威权社会,,,2018-03-21
3364972,authority,权威,,,2018-03-21
3364973,autocorrelation,自相关,,,2018-03-21
3364974,autocracy,独裁政体,,,2018-03-21
3364975,autoethnography,自体民族志,,,2018-03-21
3364976,automation,自动化,,,2018-03-21
3364977,autonomy,自主；自治,,,2018-03-21
3364978,autopoiesis,自我再生,,,2018-03-21
3364979,autopoietic systems theory,自我再生系统理论,,,2018-03-21
3364980,autoregression,自回归,,,2018-03-21
3364981,availability sample,便利样本,,,2018-03-21
3364982,average absolute deviation,平均绝对离差,,,2018-03-21
3364983,average deviation,平均离差,,,2018-03-21
3364984,average social labor,平均社会劳动,,,2018-03-21
3364985,avoidant attachment,避免型依附,,,2018-03-21
3364986,axial civilizations,轴心文明,,,2018-03-21
3364987,axial growth,轴状发展,,,2018-03-21
3364988,baby boom,婴儿潮；生育高峰,,,2018-03-21
3364989,back stage behavior,后台行为,,,2018-03-21
3364990,back- translation,来回翻译,,,2018-03-21
3364991,back-to-basics movement,复本运动,,,2018-03-21
3364992,backward linkage,后向联结,,,2018-03-21
3364993,backward selection model,后向剔除模型,,,2018-03-21
3364994,balance of migration,移民差额,,,2018-03-21
3364995,balance of power,权力平衡；权力均衡,,,2018-03-21
3364996,balance sheet,资产负债表,,,2018-03-21
3364997,band wagon effect,篷车效应；跟风效应；西瓜效应,,,2018-03-21
3364998,barbarism,野蛮状态,,,2018-03-21
3364999,bare-foot doctor,赤脚医生,,,2018-03-21
3365000,bargaining power,协商力量；议价能力,,,2018-03-21
3365001,bargaining range,协商空间,,,2018-03-21
3365002,barrio,[移民的]社区；街坊,,,2018-03-21
3365003,barter,以物易物,,,2018-03-21
3365004,barter economy,以物易物；物物交易,,,2018-03-21
3365005,base map,基本地图,,,2018-03-21
3365006,baseline data,基准资料,,,2018-03-21
3365007,battery,题项组,,,2018-03-21
3365008,bayes' theorem,贝氏定理,,,2018-03-21
3365009,because motive,因为动机,,,2018-03-21
3365010,before-after experiment,前后对照实验,,,2018-03-21
3365011,behavior,行为,,,2018-03-21
3365012,behavior pattern,行为模式,,,2018-03-21
3365013,behavioral science,行为科学,,,2018-03-21
3365014,behaviorism,行为主义,,,2018-03-21
3365015,belief,信念；信仰,,,2018-03-21
3365016,belief system,信仰体系；信仰系统,,,2018-03-21
3365017,bell curve,钟形曲线；钟型曲线,,,2018-03-21
3365018,bell-shaped curve,钟形曲线,,,2018-03-21
3365019,belonging,归属,,,2018-03-21
3365020,beneficiary,受益者,,,2018-03-21
3365021,bernoulli's theorem,伯努里定理,,,2018-03-21
3365022,best fitting line,最适线,,,2018-03-21
3365023,best linear unbiased estimator,最适线性不偏估计,,,2018-03-21
3365024,beta coefficient,β系数,,,2018-03-21
3365025,beta error,β误差,,,2018-03-21
3365026,between-group variance,组间变异数,,,2018-03-21
3365027,between-nation income inequality,国家间的收入不平等,,,2018-03-21
3365028,bias,偏见；偏误,,,2018-03-21
3365029,biased estimate,偏误估计,,,2018-03-21
3365030,bilingual education,双语教育,,,2018-03-21
3365031,bimodal curve,双峰曲线,,,2018-03-21
3365032,bimodal distribution,双峰分配,,,2018-03-21
3365033,binary opposition,二元对立,,,2018-03-21
3365034,binomial curve,二项曲线,,,2018-03-21
3365035,binomial distribution,二项分配,,,2018-03-21
3365036,binomial sampling distribution,二项式抽样分配,,,2018-03-21
3365037,binomial theorem,二项式定理,,,2018-03-21
3365038,binomial variable,二项变项；二项变数,,,2018-03-21
3365039,bio-social environment,生物－社会环境,,,2018-03-21
3365040,bio-statistics,生物统计学；生物统计,,,2018-03-21
3365041,biographical data,传记资料；生平资料,,,2018-03-21
3365042,biographical method,传记方法,,,2018-03-21
3365043,biological altruism,生物性利他论,,,2018-03-21
3365044,biological approach,生物学取向,,,2018-03-21
3365045,biological determinism,生物决定论,,,2018-03-21
3365046,biological environment,生物环境,,,2018-03-21
3365047,biological evolutionism,生物演化论,,,2018-03-21
3365048,biological reductionism,生物化约论,,,2018-03-21
3365049,biological sex,生物性别,,,2018-03-21
3365050,biological sociology,生物社会学,,,2018-03-21
3365051,biopolitics,生命政治,,,2018-03-21
3365052,biopower,生命权力,,,2018-03-21
3365053,biosociology,生物社会学,,,2018-03-21
3365054,biphobia,恐双性恋症,,,2018-03-21
3365055,birth cohort,出生世代,,,2018-03-21
3365056,birth control,生育控制；节育,,,2018-03-21
3365057,birth interval,出生间隔,,,2018-03-21
3365058,birth order,出生序；排行；胎次,,,2018-03-21
3365059,birth order ratio,胎次比,,,2018-03-21
3365060,birth rate,出生率,,,2018-03-21
3365061,birth target,生育目标,,,2018-03-21
3365062,births outside marriage,非婚生子女,,,2018-03-21
3365063,bisexuality,双性；双性特质；双性倾向；双性恋,,,2018-03-21
3365064,bivariate analysis,双变项分析,,,2018-03-21
3365065,bivariate regression,双变项回归；二元回归,,,2018-03-21
3365066,bivariate statistics,双变项统计学,,,2018-03-21
3365067,black feminism,黑人女性主义,,,2018-03-21
3365068,black language,黑人语言,,,2018-03-21
3365069,black power,黑权,,,2018-03-21
3365070,black studies,黑人研究,,,2018-03-21
3365071,black-collar worker,黑领工人,,,2018-03-21
3365072,blaming the victim,责备受害人,,,2018-03-21
3365073,blasé,疲烦,,,2018-03-21
3365074,blasé feeling,倦乏感,,,2018-03-21
3365075,blended family,重组家庭；再生家庭,,,2018-03-21
3365076,block model,区块模型,,,2018-03-21
3365077,block modeling,区块模型分析,,,2018-03-21
3365078,block sampling,区段抽样,,,2018-03-21
3365079,block(s),街廓；街区；区段,,,2018-03-21
3365080,blue collar,蓝领,,,2018-03-21
3365081,blue-collar workers,蓝领工人,,,2018-03-21
3365082,body,身体,,,2018-03-21
3365083,body language,肢体语言；身体语言,,,2018-03-21
3365084,body self,身体自我,,,2018-03-21
3365085,body techniques,身体技艺；身体技术,,,2018-03-21
3365086,Bogardus scale,鲍氏量表,,,2018-03-21
3365087,bolshevism,布尔什维克主义；多数主义,,,2018-03-21
3365088,bonded labor,抵债劳动；抵债奴工,,,2018-03-21
3365089,boomerang effect,回力棒效应,,,2018-03-21
3365090,borough[s],自治区；自治都市；区,,,2018-03-21
3365091,bound labor,契约苦劳,,,2018-03-21
3365092,boundary maintenance,界限维持,,,2018-03-21
3365093,bounded rationality,有限理性,,,2018-03-21
3365094,bounded rationality model,有限理性模型,,,2018-03-21
3365095,bounded relationality model,有限理性模型,,,2018-03-21
3365096,bourgeois,布尔乔亚；资产阶级,,,2018-03-21
3365097,bourgeois society,布尔乔亚社会；资产阶级社会,,,2018-03-21
3365098,bourgeoisie,布尔乔亚；资产阶级,,,2018-03-21
3365099,"""bow-wow"" theory of language",语言的自然模仿说,,,2018-03-21
3365100,boycott,杯葛；联合抵制,,,2018-03-21
3365101,bracketing,存而不论；放入括弧；悬置,,,2018-03-21
3365102,brain drain,人才外流,,,2018-03-21
3365103,brainwashing,洗脑,,,2018-03-21
3365104,brand,品牌,,,2018-03-21
3365105,brand culture,品牌文化；名牌文化,,,2018-03-21
3365106,brand loyalty,品牌忠诚,,,2018-03-21
3365107,breaching method,断裂法,,,2018-03-21
3365108,bricolage,拼装；修补术；拼贴,,,2018-03-21
3365109,bride purchase,购买新娘,,,2018-03-21
3365110,broken family,破碎家庭,,,2018-03-21
3365111,broken windows theory of crime,犯罪的破窗理论,,,2018-03-21
3365112,Brundtland Report,布朗特兰报告书,,,2018-03-21
3365113,Buddhism,佛教,,,2018-03-21
3365114,built environment,人造环境,,,2018-03-21
3365115,buisness cycle,商业循环,,,2018-03-21
3365116,bullet theory,子弹论,,,2018-03-21
3365117,bureaucracy,科层制；官僚制,,,2018-03-21
3365118,bureaucratization,科层化；官僚化,,,2018-03-21
3365119,busing,跨族通学,,,2018-03-21
3365120,bystander effect,旁观者效应,,,2018-03-21
3365121,calculability,可计算性,,,2018-03-21
3365122,calling,使命；天职；召唤,,,2018-03-21
3365123,calvinism,喀尔文主义；加尔文主义,,,2018-03-21
3365124,cannibalism,食人习俗,,,2018-03-21
3365125,canon,典律；正典,,,2018-03-21
3365126,canonical factor analysis,主轴因素分析,,,2018-03-21
3365127,capital,资本；首都,,,2018-03-21
3365128,capital accumulation,资本积累,,,2018-03-21
3365129,capital flow,资本流动,,,2018-03-21
3365130,capital formation,资本形成,,,2018-03-21
3365131,capital fractions,资本部门分化,,,2018-03-21
3365132,capital punishment,死刑,,,2018-03-21
3365133,capital-intensive industry,资本密集产业,,,2018-03-21
3365134,capitalism,资本主义,,,2018-03-21
3365135,capitalist,资本家,,,2018-03-21
3365136,capitalist agriculture,资本主义农业,,,2018-03-21
3365137,capitalist economy world,资本主义经济世界,,,2018-03-21
3365138,capitalist mode of production,资本主义生产方式,,,2018-03-21
3365139,capitalist world-economy,资本主义世界经济,,,2018-03-21
3365140,capture marriage,掠夺婚,,,2018-03-21
3365141,carceral organization,监禁组织,,,2018-03-21
3365142,carceral society,监禁社会,,,2018-03-21
3365143,career woman,职业妇女,,,2018-03-21
3365144,cargo cult,船货崇拜,,,2018-03-21
3365145,carryover effect,转移效应；痕迹效应,,,2018-03-21
3365146,cartel,卡特尔,,,2018-03-21
3365147,Cartesianism,笛卡尔思想；笛卡尔主义,,,2018-03-21
3365148,cartogram,比较统计地图,,,2018-03-21
3365149,case analysis,个案分析,,,2018-03-21
3365150,case history,个案历史,,,2018-03-21
3365151,case method,个案方法,,,2018-03-21
3365152,case record,个案记录,,,2018-03-21
3365153,case study,个案研究,,,2018-03-21
3365154,case study method,个案研究方法,,,2018-03-21
3365155,case work,个案工作,,,2018-03-21
3365156,casewise deletion,按个案排除；按个案删除,,,2018-03-21
3365157,cash benefit,现金给付,,,2018-03-21
3365158,cash crop,经济作物,,,2018-03-21
3365159,cash nexus,金钱关系,,,2018-03-21
3365160,caste,喀斯特,,,2018-03-21
3365161,caste system,喀斯特体系；种姓制度,,,2018-03-21
3365162,castration anxiety,阉割焦虑,,,2018-03-21
3365163,castration complex,阉割情结,,,2018-03-21
3365164,casual crowd,偶合群众,,,2018-03-21
3365165,casual labor,零工；散工,,,2018-03-21
3365166,casual laborer,零工；散工,,,2018-03-21
3365167,casual worker,临时工,,,2018-03-21
3365168,categorical data,类别资料；类属资料,,,2018-03-21
3365169,categorical imperative,道德无上命令 {Kant}；定言令式,,,2018-03-21
3365170,categorical variable,类别变项,,,2018-03-21
3365171,categorization,类别化；类属化；范畴化,,,2018-03-21
3365172,catharsis effect,净化效果,,,2018-03-21
3365173,cathedrals of consumption,消费圣堂；消费殿堂,,,2018-03-21
3365174,causal analysis,因果分析,,,2018-03-21
3365175,causal modelling,因果模型化,,,2018-03-21
3365176,causal relationship,因果关系,,,2018-03-21
3365177,causality,因果关系；因果性,,,2018-03-21
3365178,cause-specific death rate,死因别死亡率,,,2018-03-21
3365179,ceiling effect,天花板效应；上限效应,,,2018-03-21
3365180,celibacy,守贞,,,2018-03-21
3365181,cell frequency,细格次数,,,2018-03-21
3365182,censored data,设限资料,,,2018-03-21
3365183,censorship,检查；审查制度；检查制度,,,2018-03-21
3365184,census,普查；人口普查,,,2018-03-21
3365185,census data,普查资料,,,2018-03-21
3365186,census schedule,普查表,,,2018-03-21
3365187,census taker,普查访员,,,2018-03-21
3365188,census tract,普查区,,,2018-03-21
3365189,center-periphery theory,中心边陲理论,,,2018-03-21
3365190,central business district,中心商业区,,,2018-03-21
3365191,central limit theorem,中央极限定理,,,2018-03-21
3365192,central place theory,中地理论,,,2018-03-21
3365193,central tendency,集中趋势,,,2018-03-21
3365194,centrality,中心性,,,2018-03-21
3365195,centralization,集中化,,,2018-03-21
3365196,centralized bureaucracy,集权科层制,,,2018-03-21
3365197,centralized institution,集权制度,,,2018-03-21
3365198,ceremonialism,仪式主义,,,2018-03-21
3365199,ceremony,仪式；典礼；仪典,,,2018-03-21
3365200,certificate devaluation,证照贬值；文凭贬值,,,2018-03-21
3365201,certification,证照；检定,,,2018-03-21
3365202,chain migration,连锁移民,,,2018-03-21
3365203,chains of interdependence {Elias},互赖链 {Elias},,,2018-03-21
3365204,chair socialism,讲坛社会主义；摇椅社会主义,,,2018-03-21
3365205,change,变迁,,,2018-03-21
3365206,chaos theory,混沌理论,,,2018-03-21
3365207,character,品格；性格,,,2018-03-21
3365208,charisma,卡理斯玛；魅力,,,2018-03-21
3365209,charismatic authority,卡理斯玛权威；魅力型权威,,,2018-03-21
3365210,charismatic domination,卡理斯玛支配；魅力型支配,,,2018-03-21
3365211,charismatic leader,卡理斯玛领袖；魅力型领袖,,,2018-03-21
3365212,chastity,贞操；贞节,,,2018-03-21
3365213,chauvinism,沙文主义,,,2018-03-21
3365214,chebyshev's theorem,柴比雪夫定理；柴比氏定理,,,2018-03-21
3365215,chi-square,卡方,,,2018-03-21
3365216,chi-square distribution,卡方分配,,,2018-03-21
3365217,chi-square test,卡方检定,,,2018-03-21
3365218,chicago school,芝加哥学派,,,2018-03-21
3365219,Chicago School of Sociology,社会学的芝加哥学派,,,2018-03-21
3365220,Chicano studies,墨裔美国人研究,,,2018-03-21
3365221,child dependency ratio,扶幼比,,,2018-03-21
3365222,child labor,童工,,,2018-03-21
3365223,child marriage,童婚,,,2018-03-21
3365224,child mortality rate,儿童死亡率,,,2018-03-21
3365225,child placing,儿童安置,,,2018-03-21
3365226,child pornography,儿童色情；儿童色情业,,,2018-03-21
3365227,child protection,儿童保护,,,2018-03-21
3365228,child welfare,儿童福利,,,2018-03-21
3365229,child-bearing age,生育年龄,,,2018-03-21
3365230,child-bearing group,生育年龄组,,,2018-03-21
3365231,child-rearing pattern,育儿模式,,,2018-03-21
3365232,child-woman ratio,育龄妇女幼妇比,,,2018-03-21
3365233,childhood socialization,童年社会化,,,2018-03-21
3365234,children born alive,活产子女,,,2018-03-21
3365235,children born in wedlock,婚生子女,,,2018-03-21
3365236,children born out of wedlock,非婚生子女,,,2018-03-21
3365237,children ever born,总生子女,,,2018-03-21
3365238,children living,存活子女,,,2018-03-21
3365239,chiliastic movement,千禧年运动,,,2018-03-21
3365240,chiristian socialism,基督教社会主义,,,2018-03-21
3365241,chivalry,骑士精神,,,2018-03-21
3365242,christian socialism,基督教社会主义,,,2018-03-21
3365243,Christianity,基督宗教,,,2018-03-21
3365244,chronic unemployment,长期失业,,,2018-03-21
3365245,chronological age,足龄；实龄,,,2018-03-21
3365246,church,教会,,,2018-03-21
3365247,ci,信赖区间,,,2018-03-21
3365248,circle communication network,环形沟通网络,,,2018-03-21
3365249,circular migration,循环移民,,,2018-03-21
3365250,circular systematic sampling,环状系统抽样,,,2018-03-21
3365251,circulation of elite,菁英循环；精英循环,,,2018-03-21
3365252,circumcision,割礼,,,2018-03-21
3365253,citizen,公民；市民,,,2018-03-21
3365254,citizenship,市民权；公民权；市民身份；公民身份,,,2018-03-21
3365255,citizenship by birth,公民身分属地主义,,,2018-03-21
3365256,citizenship by descent,公民身分血统主义,,,2018-03-21
3365257,city,都市；城市,,,2018-03-21
3365258,city planning,城市规划；城市计划,,,2018-03-21
3365259,city state,城邦；城市国家,,,2018-03-21
3365260,civic culture,公民文化,,,2018-03-21
3365261,civic education,公民教育,,,2018-03-21
3365262,civic nationalism,公民国族主义；公民民族主义,,,2018-03-21
3365263,civil culture,公民文化,,,2018-03-21
3365264,civil disobedience,公民不服从,,,2018-03-21
3365265,civil inattention,礼貌性忽视,,,2018-03-21
3365266,civil marriage,公证结婚,,,2018-03-21
3365267,civil religion,公民宗教,,,2018-03-21
3365268,civil rights,市民权；公民权；民权,,,2018-03-21
3365269,"Civil Rights Act {USA,1964}",民权法案,,,2018-03-21
3365270,Civil Rights movement,民权运动,,,2018-03-21
3365271,civil service,文官制,,,2018-03-21
3365272,civil society,公民社会；市民社会,,,2018-03-21
3365273,civil unions,伴侣关系,,,2018-03-21
3365274,civil war,内战,,,2018-03-21
3365275,civilian labor force,平民劳动力,,,2018-03-21
3365276,civilian population,平民人口,,,2018-03-21
3365277,civilization,文明,,,2018-03-21
3365278,civilizing process,文明化历程,,,2018-03-21
3365279,clan,氏族,,,2018-03-21
3365280,class,阶级,,,2018-03-21
3365281,class analysis,阶级分析,,,2018-03-21
3365282,class antagonism,阶级对抗,,,2018-03-21
