ID,英文詞彙,中文名詞,備註,審定日期,更新日期
21389000,coefficient of compressibility,压缩系数,公路,2025.12.09,2026-06-25
21389001,coefficient of consolidation,压密系数,公路,2025.12.09,2026-06-25
21389002,coefficient of subgrade reaction,路基反应系数,公路,2025.12.09,2026-06-25
21389003,coefficient of volume compressibility,体积压缩系数,公路,2025.12.09,2026-06-25
21389004,cofferdam,围堰,公路,2025.12.09,2026-06-25
21389005,cohesion of soil,土壤凝聚力,公路,2025.12.09,2026-06-25
21389006,cold penetration asphalt macadam surface course,冷灌沥青碎石面层,公路,2025.12.09,2026-06-25
21389007,cold-mix asphalt concrete,冷拌沥青混凝土,公路,2025.12.09,2026-06-25
21389008,collector street system,集汇道路系统,公路,2025.12.09,2026-06-25
21389009,collector-distributor road,集散道路,公路,2025.12.09,2026-06-25
21389010,colluvial soil,崩积土壤,公路,2025.12.09,2026-06-25
21389011,commuter,通勤者,公路,2025.12.09,2026-06-25
21389012,compaction,夯实；捣实；压缩,公路,2025.12.09,2026-06-25
21389013,compaction pile,夯实桩,公路,2025.12.09,2026-06-25
21389014,compensation for damage,损坏赔偿,公路,2025.12.09,2026-06-25
21389015,composite girder,合成梁；复合梁,公路,2025.12.09,2026-06-25
21389016,composite girder bridge,合成梁桥；复合梁桥,公路,2025.12.09,2026-06-25
21389017,composite pile,合成式桩；复合式桩,公路,2025.12.09,2026-06-25
21389018,compound pavement,复式铺面,公路,2025.12.09,2026-06-25
21389019,comprehensive planning,综合规划,公路,2025.12.09,2026-06-25
21389020,compression flange,抗压翼缘；抗压翼板；受压翼板,公路,2025.12.09,2026-06-25
21389021,compression member,压力构材；受压构材；抗压构材,公路,2025.12.09,2026-06-25
21389022,compression settlement,压缩沉陷,公路,2025.12.09,2026-06-25
21389023,compressive soil,压缩性土壤,公路,2025.12.09,2026-06-25
21389024,compulsory sign,限制标志,公路,2025.12.09,2026-06-25
21389025,concrete beam form,混凝土梁模板,公路,2025.12.09,2026-06-25
21389026,concrete beam testing machine,混凝土梁试验机,公路,2025.12.09,2026-06-25
21389027,concrete curing material,混凝土养护材料,公路,2025.12.09,2026-06-25
21389028,concrete cylinder mold,混凝土圆柱试体用模,公路,2025.12.09,2026-06-25
21389029,concrete joint,混凝土接缝,公路,2025.12.09,2026-06-25
21389030,concrete joint filler,混凝土接缝填料,公路,2025.12.09,2026-06-25
21389031,concrete mixer,混凝土拌合机,公路,2025.12.09,2026-06-25
21389032,concrete paver,混凝土铺筑机；混凝土铺装机,公路,2025.12.09,2026-06-25
21389033,concrete saw,混凝土锯,公路,2025.12.09,2026-06-25
21389034,concrete test hammer,混凝土试锤,公路,2025.12.09,2026-06-25
21389035,concrete vibrator,混凝土振动机,公路,2025.12.09,2026-06-25
21389036,condemnation,征收；业产征用行为,公路,2025.12.09,2026-06-25
21389037,conductor,导体；车掌{交通},公路,2025.12.09,2026-06-25
21389038,consequential damages,关连损失,公路,2025.12.09,2026-06-25
21389039,consignee,收货人,公路,2025.12.09,2026-06-25
21389040,consigner,托运人,公路,2025.12.09,2026-06-25
21389041,consolidation,压密；捣实,公路,2025.12.09,2026-06-25
21389042,construction contract,工程契约,公路,2025.12.09,2026-06-25
21389043,construction of subgrade,路基建造；路基施工,公路,2025.12.09,2026-06-25
21389044,construction planning,施工规划,公路,2025.12.09,2026-06-25
21389045,construction specification,施工规范；施工说明书,公路,2025.12.09,2026-06-25
21389046,continuous beam bridge,连续梁桥,公路,2025.12.09,2026-06-25
21389047,contractor,承包商；承造人{建筑法},公路,2025.12.09,2026-06-25
21389048,controlling point,控制点｛运输排班｝,公路,2026.06.22,2026-06-25
21389049,coordinated control signal,协进控制号志,公路,2025.12.09,2026-06-25
21389050,cordon count,周界交通调查,公路,2025.12.09,2026-06-25
21389051,core recovery,岩心钻取率,公路,2025.12.09,2026-06-25
21389052,corrugated-metal pipe,皱纹金属管,公路,2025.12.09,2026-06-25
21389053,cost of possession,持有成本,公路,2025.12.09,2026-06-25
21389054,Coulomb earth-pressure theory,库伦土压力理论,公路,2025.12.09,2026-06-25
21389055,counterfort abutment,扶壁式桥台,公路,2025.12.09,2026-06-25
21389056,countersunk rivet,平头铆钉,公路,2025.12.09,2026-06-25
21389057,country road,乡道,公路,2025.12.09,2026-06-25
21389058,coupon-ticket,优待票,公路,2025.12.09,2026-06-25
21389059,cover plate,盖钣,公路,2025.12.09,2026-06-25
21389060,crack detector,裂缝检查器,公路,2025.12.09,2026-06-25
21389061,cracking load,开裂载重,公路,2025.12.09,2026-06-25
21389062,crane,起重机；吊车,公路,2025.12.09,2026-06-25
21389063,crane shovel,吊挖机,公路,2025.12.09,2026-06-25
21389064,crater,銲疤,公路,2025.12.09,2026-06-25
21389065,crawler type tractor,履带式牵引机,公路,2025.12.09,2026-06-25
21389066,creosote,蒸木油,公路,2025.12.09,2026-06-25
21389067,crib wall,框式墙,公路,2025.12.09,2026-06-25
21389068,critical circle,临界圆,公路,2025.12.09,2026-06-25
21389069,critique form,意见调查表,公路,2025.12.09,2026-06-25
21389070,cross connection,横连通路；错接{环工},公路,2025.12.09,2026-06-25
21389071,crosswalk,行人穿越道,公路,2025.12.09,2026-06-25
21389072,crown of pavement,路拱,公路,2025.12.09,2026-06-25
21389073,crushed gravel,碎砾石,公路,2025.12.09,2026-06-25
21389074,crushed stone,碎石,公路,2025.12.09,2026-06-25
21389075,crusher,破碎机；碎石机,公路,2025.12.09,2026-06-25
21389076,cul-de-sac,囊底路；回转盲道,公路,2025.12.09,2026-06-25
21389077,curb,缘石；路缘,公路,2025.12.09,2026-06-25
21389078,curb weight,车辆行驶净重,公路,2025.12.09,2026-06-25
21389079,curing of concrete,混凝土养护,公路,2025.12.09,2026-06-25
21389080,current force,流动冲力,公路,2025.12.09,2026-06-25
21389081,customs clearance,报关,公路,2025.12.09,2026-06-25
21389082,cutback asphalt,油溶沥青,公路,2025.12.09,2026-06-25
21389083,cutting edge of caisson,沉箱切脚,公路,2025.12.09,2026-06-25
21389084,cycle time,周期；周期时间,公路,2025.12.09,2026-06-25
21389085,damage report,破损单,公路,2025.12.09,2026-06-25
21389086,dangerous article,危险品,公路,2025.12.09,2026-06-25
21389087,Darcy's law,达西定律,公路,2025.12.09,2026-06-25
21389088,dash line,虚线,公路,2025.12.09,2026-06-25
21389089,date of issuance,发照日期,公路,2025.12.09,2026-06-25
21389090,deck bridge,版桥,公路,2025.12.09,2026-06-25
21389091,dedication,提供土地{交通},公路,2025.12.09,2026-06-25
21389092,deed,地契,公路,2025.12.09,2026-06-25
21389093,deflector bar,障碍反光杆,公路,2025.12.09,2026-06-25
21389094,deformed steel bar,竹节钢筋,公路,2025.12.09,2026-06-25
21389095,degree of compaction,压实度；夯实度,公路,2025.12.09,2026-06-25
21389096,dehydrator,脱水机,公路,2025.12.09,2026-06-25
21389097,delayed operation,延误行车,公路,2025.12.09,2026-06-25
21389098,delineator,反光导标,公路,2025.12.09,2026-06-25
21389099,delivery order,提货单,公路,2025.12.09,2026-06-25
21389100,delivery receipt,交货收据,公路,2025.12.09,2026-06-25
21389101,demurrage charge,停留费,公路,2025.12.09,2026-06-25
21389102,dense graded asphalt plant-mix cold-laid surface course,厂拌冷铺密级配沥青面层,公路,2025.12.09,2026-06-25
21389103,dense graded asphalt road-mix surface course,路拌密级配沥青面层,公路,2025.12.09,2026-06-25
21389104,depositing baggage,寄存品,公路,2025.12.09,2026-06-25
21389106,depth span ratio,梁高跨径比,公路,2025.12.09,2026-06-25
21389107,design capacity,设计容量,公路,2025.12.09,2026-06-25
21389108,design load,设计载重,公路,2025.12.09,2026-06-25
21389109,design strength of concrete,混凝土设计强度,公路,2025.12.09,2026-06-25
21389110,design vehicle,设计车型,公路,2025.12.09,2026-06-25
21389111,design volume,设计交通量,公路,2026.06.22,2026-06-25
21389112,detour,绕道行车,公路,2025.12.09,2026-06-25
21389113,dewatering system,袪水系统,公路,2025.12.09,2026-06-25
21389114,diagonal compression stress,斜压力,公路,2025.12.09,2026-06-25
21389115,diagonal tension stress,斜拉力,公路,2025.12.09,2026-06-25
21389116,diaphragm,横膈板；横膈梁；隔板,公路,2025.12.09,2026-06-25
21389117,diaphragm water pump,膜片式抽水机,公路,2025.12.09,2026-06-25
21389118,differential fare,差别运价,公路,2025.12.09,2026-06-25
21389119,differential settlement,差异沉陷,公路,2025.12.09,2026-06-25
21389120,dike,岩脉；堤,公路,2025.12.09,2026-06-25
21389121,dip angle,倾角,公路,2025.12.09,2026-06-25
21389122,direct compensation,直接补偿,公路,2025.12.09,2026-06-25
21389123,direction indicator,风向指示器；方向指示器,公路,2025.12.09,2026-06-25
21389124,directional distribution,方向分布,公路,2025.12.09,2026-06-25
21389125,directional interchange,直接式交流道,公路,2025.12.09,2026-06-25
21389126,disc type brake,圆盘式刹车,公路,2025.12.09,2026-06-25
21389127,distance-based fare system,计程费率制,公路,2025.12.09,2026-06-25
21389128,distribution steel,分布钢筋,公路,2025.12.09,2026-06-25
21389129,district ticket,区间票,公路,2025.12.09,2026-06-25
21389130,district-based fare system,区域费率制,公路,2025.12.09,2026-06-25
21389131,disturbed soil,扰动土,公路,2025.12.09,2026-06-25
21389132,diverging traffic,扩散车流,公路,2025.12.09,2026-06-25
21389133,divided highway,分线公路,公路,2025.12.09,2026-06-25
21389134,dividing strip,分隔带,公路,2025.12.09,2026-06-25
21389135,divisional curb,分道缘石,公路,2025.12.09,2026-06-25
21389136,divisional island,分隔岛,公路,2025.12.09,2026-06-25
21389137,double-acting steam hammer,双动式蒸汽锤,公路,2025.12.09,2026-06-25
21389138,dragline,拖索挖机,公路,2025.12.09,2026-06-25
21389139,drain pipe,排水管,公路,2025.12.09,2026-06-25
21389140,drainage,排水,公路,2026.06.22,2026-06-25
21389141,drift pin,冲梢,公路,2025.12.09,2026-06-25
21389142,drifter,水平凿岩机,公路,2025.12.09,2026-06-25
21389143,drill carriage,钻机；钻岩机,公路,2025.12.09,2026-06-25
21389144,drill mounting,钻机架,公路,2025.12.09,2026-06-25
21389145,drilling rod,钻杆,公路,2025.12.09,2026-06-25
21389146,driver license,驾驶执照,公路,2025.12.09,2026-06-25
21389147,driving cap,打桩帽；桩帽,公路,2025.12.09,2026-06-25
21389148,driving under the influence (DUI),酒驾,公路,2025.12.09,2026-06-25
21389149,drop gear,加力挡,公路,2025.12.09,2026-06-25
21389150,drop hammer test,落锤试验,公路,2026.06.22,2026-06-25
21389151,drop-frame trailer,矮架拖车,公路,2025.12.09,2026-06-25
21389152,dry-bound macadam base course,干结碎石底层,公路,2025.12.09,2026-06-25
21389153,dump truck,倾卸式卡车,公路,2025.12.09,2026-06-25
21389154,duty paying value,完税价格,公路,2025.12.09,2026-06-25
21389155,earth filling cofferdam,填土式围堰,公路,2025.12.09,2026-06-25
21389156,earth pressure,土压力,公路,2025.12.09,2026-06-25
21389157,easement of right of way,路产地役权,公路,2025.12.09,2026-06-25
21389158,edge beam,边梁,公路,2025.12.09,2026-06-25
21389159,edge distance of rivet,铆钉边距,公路,2025.12.09,2026-06-25
21389160,effective flange width,有效翼宽,公路,2025.12.09,2026-06-25
21389161,effective pressure of soil,有效土压力,公路,2025.12.09,2026-06-25
21389162,effective prestress,有效预力,公路,2025.12.09,2026-06-25
21389163,elastic deformation,弹性变形,公路,2025.12.09,2026-06-25
21389164,elastic design,弹性设计,公路,2025.12.09,2026-06-25
21389165,elastic settlement,弹性沉陷,公路,2025.12.09,2026-06-25
21389166,embankment,土堤；路堤,公路,2026.06.22,2026-06-25
21389167,eminent domain,征收权；业产征用权,公路,2025.12.09,2026-06-25
21389168,emulsified asphalt,乳化地沥青,公路,2025.12.09,2026-06-25
21389169,end bearing pile,底承桩；点承桩,公路,2025.12.09,2026-06-25
21389170,end post,端柱,公路,2025.12.09,2026-06-25
21389171,end span,端跨,公路,2025.12.09,2026-06-25
21389172,end stiffener,端部加劲材,公路,2025.12.09,2026-06-25
21389173,end sway bracing,端部抗摇斜撑,公路,2025.12.09,2026-06-25
21389174,engine brake,引擎煞车,公路,2025.12.09,2026-06-25
21389175,entrapped air of concrete,混凝土入陷空气,公路,2025.12.09,2026-06-25
21389176,equal slope type,等坡式,公路,2025.12.09,2026-06-25
21389177,erection bolt,组装用螺栓,公路,2025.12.09,2026-06-25
21389178,excess hydrostatic pressure,超静水压力,公路,2025.12.09,2026-06-25
21389179,excess load,超载,公路,2025.12.09,2026-06-25
21389180,exchange order for ticket,换票证,公路,2025.12.09,2026-06-25
21389181,exclusive highway,专用公路,公路,2025.12.09,2026-06-25
21389182,ex-factory value,工厂交货价,公路,2025.12.09,2026-06-25
21389183,expense for custody of baggage,保管费,公路,2025.12.09,2026-06-25
21389184,expiration of license,证照过期,公路,2025.12.09,2026-06-25
21389185,expired ticket,逾期车票,公路,2025.12.09,2026-06-25
21389186,exploration drill,钻探机,公路,2025.12.09,2026-06-25
21389187,express bus,快速公车,公路,2025.12.09,2026-06-25
21389188,extensometer,伸长计,公路,2025.12.09,2026-06-25
21389189,extractor for bituminous mixtures,沥青混合料抽油器,公路,2025.12.09,2026-06-25
21389190,ex-warehouse value,仓库交货价,公路,2025.12.09,2026-06-25
21389191,falsework,假设工程,公路,2025.12.09,2026-06-25
21389192,fare for joint transportation,联运票价,公路,2025.12.09,2026-06-25
21389193,fare receipt,购票证明单,公路,2025.12.09,2026-06-25
21389194,fault,接缝高差；断层,公路,2025.12.09,2026-06-25
21389195,fault scarp,断崖,公路,2025.12.09,2026-06-25
21389196,feasibility study,可行性研究,公路,2025.12.09,2026-06-25
21389197,feeder road,接驳道路,公路,2025.12.09,2026-06-25
21389198,field moisture equivalent,工地湿当量,公路,2025.12.09,2026-06-25
21389199,field rivet,工地铆钉,公路,2025.12.09,2026-06-25
21389200,fillet weld,角銲；填角銲道,公路,2025.12.09,2026-06-25
21389201,filling material,填方材料,公路,2025.12.09,2026-06-25
21389202,filter,过滤器；透水层{路基},公路,2025.12.09,2026-06-25
21389203,fine aggregate,细粒料,公路,2025.12.09,2026-06-25
21389204,fine aggregate spreader,细粒料撒布机,公路,2025.12.09,2026-06-25
21389205,fineness modulus of fine aggregate,细粒料细度模数,公路,2025.12.09,2026-06-25
21389206,fixed bridge,固定式桥,公路,2025.12.09,2026-06-25
21389207,fixed-end moment,固定端弯矩；固定端力矩,公路,2025.12.09,2026-06-25
21389208,flame cutting,火燄切割；焰切,公路,2025.12.09,2026-06-25
21389209,flange plate,翼板,公路,2025.12.09,2026-06-25
21389210,flared intersection,加宽型交叉口,公路,2025.12.09,2026-06-25
21389211,flashing red light,闪光红灯,公路,2025.12.09,2026-06-25
21389212,flashing signal,闪光号志,公路,2025.12.09,2026-06-25
21389213,flat-body truck,平板货车,公路,2025.12.09,2026-06-25
21389214,flat-slab bridge,平版桥,公路,2025.12.09,2026-06-25
21389215,flattened head rivet,扁头铆钉,公路,2025.12.09,2026-06-25
21389216,flexible pavement,柔性铺面；柔性路面,公路,2025.12.09,2026-06-25
21389217,flexible progressive signal system,弹性续进号志系统,公路,2025.12.09,2026-06-25
21389218,flexural stress,挠曲应力,公路,2025.12.09,2026-06-25
21389219,floor beam,横梁；楼版梁；楼板梁,公路,2025.12.09,2026-06-25
21389220,fluorescent lamp,萤光路灯,公路,2025.12.09,2026-06-25
21389221,flux oil,沥青稀释油；助熔油,公路,2025.12.09,2026-06-25
21389222,fly ash,飞灰,公路,2025.12.09,2026-06-25
21389223,follow in distance,保持距离,公路,2025.12.09,2026-06-25
21389224,footing,基脚,公路,2025.12.09,2026-06-25
21389225,form,模板,公路,2025.12.09,2026-06-25
21389226,foundation failure,基础破坏,公路,2025.12.09,2026-06-25
21389227,foundation of grade,路基基础,公路,2025.12.09,2026-06-25
21389228,foundation wall,基墙；底墙,公路,2025.12.09,2026-06-25
21389229,franchise,特许经营,公路,2025.12.09,2026-06-25
21389230,free charge weight,免费重量,公路,2025.12.09,2026-06-25
21389231,freeway,高速公路,公路,2025.12.09,2026-06-25
21389232,freight pallet,货运栈板,公路,2025.12.09,2026-06-25
21389233,freight sheet,运费单,公路,2025.12.09,2026-06-25
21389234,freight tariff table,货运价目表,公路,2025.12.09,2026-06-25
21389235,friction coefficient,摩擦系数,公路,2025.12.09,2026-06-25
21389236,friction pile,摩擦桩,公路,2025.12.09,2026-06-25
21389237,front end loader,前斗式装载机,公路,2025.12.09,2026-06-25
21389238,full occupancy,客满,公路,2025.12.09,2026-06-25
21389239,full traffic actuated signal,全交通触动号志,公路,2025.12.09,2026-06-25
21389240,full-trailer,全拖车,公路,2025.12.09,2026-06-25
21389241,gas welding,气銲,公路,2025.12.09,2026-06-25
21389242,Gillmore needle,吉尔摩氏针,公路,2025.12.09,2026-06-25
21389243,girder,大梁,公路,2025.12.09,2026-06-25
21389244,glass bead for traffic marking paint,交通标线漆用玻璃砂,公路,2025.12.09,2026-06-25
21389245,glued laminated timber,层胶木材；胶夹木,公路,2025.12.09,2026-06-25
21389246,gore,交叉口三角地带,公路,2025.12.09,2026-06-25
21389247,gradation of aggregate,骨材级配,公路,2025.12.09,2026-06-25
